cap x rhox delta ls
52.40063 0 0 0 1336.67804
54.728484375 13 0 0.30185979222 1370.23106
55.3104479687 15 13 0.291020659268 1317.82879333
55.6014297656 16 15 0.024790641515 1313.71919333

55.7469206641 17 16 0.90165132849 1349.63607333
55.8924115625 14 17 0.0093877601293 1347.89484
57.05633875 12 14 0.0621191043067 1354.04554
59.384193125 18 12 0.0741505048021 1359.57712
59.9661567187 20 18 0.0146548666441 1351.45061333
60.2571385156 21 20 0.702777137962 1373.32694667
60.5481203125 19 21 0.010896836047 1373.97539333
61.7120475 11 19 0.0296911431007 1379.88071333
71.023465 3 11 0.596209678734 1431.81835333
80.3348825 4 3 0.473403966765 1402.08387333
84.99059125 5 4 0.00959329098792 1401.39228667
87.318445625 6 5 0.00266593883453 1402.57512
88.4823728125 7 6 0.0306323533511 1395.62737333
89.0643364062 8 7 0.000941767882623 1395.88158667
89.3553182031 9 8 0.000621720814469 1395.10243333
89.5008091016 10 9 0.0 1395.12535333

89.6463 2 10 0.859578691622 1343.43008667
202.40063 1 2 0.0 1342.32941333
