cap x rhox delta ls
52.40063 0 0 0 1336.67804
52.4733754492 90 0 0.0164599066245 1331.34022667
52.5461208984 69 90 0.017401187794 1333.58183333
52.6188663476 88 69 0.0192463956987 1335.22775333
52.6916117968 59 88 0.0172404889496 1336.25087333
52.764357246 101 59 0.0150749216733 1338.16055333
52.8371026952 70 101 0.0185634188234 1340.48582
52.9098481445 91 70 0.0136111972533 1340.93270667
52.9462208691 116 91 0.0107887514953 1339.56926
52.9825935937 51 118 0.0118664314842 1339.05774
53.000779956 58 51 0.00628993110486 1340.11683333

53.0189663183 57 58 0.196796835879 1371.22511333
53.0553390429 56 57 0.0112029806303 1369.09262667
53.1280844922 55 56 0.0142392370038 1368.54653333
53.1644572168 111 55 0.0123467106382 1366.90048
53.1826435791 113 111 0.0182135682748 1369.27327333
53.2008299414 83 113 0.00770564791692 1371.38106667
53.237202666 118 117 1.00081686872 1370.36467333
53.2735753906 54 83 0.0196964365673 1372.85616667
53.3463208399 105 54 0.0137990100498 1372.56226
53.4190662891 71 105 0.0195362294043 1370.11066
53.4918117383 104 71 0.0142166193564 1371.79386667
53.5645571875 48 104 0.0168925235257 1370.90346
53.6373026367 112 48 0.0133642000188 1368.54192
53.7100480859 82 112 0.0119354635068 1368.31785333
53.7827935351 114 82 0.0166600713692 1367.69034
53.8555389843 72 114 0.0122432079208 1368.87188
54.1465207812 67 72 0.0170739054061 1373.47329333
54.4375025781 86 67 0.0196090304458 1368.65715333
54.728484375 14 86 0.0168658598051 1370.23106
54.8012298242 52 14 0.00770201448586 1370.57998
54.8376025488 53 52 0.00502066367657 1368.19958

54.8739752734 50 53 0.255106753521 1324.03369333
55.0194661718 49 50 0.0167194266972 1320.99136
55.1649570702 85 49 0.0156098362002 1320.12116667
55.2377025194 119 85 0.0125860959266 1319.95835333
55.3104479687 16 116 0.0107905907499 1317.82879333
55.4559388671 109 16 0.0120444523332 1318.12841333
55.6014297656 17 109 0.0158628833454 1313.71919333

55.6741752148 19 17 0.902200050488 1351.82178667
55.7469206641 18 19 0.00521709700558 1349.63607333
55.8924115625 15 18 0.0093877601293 1347.89484
56.1833933593 84 15 0.017951666417 1346.2534
56.4743751562 68 84 0.017601708864 1347.79897333
56.7653569531 103 68 0.01627438848 1353.77563333
57.05633875 13 103 0.0149876392036 1354.04554
57.3473205468 108 13 0.0144696127725 1356.50042
57.6383023437 78 108 0.01258822474 1361.02334
57.9292841406 110 78 0.0152102379479 1353.98813333
58.0565886767 120 119 0.812989871353 1356.84608667
58.2202659375 66 110 0.0131712589434 1353.37896
58.8022295312 89 66 0.0178146720954 1357.14460667
59.384193125 20 89 0.0160158006938 1359.57712
59.9661567187 22 20 0.0146548666441 1351.45061333
60.1116476172 24 22 0.0115465056333 1352.31347333
60.1843930664 25 24 0.00441679881176 1355.15320667

60.2571385156 23 25 0.703525215615 1373.32694667
60.5481203125 21 23 0.010896836047 1373.97539333
61.1300839063 102 21 0.0184185017868 1373.85756
61.7120475 12 102 0.0156359769094 1379.88071333
62.2940110938 117 12 0.0141807825482 1376.27563333
62.8759746875 107 120 0.712706868871 1377.27978667
64.039901875 87 107 0.0170817968084 1380.91488667
64.6218654688 115 87 0.0156349621437 1377.67795333
65.2038290625 106 115 0.0142627215253 1378.6002
66.36775625 26 106 0.0164352031353 1390.27067333
66.6587380469 30 26 0.0139203929004 1384.93862667
66.8042289453 31 30 0.00737762088673 1382.15990667
66.8769743945 32 31 0.00536361218494 1380.52832667

66.9497198437 29 32 0.700592833922 1423.37490667
67.2407016406 60 29 0.00628273745681 1413.20806
67.3134470899 62 60 0.00404976237137 1412.85194
67.3225402711 65 62 0.00175567131313 1413.32970667

67.3316334522 64 65 0.0960702559017 1409.91398
67.3498198145 63 64 0.00111588559712 1409.68902
67.3861925391 61 63 0.00280524751278 1407.49938667
67.5316834375 28 61 0.00724413570938 1405.62710667
68.695610625 27 28 0.0130567305708 1420.00882
69.2775742188 73 27 0.00834568590807 1415.74705333
69.350319668 76 73 0.00323569469946 1415.81812667
69.3866923926 77 76 0.00272789155869 1416.12562
69.4048787549 79 77 0.00182522124445 1416.06352
69.413971936 80 79 0.00143175617666 1415.80776

69.4185185266 81 80 0.0456980184166 1411.67346667
69.4230651172 75 81 0.000471387478922 1412.48392667
69.5685560156 74 75 0.00689845608955 1408.49030667
69.8595378125 41 74 0.00635467225829 1405.11945333
70.1505196094 43 41 0.00721786033781 1398.19756
70.2232650586 45 43 0.00344550480838 1398.06736
70.2596377832 46 45 0.00206272352084 1398.43525333

70.2960105078 44 46 0.403024544241 1427.33195333
70.4415014063 42 44 0.0042890147253 1423.72567333
71.023465 3 42 0.0121322738966 1431.81835333
73.351319375 34 3 0.0145768990839 1426.03082
73.4968102734 38 34 0.00536291565669 1432.43082
73.533182998 40 38 0.00278347563962 1431.34554

73.5695557226 39 40 0.484455116882 1425.27734
73.6059284472 47 39 0.00161117823052 1425.37112

73.6423011719 37 47 0.308773147868 1406.41117333
73.9332829688 36 37 0.00475343288802 1409.96078
74.5152465625 35 36 0.00770442066726 1410.6492
75.67917375 33 35 0.00909108853946 1404.09786
80.3348825 4 33 0.0126485493129 1402.08387333
84.99059125 5 4 0.00959329098792 1401.39228667
87.318445625 6 5 0.00266593883453 1402.57512
87.6094274219 93 6 0.00111417335588 1402.24776
87.7549183203 94 93 0.00117884667993 1402.40598
87.8276637695 95 94 0.0 1402.71716667
87.8640364941 96 95 0.000135416334441 1402.23292667
87.8685830846 99 96 0.0 1402.34488667
87.8708563799 100 99 0.0 1402.297

87.8731296752 98 100 0.0305254510502 1394.39558
87.8822228564 97 98 0.0 1394.46872667
87.9004092187 92 97 0.0 1394.51493333
88.4823728125 7 92 0.000828111568597 1395.62737333
89.0643364062 8 7 0.000941767882623 1395.88158667
89.3553182031 9 8 0.000621720814469 1395.10243333
89.5008091016 10 9 0.0 1395.12535333
89.5735545508 11 10 0.0 1394.85590667

89.6463 2 11 0.859578691622 1343.43008667
202.40063 1 2 0.0 1342.32941333
