sp	sv	mp	mv
0.001953125	360.88	0.005208333	333.82
0.00390625	360.88	0.010416667	333.82
0.005859375	360.88	0.015625	307.82
0.0078125	360.88	0.020833333	307.82
0.009765625	360.88	0.026041667	307.19
0.01171875	360.88	0.03125	307.19
0.013671875	360.88	0.036458333	273.11
0.015625	360.88	0.041666667	273.11
0.017578125	360.88	0.046875	270.28
0.01953125	360.88	0.052083333	270.28
0.021484375	360.33	0.057291667	267.01
0.0234375	360.33	0.0625	267.01
0.025390625	360.33	0.067708333	263.79
0.02734375	360.33	0.072916667	263.79
0.029296875	356.91	0.078125	262.35
0.03125	356.91	0.083333333	262.35
0.033203125	356.91	0.088541667	251.75
0.03515625	344	0.09375	251.75
0.037109375	342.98	0.098958333	246.01
0.0390625	340.24	0.104166667	246.01
0.041015625	338.9	0.109375	220.74
0.04296875	336.16	0.114583333	220.74
0.044921875	336.16	0.119791667	211.4
0.046875	336.16	0.125	211.4
0.048828125	321.35	0.130208333	210.61
0.05078125	321.35	0.135416667	210.61
0.052734375	313.8	0.140625	205.61
0.0546875	299.9	0.145833333	205.61
0.056640625	299.87	0.151041667	201.69
0.05859375	297.16	0.15625	201.69
0.060546875	297.16	0.161458333	196.17
0.0625	291.38	0.166666667	196.17
0.064453125	291.38	0.171875	189.93
0.06640625	282.42	0.177083333	189.93
0.068359375	281.21	0.182291667	188.85
0.0703125	281.21	0.1875	188.85
0.072265625	281.21	0.192708333	179.42
0.07421875	281.02	0.197916667	179.42
0.076171875	275.08	0.203125	169.26
0.078125	274.52	0.208333333	169.26
0.080078125	274.52	0.213541667	164.21
0.08203125	274.52	0.21875	164.21
0.083984375	269.63	0.223958333	162.56
0.0859375	269.63	0.229166667	162.56
0.087890625	269.63	0.234375	162.45
0.08984375	269.63	0.239583333	162.45
0.091796875	268.88	0.244791667	156.49
0.09375	267.59	0.25	156.49
0.095703125	267.59	0.255208333	155.58
0.09765625	267.52	0.260416667	155.58
0.099609375	267.52	0.265625	153.79
0.1015625	267.52	0.270833333	153.79
0.103515625	266.08	0.276041667	152.99
0.10546875	266.08	0.28125	152.99
0.107421875	265.16	0.286458333	152.51
0.109375	265.16	0.291666667	152.51
0.111328125	260.49	0.296875	151.03
0.11328125	260.49	0.302083333	151.03
0.115234375	255.19	0.307291667	150.14
0.1171875	255.17	0.3125	150.14
0.119140625	239.16	0.317708333	149.53
0.12109375	239.16	0.322916667	149.53
0.123046875	239.16	0.328125	146.74
0.125	239.16	0.333333333	146.74
0.126953125	239.16	0.338541667	146.18
0.12890625	239.16	0.34375	146.18
0.130859375	236.43	0.348958333	143.95
0.1328125	236.43	0.354166667	143.95
0.134765625	235.85	0.359375	142.5
0.13671875	230.95	0.364583333	142.5
0.138671875	227.34	0.369791667	142.03
0.140625	221.52	0.375	142.03
0.142578125	221.52	0.380208333	140.18
0.14453125	221.52	0.385416667	140.18
0.146484375	221.52	0.390625	140.12
0.1484375	218.21	0.395833333	140.12
0.150390625	210.6	0.401041667	138.51
0.15234375	209.78	0.40625	138.51
0.154296875	209.78	0.411458333	138.27
0.15625	209.78	0.416666667	138.27
0.158203125	209.78	0.421875	135.88
0.16015625	209.78	0.427083333	135.88
0.162109375	209.78	0.432291667	133.11
0.1640625	205.25	0.4375	133.11
0.166015625	205.25	0.442708333	131.1
0.16796875	205.25	0.447916667	131.1
0.169921875	205.25	0.453125	130.28
0.171875	201.17	0.458333333	130.28
0.173828125	201.16	0.463541667	127.72
0.17578125	201.16	0.46875	127.72
0.177734375	201.16	0.473958333	124.43
0.1796875	201.16	0.479166667	124.43
0.181640625	201.16	0.484375	123.53
0.18359375	201.16	0.489583333	123.53
0.185546875	201.16	0.494791667	122.38
0.1875	201.16	0.5	122.38
0.189453125	201.05	0.505208333	121.78
0.19140625	201.05	0.510416667	121.78
0.193359375	201.05	0.515625	121.45
0.1953125	193.71	0.520833333	121.45
