prob	ls
0.9996	0.0
0.9992	0.0
0.9988	0.0
0.9984	0.0
0.998	0.0
0.9976	0.0
0.9972	0.0
0.9968	0.0
0.9964	0.0
0.996	0.0
0.9956	0.0
0.9952	0.0
0.9948	0.0
0.9944	0.0
0.994	0.0
0.9936	0.0
0.9932	0.0
0.9928	0.0
0.9924	0.0
0.992	0.0
0.9916	0.0
0.9912	0.0
0.9908	0.0
0.9904	0.0
0.99	0.0
0.9896	0.0
0.9892	0.0
0.9888	0.0
0.9884	0.0
0.988	0.0
0.9876	0.0
0.9872	0.0
0.9868	0.0
0.9864	0.0
0.986	0.0
0.9856	0.0
0.9852	0.0
0.9848	0.0
0.9844	0.0
0.984	0.0
0.9836	0.0
0.9832	0.0
0.9828	0.0
0.9824	0.0
0.982	0.0
0.9816	0.0
0.9812	0.0
0.9808	0.0
0.9804	0.0
0.98	0.0
0.9796	0.0
0.9792	0.0
0.9788	0.0
0.9784	0.0
0.978	0.0
0.9776	0.0
0.9772	0.0
0.9768	0.0
0.9764	0.0
0.976	0.0
0.9756	0.0
0.9752	0.0
0.9748	0.0
0.9744	0.0
0.974	0.0
0.9736	0.0
0.9732	0.0
0.9728	0.0
0.9724	0.0
0.972	0.0
0.9716	0.0
0.9712	0.0
0.9708	0.0
0.9704	0.0
0.97	0.0
0.9696	0.0
0.9692	0.0
0.9688	0.0
0.9684	0.0
0.968	0.0
0.9676	0.0
0.9672	0.0
0.9668	0.0
0.9664	0.0
0.966	0.0
0.9656	0.0
0.9652	0.0
0.9648	0.0
0.9644	0.0
0.964	0.0
0.9636	0.0
0.9632	0.0
0.9628	0.0
0.9624	0.0
0.962	0.0
0.9616	0.0
0.9612	0.0
0.9608	0.0
0.9604	0.0
0.96	0.0
0.9596	0.0
0.9592	0.0
0.9588	0.0
0.9584	0.0
0.958	0.0
0.9576	0.0
0.9572	0.0
0.9568	0.0
0.9564	0.0
0.956	0.0
0.9556	0.0
0.9552	0.0
0.9548	0.0
0.9544	0.0
0.954	0.0
0.9536	0.0
0.9532	0.0
0.9528	0.0
0.9524	0.0
0.952	0.0
0.9516	0.0
0.9512	0.0
0.9508	0.0
0.9504	0.0
0.95	0.0
0.9496	0.0
0.9492	0.0
0.9488	0.0
0.9484	0.0
0.948	4.36
0.9476	7.07
0.9472	9.81
0.9468	19.84
0.9464	22.0
0.946	22.0
0.9456	22.0
0.9452	22.0
0.9448	22.0
0.9444	22.0
0.944	22.0
0.9436	22.0
0.9432	22.0
0.9428	22.0
0.9424	22.0
0.942	22.0
0.9416	22.0
0.9412	22.0
0.9408	24.5
0.9404	24.5
0.94	24.71
0.9396	24.71
0.9392	24.71
0.9388	24.71
0.9384	24.71
0.938	24.71
0.9376	24.71
0.9372	24.71
0.9368	27.21
0.9364	28.86
0.936	31.87
0.9356	33.76
0.9352	35.29
0.9348	37.14
0.9344	37.48
0.934	39.0
0.9336	40.19
0.9332	40.19
0.9328	40.92
0.9324	42.65
0.932	42.65
0.9316	42.65
0.9312	42.65
0.9308	43.2
0.9304	43.36
0.93	43.36
0.9296	44.3
0.9292	45.01
0.9288	45.36
0.9284	45.36
0.928	45.36
0.9276	45.91
0.9272	46.08
0.9268	46.5
0.9264	48.74
0.926	48.86
0.9256	49.21
0.9252	51.41
0.9248	52.06
0.9244	52.45
0.924	54.14
0.9236	55.29
0.9232	56.31
0.9228	57.45
0.9224	58.13
0.922	58.85
0.9216	59.16
0.9212	60.0
0.9208	60.0
0.9204	60.19
0.92	60.84
0.9196	60.84
0.9192	60.84
0.9188	61.0
0.9184	61.0
0.918	61.0
0.9176	61.0
0.9172	61.3
0.9168	62.5
0.9164	62.71
0.916	63.0
0.9156	63.0
0.9152	63.55
0.9148	63.71
0.9144	63.71
0.914	64.02
0.9136	64.36
0.9132	64.36
