name cap smp ex st se min max var cvar
0 52.4 1500 1336.67804 273.864049552 7.0711393536 445.21 2046.0 1760.0 1837.86
1 52.734 1500 1337.33988 278.943094902 7.20227974063 433.84 2046.0 1768.16 1843.61066667
2 53.068 1500 1368.20073333 278.721123721 7.1965484694 150.36 2095.85 1784.8 1875.8796
3 53.402 1500 1368.93183333 268.674785457 6.9371531308 163.09 2095.85 1784.0 1866.31813333
4 53.736 1500 1367.99258 263.606229021 6.80628356636 163.09 2081.11 1769.0 1861.53653333
5 54.07 1500 1375.93102667 267.828633534 6.91530558211 163.09 2117.41 1770.11 1867.9076
6 54.404 1500 1369.51082 271.544916228 7.01125958866 163.09 2117.41 1775.0 1866.12226667
7 54.738 1500 1369.63759333 265.974665782 6.86743634057 163.09 2117.41 1768.11 1868.3556
8 55.072 1500 1321.34990667 283.447093531 7.31857248517 395.89 2036.0 1758.0 1833.27266667
9 55.406 1500 1318.10402 277.58619055 7.16724462093 401.64 2071.48 1748.87 1828.64573333
10 55.74 1500 1349.77874 292.502614401 7.55238502866 86.71 2042.91 1797.17 1881.15813333
11 56.074 1500 1347.23487333 292.202122114 7.54462635115 86.71 2048.37 1801.0 1885.06933333
12 56.408 1500 1347.7329 293.432808841 7.57640254581 86.71 2048.37 1803.56 1881.5868
13 56.742 1500 1354.11646667 293.885190767 7.58808299692 86.71 2048.37 1812.0 1881.7688
14 57.076 1500 1354.30732 290.462279754 7.49970381458 120.76 2048.37 1815.0 1886.77426667
15 57.41 1500 1355.77173333 291.996799214 7.53932493669 120.76 2048.37 1815.0 1884.9288
16 57.744 1500 1358.99231333 283.348925935 7.31603780874 190.0 2042.91 1806.47 1872.62186667
17 58.078 1500 1356.24106 283.974391207 7.33218725263 180.0 2042.91 1808.11 1880.74413333
18 58.412 1500 1359.16226667 289.380704561 7.47177766318 180.0 2042.91 1809.8 1884.80693333
19 58.746 1500 1359.40192667 289.215161735 7.4675033658 180.0 2084.84 1815.0 1889.51626667
20 59.08 1500 1359.47315333 287.743354631 7.42950146979 180.0 2084.84 1808.11 1879.82093333
21 59.414 1500 1359.10164 283.285041803 7.31438832756 180.0 2084.84 1803.0 1879.16333333
22 59.748 1500 1352.70696667 283.277455365 7.31419244656 122.77 2051.84 1797.08 1868.47933333
23 60.082 1500 1352.01609333 282.543694323 7.29524681793 122.77 2051.84 1796.51 1869.6468
24 60.416 1500 1371.73897333 275.375050751 7.11015323679 529.75 2028.0 1794.68 1875.268
25 60.75 1500 1372.69248667 277.063923109 7.15375973356 500.64 2028.0 1793.37 1867.87413333
26 61.084 1500 1374.02048 274.731825381 7.09354522917 500.64 2024.0 1791.73 1870.0484
27 61.418 1500 1378.44722 274.343262019 7.08351256629 500.64 2068.33 1797.11 1882.00493333
28 61.752 1500 1379.86424667 272.549515615 7.0371982333 500.64 2068.33 1803.0 1878.31386667
29 62.086 1500 1375.95245333 273.307666712 7.05677361043 500.64 2068.33 1808.0 1879.70853333
30 62.42 1500 1373.86532667 270.646693294 6.98806757223 553.33 2087.71 1789.0 1871.878
31 62.754 1500 1381.35408 269.939344967 6.96980391694 553.33 2110.0 1803.74 1882.6184
32 63.088 1500 1379.50095333 271.723669485 7.0158749779 553.33 2110.0 1814.0 1895.58453333
33 63.422 1500 1385.35938 274.060172913 7.07620323701 553.33 2110.0 1816.48 1894.14506667
34 63.756 1500 1383.63045333 272.531106426 7.03672291007 553.33 2123.0 1810.0 1893.07973333
35 64.09 1500 1381.96708667 271.783833943 7.01742841754 556.0 2123.0 1816.05 1897.44813333
36 64.424 1500 1380.64046 276.222418045 7.13203216626 329.2 2110.0 1813.0 1886.94146667
37 64.758 1500 1374.31997333 277.13224822 7.15552388035 563.36 2127.88 1811.9 1892.86026667
38 65.092 1500 1378.93540667 275.006199585 7.10062954066 480.38 2128.0 1810.0 1887.05826667
39 65.426 1500 1383.08681333 272.670457527 7.04032094003 106.0 2128.0 1815.0 1887.8648
40 65.76 1500 1388.90429333 268.623841229 6.9358377565 106.0 2143.0 1815.0 1892.43426667
41 66.094 1500 1389.23676 268.901060987 6.94299553988 480.38 2143.0 1816.48 1892.34813333
42 66.428 1500 1390.70821333 270.285168221 6.97873303497 218.36 2143.0 1818.63 1902.27093333
43 66.762 1500 1384.08339333 271.532289269 7.01093356197 218.36 2143.0 1816.36 1902.06826667
44 67.096 1500 1419.25584667 280.473262986 7.24178851067 461.47 2114.0 1855.1 1939.85373333
45 67.43 1500 1405.69078 280.521593572 7.24303640103 4.36 2114.0 1850.79 1933.1176
46 67.764 1500 1406.13635333 281.102324463 7.25803080818 4.36 2114.0 1860.0 1935.8208
47 68.098 1500 1402.09852667 276.59117661 7.14155347145 4.36 2106.0 1849.44 1930.7464
48 68.432 1500 1415.37313333 276.483776021 7.13878040017 451.12 2114.0 1856.28 1930.50226667
49 68.766 1500 1419.72959333 275.07857305 7.10249821547 451.12 2114.0 1856.28 1938.86613333
50 69.1 1500 1417.35530667 276.952552906 7.1508841673 451.12 2114.0 1864.77 1946.86333333
51 69.434 1500 1411.15849333 281.765695288 7.27515896923 451.12 2098.37 1868.0 1944.4716
52 69.768 1500 1402.7814 281.668881784 7.2726592553 451.12 2098.37 1855.39 1935.85866667
53 70.102 1500 1398.22845333 286.121022232 7.38761302735 188.0 2112.0 1847.11 1931.63386667
54 70.436 1500 1422.97668 274.931972678 7.09871301015 547.27 2125.0 1855.88 1933.51186667
55 70.77 1500 1429.7486 272.281046458 7.03026638947 319.4 2135.0 1854.37 1930.40066667
56 71.104 1500 1429.84032667 270.525806149 6.98494627957 319.4 2135.0 1851.0 1931.02053333
57 71.438 1500 1428.62238 271.610794951 7.01296056997 319.4 2135.0 1861.11 1938.8184
58 71.772 1500 1427.57927333 270.55664527 6.98574254224 596.59 2135.0 1854.25 1933.61506667
59 72.106 1500 1430.8347 269.246123776 6.95190502278 609.65 2135.0 1854.25 1937.478
60 72.44 1500 1427.79778 266.886124674 6.89097010798 235.41 2131.0 1854.37 1928.904
61 72.774 1500 1425.59656667 270.80773476 6.99222564499 609.65 2108.11 1854.0 1923.8884
62 73.108 1500 1424.48085333 276.411150433 7.13690521557 609.65 2108.11 1857.77 1930.93226667
63 73.442 1500 1431.35777333 271.136392164 7.00071154267 609.65 2171.0 1857.37 1936.07013333
64 73.776 1500 1406.83012667 284.990222665 7.35841590809 204.91 2114.0 1849.0 1928.38706667
65 74.11 1500 1407.05276667 285.583098496 7.37372389623 204.91 2114.0 1850.07 1926.6232
66 74.444 1500 1411.13400667 278.004748528 7.17805174143 555.04 2114.0 1844.16 1920.9848
67 74.778 1500 1408.81011333 278.022751536 7.17851657711 204.91 2093.7 1838.48 1909.8212
68 75.112 1500 1403.66863333 284.023189769 7.33344722609 204.91 2093.7 1847.38 1919.01493333
69 75.446 1500 1404.29832 283.093869741 7.30945228613 204.91 2093.7 1847.38 1921.6808
70 75.78 1500 1403.75073333 279.836550469 7.22534866418 567.67 2093.7 1849.41 1922.8964
71 76.114 1500 1404.05022667 278.368295791 7.1874384914 567.67 2093.7 1848.23 1926.66906667
72 76.448 1500 1404.27457333 279.91699105 7.22742563105 567.67 2093.7 1844.0 1921.4684
73 76.782 1500 1410.09326667 278.507282095 7.19102710234 656.84 2077.77 1844.0 1920.22466667
74 77.116 1500 1409.38388667 279.198146999 7.20886515745 579.35 2064.33 1838.41 1917.85853333
75 77.45 1500 1408.13336 279.149656239 7.20761313143 579.35 2064.33 1845.0 1915.91693333
76 77.784 1500 1408.28662 277.881977111 7.17488179708 579.35 2064.33 1835.87 1914.26973333
77 78.118 1500 1407.55351333 280.225799493 7.23539903077 579.35 2064.33 1832.69 1909.86013333
78 78.452 1500 1411.07154 278.674508084 7.1953448588 579.35 2064.33 1837.24 1911.41013333
79 78.786 1500 1410.64930667 278.57299024 7.19272367935 579.35 2064.33 1838.37 1908.54546667
