e_r	e_r
n1	5.703
n1	11.478
n1	17.253
n1	18.225
n1	24
n1	24
n1	24
n1	17.4
n1	15.8
n1	15.8
n1	14.8
n1	13.825
n1	7.225
n1	5.358
n1	5.358
n1	11.133
n1	9.408
n1	15.183
n1	8.583
n1	3
n1	3
n1	8.775
n1	8.775
n1	12
	
ST	s_r
n1	6.518
n1	6.6
n1	6.6
n1	1.11
n1	6.6
n1	0
n1	0
n1	0
n1	0
n1	0
n1	0
n1	3
n1	0
n1	0
n1	0
n1	6.6
n1	2.6
n1	6.6
n1	0
n1	0
n1	0
n1	6.6
n1	0
n1	5.24
	
TR	t_r
n1	0
n1	0
n1	0
n1	0
n1	0
n1	0
n1	0
n1	4
n1	0
n1	0
n1	1
n1	0
n1	0
n1	0
n1	0
n1	0
n1	4
n1	0
n1	0
n1	2
n1	0
n1	0
n1	0
n1	0
	
AR	d_r
n1	0
n1	0
n1	0
n1	0
n1	0
n1	0
n1	0
n1	2.6
n1	1.6
n1	0
n1	0
n1	3.6
n1	6.6
n1	1.867
n1	0
n1	0
n1	0
n1	0
n1	6.6
n1	3.583
n1	0
n1	0
n1	0
n1	1.36
