time	s_d	d_d	p_d	s_r	d_r	t_r	e_r	p_r
1	18.889	0	26.45	-20	0	0	18	17.05
2	20	0	25.68	-20	0	0	36	14.31
3	20	0	24.52	-20	0	0	54	15.69
4	15.556	0	24.25	-20	0	0	72	17.58
5	0	0	24.85	0	0	0	72	18.05
6	0	0	26.61	-14.444	0	0	85	19.52
7	0	0	39.38	0	0	0	85	25.64
8	0	0	56.09	0	16	4	65	70.13
9	0	0	55.08	0	20	0	45	49.74
10	0	0	48.72	0	20	0	25	49.02
11	0	0	47.78	0	0	1	24	50.53
12	0	0	58.94	0	0	0	24	38.81
13	0	3.947	53.35	0	3.947	0	20.053	173.55
14	0	0	49.5	-14.503	0	0	33.105	52.81
15	0	0	43.83	0	0	0	33.105	55.33
16	0	16.105	36.7	0	16.105	0	17	40.51
17	0	0	37.6	-4.444	0	4	17	33.75
18	0	0	48.67	-19.942	0	0	34.947	35.22
19	0	0	72.76	-20	0	0	52.947	68.69
20	0	0	54.04	0	18	2	32.947	60.11
21	0	15.947	47.22	0	15.947	0	17	52.81
22	0	0	47.19	0	0	0	17	35.63
23	16.667	0	36.43	-16.667	0	0	32	44.08
24	4.444	0	31.54	-20	0	0	50	73.6
