name smp ex st se min max var cvar
0 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
1 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
2 2000 1317.27292 272.779763916 6.09954095003 146.19 2027.0 1729.52 1828.2229
3 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
4 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
5 2000 1340.961905 281.733314043 6.29974841727 190.0 2030.0 1770.67 1849.597
6 2000 1324.639375 280.470493995 6.27151090255 21.0 2030.0 1756.13 1841.0756
7 2000 1289.70203 271.872122711 6.07924547569 170.71 2105.91 1717.0 1789.7149
8 2000 1317.265735 279.277094171 6.24482567125 190.0 2030.0 1747.84 1829.6501
9 2000 1332.553155 297.307512739 6.64799808706 405.0 2057.0 1810.37 1875.5922
10 2000 1448.211075 267.55082021 5.98261821425 20.0 2062.0 1838.74 1916.5109
11 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
12 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
13 2000 1337.789725 282.967211779 6.32733920941 248.96 2034.11 1771.58 1845.0843
14 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
15 2000 1333.432295 270.900012857 6.05750843853 478.66 2051.0 1761.0 1857.9753
16 2000 1284.20322 287.642570937 6.43188341839 84.03 2064.0 1745.33 1830.5782
17 2000 1294.947175 285.403715098 6.38182107989 427.6 2070.33 1749.02 1837.2676
18 2000 1280.74964 287.493280294 6.42854517811 60.0 2043.0 1730.75 1819.485
19 2000 1391.32032 264.626919284 5.91723780196 497.55 2080.0 1813.85 1884.029
20 2000 1331.16398 283.276460245 6.33425421534 32.67 2061.0 1769.87 1846.2448
21 2000 1340.97237 281.863504044 6.30265955418 190.0 2030.0 1770.67 1849.597
22 2000 1290.356645 314.390922422 7.02999474044 32.86 2102.0 1777.0 1860.5934
23 2000 1414.33616 277.692956029 6.20940326553 338.69 2077.0 1834.78 1903.9175
24 2000 1434.873495 266.607971162 5.96153546862 206.0 2083.0 1832.0 1905.1685
25 2000 1424.45951 269.277609452 6.02123039553 122.19 2112.0 1824.77 1892.7144
26 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
27 2000 1416.558055 276.851915733 6.19059703279 280.4 2134.0 1840.13 1918.5564
28 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
29 2000 1449.623 239.5737613 5.35703215893 355.5 2010.41 1823.84 1874.3214
30 2000 1319.437605 261.837469295 5.854863804 122.89 1999.84 1743.0 1818.3623
31 2000 1406.8976 277.948962754 6.21512774993 558.87 2109.0 1835.86 1911.8916
32 2000 1336.920555 271.425355003 6.06925544603 484.34 2041.37 1763.12 1850.3917
33 2000 1340.9973 281.814957332 6.3015740167 190.0 2030.0 1770.67 1849.597
34 2000 1341.030465 281.789175455 6.3009975164 190.0 2030.0 1770.67 1849.597
35 2000 1314.600765 285.285382429 6.37917508098 227.58 2033.33 1798.28 1873.6339
36 2000 1384.59993 267.855737361 5.98943636903 245.43 2178.0 1778.0 1867.2461
37 2000 1355.93972 259.595090405 5.80472268771 571.99 2114.58 1770.48 1859.9849
38 2000 1289.87199 300.191743873 6.71249145584 174.1 2093.65 1769.04 1855.9126
39 2000 1340.81677 281.621136938 6.29724006094 190.0 2030.0 1769.85 1849.5972
40 2000 1290.451985 305.043570586 6.8209815993 325.07 2020.84 1776.63 1851.482
41 2000 1374.739275 244.715853218 5.47201282967 531.04 2081.0 1758.95 1828.2261
42 2000 1362.677475 281.617111082 6.29715004006 332.78 2122.85 1814.03 1891.8256
43 2000 1332.921805 293.989118879 6.57379654458 0.0 2038.41 1786.14 1861.7474
44 2000 1471.60699 250.84365682 5.60903468375 65.61 2057.0 1865.11 1909.5838
45 2000 1355.944525 264.778120624 5.9206187667 204.04 2078.7 1759.39 1839.1816
46 2000 1296.97446 290.250668109 6.49020224407 109.48 2173.0 1754.1 1845.3459
47 2000 1294.735285 281.693135332 6.29884999398 84.03 2127.37 1745.08 1832.7157
48 2000 1344.64281 250.841851514 5.60899431587 458.53 2014.51 1749.0 1831.6076
49 2000 1243.719525 297.635465943 6.65533134364 142.48 2023.0 1736.95 1829.7912
50 2000 1301.251195 287.117105779 6.42013366025 429.63 2030.71 1764.69 1836.9486
51 2000 1327.34867 283.765104685 6.34518063717 0.0 2155.0 1778.34 1864.8548
