time	n0	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15
1	27.29	-13.26	20.58	28.1	15.93	10.61	21.32	30.61	39.95	35.7	23.17	24.43	31.54	33.08	29.27	43.15
2	22.89	19.25	21.41	25.39	8.75	1.32	-0.26	29.56	28.17	24.1	21.8	23.68	26.03	9.86	26.3	41.24
3	21.66	18.29	18.88	24.77	-24.3	18.78	18.09	26.83	26.47	21.28	19.86	9.99	23.87	17.96	24.61	25.35
4	20.77	17.85	17.35	24.32	14.48	20.27	11.99	24.85	25.96	19.98	19.82	7.82	24.03	7.84	24.62	25.7
5	21.61	20.78	19.51	24.16	18.28	20.65	8.99	19.86	26.26	19.18	19.37	14.79	9.81	7.48	27.13	25.61
6	23.92	21.81	21.64	25.27	21.89	23.42	20.56	19.59	27.87	22.97	21.24	20.73	12.57	11.62	31.14	26.33
7	34.33	23.05	25.41	28.42	24.08	27.36	22.97	24.67	27.69	22.45	22.43	24.12	25.93	27.13	28.69	26.58
8	43.69	26.09	29.01	43.84	33.82	28.37	28.11	34.82	31.07	24.59	26.51	28.24	31.87	30.69	38.68	30.33
9	46.77	31.41	32.57	48.14	35.09	26.36	30.3	32.02	45.6	34.46	30.36	32.23	41.86	37.52	56.05	39.22
10	53.28	39.93	38.83	38.81	55.9	32.37	34.65	35.41	42.02	32.73	45.17	34.63	46.23	30.05	44.21	50.62
11	62.57	44.35	57.83	64.69	51.35	34.43	43.03	51.56	48.19	35.76	31.23	46.6	91.73	51.3	62.58	50.83
12	65.7	63.55	61.32	86.43	48.16	38.3	50.38	51.25	54.76	40.6	37.43	72.39	58.79	57.78	68.23	52.97
13	71.65	57.36	71.63	59.05	56.94	55.82	67.15	56.69	58.28	42.42	41.83	74.32	68.84	66.38	65.19	52.05
14	78.45	65.29	66.49	60.41	78.79	40.76	56.37	63	58.21	44.39	44.2	105.55	90.51	62.56	64.93	50.42
15	89.96	62.15	65.75	61.13	88.76	48.72	55.61	70.53	59.14	47.07	77.7	57.35	98.39	59.77	58.91	46.7
16	95.14	156.78	64.98	71.07	62.03	36.48	60.31	91.79	67.83	44.51	52.3	67.82	353.65	107.1	67.66	44.74
17	85.73	87.04	63.04	68.85	93.46	34.46	58.84	116.53	69.73	44.59	52.19	77.46	71.43	73.21	69.32	44.86
18	73.61	73.07	65.01	62.18	51.75	30.47	57.08	108.2	65.19	43.44	43.07	66.38	65.42	117.26	63.14	29.5
19	67.8	68.35	61.74	53.74	45.35	28.32	59	68.24	55.34	36.78	37.39	65.49	68.51	78.61	69.55	37.67
20	63.5	57.53	63.67	45.64	35.41	28.76	49.68	61.58	44.83	29.41	32.56	76.02	63.89	64.9	57.66	31.9
21	65.93	64.76	66.79	35.02	39.23	34.82	70.89	84.04	34.6	28.66	34.97	73.01	65.01	76.41	48.39	32.5
22	51.8	40.97	45.28	34.2	30.52	28.58	39.96	58.66	39.04	15.34	29.33	47.56	48.97	69.97	57.28	29.14
23	35.35	30.43	36.34	36.5	31.92	33.63	38.31	45.24	32.83	23.56	25.12	33.62	29.84	51.24	44.9	27.64
24	29.87	23.31	36.12	20.05	30.07	24.28	32.37	40.73	24.89	23.71	23.49	38.92	30.86	43.34	28.73	26.34
