time	n0	n1	n2	n3	n4	n5	n6
1	21.44	23.5	26.16	21.51	22.32	29.29	23.9
2	19.78	21.05	23.67	20.58	19.8	25.2	23.54
3	18.24	18.54	20.04	19.51	18.16	22.71	19.88
4	17.68	20.98	18.83	18.18	17.42	22.19	18.75
5	17.62	19.23	18.44	16.37	13.51	22.24	19.98
6	17.05	21.99	17.29	16.57	16.44	22.65	19.03
7	18.13	22.7	15.88	18.97	17.87	21.46	19.18
8	19.63	25.44	21.96	22.95	21.51	24.39	22.62
9	25.17	27.27	26.44	25.42	25.14	22.93	25.04
10	27.85	28.1	28.31	29.66	27.73	29.9	12.08
11	31.29	32.28	74.53	30.68	30.15	34.95	2.34
12	34.36	27.51	34.12	33.98	40.76	72.58	-5.26
13	36.42	27.77	30.78	34.15	46.6	47.34	25.53
14	40.82	28.78	29.72	34.25	39.25	50.49	27.22
15	44.6	34.24	35.47	37.74	37.21	48.57	32.63
16	49.64	45.76	45.02	36.26	46.26	43.86	36.82
17	49.07	45.46	47.54	61.3	72.74	49.76	28.86
18	46.56	29.82	51.04	65.91	66.15	40.17	32.87
19	40.06	30.17	42.02	53.02	51.23	32.47	34.61
20	36.18	31.19	32.67	37.72	44.25	29.41	31.13
21	34.77	30.15	43.64	34.97	53.77	30.74	39.62
22	28.99	26.69	28.36	29.73	39.36	27.16	20.17
23	23.81	24.57	26.19	26.54	28.88	26.73	-62.4
24	19	26.45	24.01	22.72	32.53	29.58	11.81
