time	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15	n0
1	17.05	58.75	31.47	21.13	31.88	23.9	38.85	54.62	36.11	24.99	21.86	28.53	30.39	24.36	26.25	26.45
2	14.31	56.1	39.5	22.24	30.34	25.82	39.44	26.33	25.02	23.22	21.59	26.03	49.15	25.83	26.38	25.68
3	15.69	28.55	48.93	22.08	28.1	26.14	24.82	25.04	26.11	21.97	22.93	23.46	26.49	24.99	28.74	24.52
4	17.58	21.62	62.51	22.09	30.15	25.02	24.67	26.07	24.25	18.76	22.18	24.47	26.67	21.96	26.74	24.25
5	18.05	19.67	26.28	22.24	27.32	19.85	23.9	26.3	23.73	23.7	20.5	25.6	23.57	22.61	26.55	24.85
6	19.52	-56.2	29.35	-6.06	23.4	20.5	23.22	27.26	21.33	20.49	21.8	27.89	22.99	24.59	26.66	26.61
7	25.64	21.76	37.9	22.89	34.31	27.57	27.94	39.63	23.3	21.45	13.08	53.41	27.12	28.7	29.58	39.38
8	70.13	76.07	56.35	27.56	61.84	35.74	55.38	77.18	82	32.63	29.8	35.7	52.38	81.28	43.64	56.09
9	49.74	51.6	54.46	31.44	52.79	38.52	38.17	59.26	59.58	36.55	32.83	45.27	37.78	45.02	46.16	55.08
10	49.02	37.58	27.32	36	41.75	34.1	77.93	51.27	53.2	37.61	28.66	43.71	72.77	39.67	34.18	48.72
11	50.53	32.2	27.69	29.96	40.74	32.08	39.29	48.08	63.18	39.27	51.34	48.75	85.52	31.6	34.23	47.78
12	38.81	33.08	27.49	30.55	36.47	33	36.67	32.68	35.78	35.49	34.16	44.65	46.1	35.1	31.12	58.94
13	173.55	34.58	26.29	30.29	56.23	32.34	32.5	36.77	39.99	39.19	61.13	39.68	30.15	32.73	30.66	53.35
14	52.81	38.7	25.21	32.57	63.82	29.11	31.71	50.97	49.9	45.54	31.56	43.99	32.4	34.86	28.85	49.5
15	55.33	38.62	25.13	36.01	37.44	29.8	33.9	42.27	33.86	99.62	36.63	48.99	33.34	32.81	29.26	43.83
16	40.51	37.26	25.36	30.36	28.56	25.53	30.21	36.15	29.67	32.9	29.84	32.82	37.27	29.86	27.84	36.7
17	33.75	28.54	24.3	27.03	31.12	25.18	30.89	27.16	31.01	32.94	29.7	28.83	24.74	29.5	25.64	37.6
18	35.22	33.67	36.51	35.49	32.64	28.53	31.75	24.96	34.37	33.07	33.07	32.69	28.27	27.82	29.39	48.67
19	68.69	67.94	40.2	75.01	48.95	51.87	46.22	74	60.2	35.48	79.16	59.13	47.42	46.56	42.76	72.76
20	60.11	60.42	33.58	58.19	40.54	62.82	68.07	73.25	72.58	37.02	56.99	65.4	67.13	39.27	36.09	54.04
21	52.81	44.4	26.54	52.73	34.54	58.59	56.76	76.7	39.91	40.68	39.19	55.79	34.15	43.91	38.27	47.22
22	35.63	43.89	24.8	56.91	32.56	42.51	34.17	75.47	38.67	29.17	32.4	36.77	28.08	39.26	31.98	47.19
23	44.08	34.91	23.63	60.07	27.08	32.92	32.02	67.66	28.11	29.18	28.49	35.44	33.15	43.07	47.04	36.43
24	73.6	35.12	20.6	30.08	36.01	54.1	44.93	71.93	23.92	29.75	26.6	29.82	29.76	28.17	32	31.54
