time	n0	n1	n2	n3	n4	n5	n6
1	26.07	76.67	29.34	19.52	30.57	34.4	25.97
2	24.97	32.5	29.19	30.95	52.84	51.77	19.89
3	23.62	34.56	20.81	20.47	30.93	59.65	19.47
4	23.12	37.46	22.74	23.04	32.17	30.69	15.07
5	23.1	32.5	20.47	23.37	29	27.43	21.3
6	24.07	29.1	20.29	22.64	33.83	29.32	16.86
7	26.43	28.31	26.15	17.79	46.67	39.85	18.98
8	34.56	136.37	26.68	35.28	36.12	27.33	20.49
9	38.27	39.76	23.68	39.51	25.97	77.94	20.21
10	46	48.31	25.16	62.04	25.01	34.55	23.39
11	50.6	51.73	25.54	28.47	26	30.35	23.48
12	47.52	42.59	25.56	36.76	28.59	29.95	22.08
13	42.89	27.13	24.56	54.26	29.73	27.55	19.82
14	35.07	28.59	23.02	71.39	28.46	29.63	19.53
15	33.45	24.09	21.38	39.26	27.27	27.14	21.27
16	30.69	21.07	21.58	29.12	28.42	37.17	19.59
17	31.61	21.36	13.2	32.25	22.86	25.33	21.14
18	40.8	23.88	22.24	41.55	24.65	24.26	24.66
19	57.89	42.77	33.69	88.02	31.68	49.77	49.66
20	55.88	40.47	35.12	69.48	26.48	42.31	32.97
21	55.12	43.83	47.65	69.43	31.87	41.43	30.83
22	47.06	33.92	38.27	63.01	28.61	56.67	31.58
23	38.76	41.24	27.29	45.92	29.51	27.21	21.85
24	33.52	26.44	24.58	42.9	25.71	24.68	18.15
