time	n0	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15
1	16.51	16.62	18.02	6.92	-3.81	18.07	14.06	14.27	6.23	15.72	14.21	15.92	14.68	16.79	19.96	46.1
2	15.46	16.44	16.43	14.34	12.85	9.38	18.97	8.14	10.55	19.95	11	16.22	14.18	21.14	19.85	23.34
3	15.17	16.97	16.49	16.57	6.34	15.98	19.09	7.33	14.05	13.52	11.84	16.62	17.28	20.87	18.4	18.6
4	14.99	15.47	13.84	17.19	12.01	18.81	18.6	10.8	3.82	14.27	13.23	16.03	17.37	20.2	18.2	21.38
5	15.29	19.57	18.49	7.73	15.16	-6.95	19.41	8.65	12.56	18.22	11.27	17.01	7.37	22.35	23.29	21.92
6	20.67	18.2	21.03	20.07	15.44	19.47	22.38	19.2	19.05	23.27	70.57	17.9	14.84	32.33	23.21	21.14
7	25.74	25.15	24.42	25.31	21.61	21.49	29.96	32.02	25.24	25.98	23.73	20.86	23.96	53.67	26.06	22.36
8	30.37	42.35	27.95	26.55	28.55	38.48	93.24	29.56	24.64	40.3	29.28	23	25.92	32.01	85.33	39.74
9	31.13	42.42	26.41	53.85	25.61	29.45	158.28	54.76	26.24	62.72	62.28	24.35	76.54	32.21	27.3	64.36
10	36.15	44.23	36.98	26.48	24.09	41.33	15.87	44.48	33.13	47.4	33.51	28.52	62.82	29.52	36.16	28.47
11	36.62	33.35	28.22	25.39	25.72	33.67	36.98	35.48	31.32	44.4	28.29	25.16	48.79	38.57	33.79	52.94
12	39.19	31.41	39.8	30.81	25.93	29.18	54.89	65.66	29.15	46.27	46.71	25.35	38.32	46.09	35.15	27.58
13	40.01	29.7	27.15	26.98	25.76	57.57	39.57	37	27.87	39.33	34.33	25.36	40.08	53.39	36.14	28.14
14	39.86	27.45	26.97	25.48	27.72	36.05	59.16	83.77	30.96	36.8	39.62	35.96	38.45	33.76	33.35	25.3
15	38.92	28.77	26.69	25.7	25.93	31.59	63.11	29.52	45.34	76.27	39.06	36.35	30.2	35.93	31.13	26.53
16	45.2	27.93	24.09	26.16	24.83	27.36	37.69	29.94	27.24	35.5	41.47	22.66	142.04	44.74	29.78	29.13
17	40.05	27.2	24.61	31.68	47.46	54.35	11.05	38.22	28.24	28.37	41.87	23.79	47.37	31.28	31.79	31.04
18	34.38	26.49	24.41	21.42	24.84	23.71	16.78	19.76	23.45	81.35	18.17	24.51	41.37	33.03	25	23.15
19	28.52	25.77	22.18	11.52	23.43	25.5	25.67	23.47	22.16	50.9	18.51	23.84	33.83	45.8	25.79	23.19
20	38.06	39.93	37.67	31.16	27.53	62.25	90.86	23.01	15.02	30.87	14.41	25	29.64	27.22	28.29	35.45
21	43.5	26.73	57.42	27.84	90.52	33.54	55.95	26.56	22.77	86.98	26.87	40.37	33.78	28.71	30.69	25.31
22	28.08	24.36	25.95	20.54	24	22.8	27.08	27.59	25.27	26.15	19.21	12.41	27.01	24.36	23.99	23.84
23	20.26	20.08	21.36	17.02	19.97	21.67	22.08	22.87	22.63	22.3	15.13	14.37	36.69	23.09	24.82	17.8
24	17.83	17.53	10.82	14.88	20	19.58	20.11	21.35	18.98	17.58	10.43	15.9	17.51	20.99	20.4	17.83
