time	n0	n1	n2	n3	n4	n5	n6
1	15.47	16.56	19	-3.92	18.56	46.1	18.34
2	15.35	17.96	17.92	13.68	19.61	23.34	-48.19
3	15.1	18.27	16.46	14.69	18.38	18.6	17.77
4	14.98	19.1	18.18	16.09	19.86	21.38	15.36
5	15.7	17.58	17.45	14.94	19	21.92	9.27
6	14.83	19.78	18.45	12.85	18.56	21.14	16.64
7	16.56	18.74	18.28	27.77	20.79	22.36	13.67
8	21.95	22.72	24.22	39.44	21.39	39.74	24.57
9	29.89	24.47	23.56	29.08	24.74	64.36	30.82
10	30.82	24.79	26.23	26.33	23.32	28.47	23.66
11	32.24	24.52	27.23	42.94	22.12	52.94	25.8
12	32.92	23.78	28.04	31.95	20.82	27.58	23.38
13	29.92	22.79	39.24	40.16	19.37	28.14	20.89
14	29.11	18.52	24.94	27.04	18.78	25.3	21.43
15	28.07	-11.86	24.03	21.85	18.53	26.53	21.17
16	27.47	19.98	24.33	23.92	19.33	29.13	20.78
17	27.94	20.68	37.73	24.42	18.8	31.04	24.46
18	27.56	21.41	27.86	23.29	18.45	23.15	24.27
19	26.63	20.39	25.28	23.14	18.25	23.19	21.95
20	33.93	24	22.86	24.09	19.22	35.45	8.74
21	38.65	38.14	96.37	29	21.51	25.31	38.63
22	29.01	24	26	27.53	19.42	23.84	35.98
23	22.13	21.88	18.43	22.85	-2.29	17.8	21.33
24	20.59	21.32	18.51	20.3	9.75	17.83	19.43
