time	n0	n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13	n14	n15
1	14.92	15.21	15.1	-12.27	-32.8	21.85	5.79	28.71	12.81	5.36	21.26	16.18	17.83	-4.97	9.56	17.25
2	13.47	17.06	5.58	12.12	1.54	21.2	18.94	23.69	-2.45	11.17	19.98	2.2	12.74	16.21	16.35	16.34
3	13.9	17.18	-0.12	-0.11	5.07	21.2	19.54	22.29	2.16	14.47	19.64	-7.57	14.35	5.28	15.18	9.05
4	13.13	11.46	-12.69	0.59	11.9	21.55	20.92	21.03	10.16	5.17	16.84	-7.57	13.75	-1.63	15	15.85
5	15.45	16.46	3.23	9.82	-15.86	22.12	21.73	17.98	16.84	18.84	21.61	-24.46	16.39	-1.97	3.05	15.83
6	20.49	27.32	18.62	-89.43	23.5	24.93	27.15	29.41	34.71	26.27	31.36	7.87	8.64	11.48	16.67	12.5
7	32.72	40.37	23.73	23.99	37.88	28.22	64.73	28.79	32.36	37.35	82.33	25.67	18.67	55.56	35.88	59.61
8	33.75	27.56	24.42	25.74	29.68	26.56	29.5	27.98	44.01	36.38	30.38	85.34	64	24.57	4.49	22.26
9	32.96	26.21	25.52	25.27	26.97	23.59	30.9	32.72	40.59	28	31.23	26.32	21.94	24.59	27.68	28.06
10	33.77	26.49	24.45	36.5	41.22	21.53	35.83	29.41	27.8	36.6	48.18	21.65	24.49	24.99	31.75	26.81
11	33.58	26.3	21.94	31.36	31.03	18.69	29.66	44.65	33.55	28.97	32.68	20.51	28.32	27.88	56.04	28.17
12	30.29	26.12	23.37	26.25	43.11	11.95	31.76	27.21	25.53	30.51	52.27	22.37	27.88	26.1	46.78	29.51
13	27.76	26.32	23.31	26.71	28.86	-4.1	31.06	27.9	26.29	40.03	2.04	20.53	26.67	32.46	38.25	43.15
14	26.4	28.24	24.03	26.35	27.73	18.99	26.45	25.21	24.59	28.63	16.32	20.42	24.96	30.35	31.36	27.9
15	23.7	25.49	17.45	21.33	29.38	9.25	27.06	23.23	23.99	25.56	25.77	24.32	24.15	24.85	51.95	25.64
16	22.2	25.35	-17.04	16.19	24.13	3.4	26.16	25.39	24.64	26.49	24.35	23.79	23.03	22.56	27.25	24.94
17	21.74	24.01	22.79	24.52	23.73	17.73	26.04	25.23	26.51	27.87	38.3	20.82	22.39	24.21	25.07	22.2
18	24.64	27.54	23.84	29.37	30.27	17.84	72.48	28.39	42.62	47.16	55.15	21.96	48.65	50.35	106.45	25.76
19	36.4	32.91	25.83	75.43	29.74	24.39	41.13	26.27	25.72	36.38	86	29.05	33.93	74.18	48.43	25.15
20	30.47	26.73	25.67	24.49	29.75	22.72	31.9	27.15	58.83	38.63	40.2	19.76	27.23	43.92	28.53	23.54
21	25.67	24.28	-3.97	4.25	27.55	19.63	26.66	25.26	34.23	30.39	32.87	20.97	22.07	20.52	29.37	23.05
22	20.77	20.86	20.69	20.81	24.79	22.93	24.24	23.18	22.7	23.26	29.75	20.73	19.59	21.46	28.92	22.96
23	16.74	16.35	14.04	-1.74	23.47	18.55	22.67	17.46	12.54	23.32	29.48	11.26	20.04	21.87	23.3	17.02
24	13.58	15.64	0.26	10.5	22.03	-2.38	22.21	14.7	-81.73	20.9	25.86	14.68	16.6	18.14	20.59	17.81
