time	n0	n1	n2	n3	n4	n5	n6
1	24.05	-14.03	15.68	27.88	0.84	7.17	14.51
2	23.48	1.3	11.6	24.05	10.64	-10.46	14.94
3	22.71	12.51	17.11	26.7	-9.77	10.41	12.93
4	20.27	4.71	17.5	25.13	13.65	-10.67	14.97
5	19.47	8.26	15.64	15.08	7.88	7.14	15.4
6	22.79	17.84	18.08	16.6	16.08	8.19	14.42
7	25.21	28.1	18.16	35.61	21.8	4.98	18.78
8	29.64	16.93	21.65	-20.52	12.35	15.79	19.75
9	34.35	29.99	24.32	34.5	28.63	19.05	23.09
10	39.25	32.41	25.13	41.06	22.88	20.86	27.59
11	38.36	35.4	24.42	42.82	25.24	19.22	25.54
12	32.67	28.06	24.46	41.19	22.47	23.78	25.38
13	25.55	22.52	25.45	24.07	22.99	22.96	24.08
14	24.16	21.42	25.84	23.28	23.79	21.44	22.85
15	22.84	21.77	26.4	22.08	22.24	21.78	22.65
16	22.5	19.33	25.93	-25.03	-17.49	19.47	22.8
17	22.75	22.4	25.08	19.87	16.42	20.81	23.82
18	33.05	24.16	21.69	15.08	26.32	27.25	68.99
19	38.39	24.97	25.03	45.53	60.83	25.73	45.81
20	33.03	27.93	24.71	47.55	33.49	28.1	128.89
21	26.7	22.37	29.16	0.72	9.04	23.95	30.97
22	22.77	21.23	23.49	23.79	21.14	21.41	26.25
23	19.12	16.87	21.82	6.42	13.46	20.71	28.91
24	17	8.61	17.19	-12.72	3.82	17.91	17.32
