prob	ls
0.9996	21.0
0.9992	23.71
0.9988	33.47
0.9984	43.0
0.998	43.0
0.9976	43.0
0.9972	43.0
0.9968	43.0
0.9964	55.4
0.996	59.07
0.9956	59.31
0.9952	64.49
0.9948	69.81
0.9944	72.38
0.994	78.47
0.9936	82.99
0.9932	85.0
0.9928	85.0
0.9924	85.0
0.992	85.78
0.9916	87.53
0.9912	87.71
0.9908	89.36
0.9904	89.36
0.99	90.12
0.9896	91.81
0.9892	92.07
0.9888	93.12
0.9884	94.19
0.988	96.15
0.9876	97.11
0.9872	99.43
0.9868	100.48
0.9864	101.78
0.986	102.59
0.9856	102.92
0.9852	103.36
0.9848	105.0
0.9844	105.95
0.984	106.64
0.9836	107.0
0.9832	107.0
0.9828	107.0
0.9824	107.0
0.982	107.0
0.9816	107.0
0.9812	107.0
0.9808	107.11
0.9804	107.72
0.98	108.97
0.9796	109.71
0.9792	109.71
0.9788	109.71
0.9784	109.71
0.978	109.71
0.9776	109.71
0.9772	109.71
0.9768	109.71
0.9764	109.71
0.976	109.85
0.9756	109.95
0.9752	110.28
0.9748	111.89
0.9744	112.63
0.974	113.38
0.9736	114.15
0.9732	115.29
0.9728	115.58
0.9724	115.58
0.972	115.74
0.9716	116.24
0.9712	117.67
0.9708	118.4
0.9704	119.62
0.97	120.12
0.9696	120.25
0.9692	120.59
0.9688	121.19
0.9684	121.85
0.968	121.99
0.9676	122.58
0.9672	123.57
0.9668	124.0
0.9664	124.29
0.966	124.94
0.9656	125.19
0.9652	126.0
0.9648	126.0
0.9644	126.0
0.964	126.0
0.9636	126.93
0.9632	127.0
0.9628	127.54
0.9624	127.65
0.962	127.65
0.9616	128.0
0.9612	128.37
0.9608	128.48
0.9604	128.96
0.96	129.09
0.9596	129.39
0.9592	129.71
0.9588	129.89
0.9584	130.36
0.958	130.36
0.9576	130.36
0.9572	130.36
0.9568	130.53
0.9564	131.05
0.956	131.5
0.9556	131.75
0.9552	132.05
0.9548	132.43
0.9544	132.71
0.954	133.4
0.9536	133.98
0.9532	134.04
0.9528	134.75
0.9524	134.99
0.952	135.17
0.9516	135.58
0.9512	135.67
0.9508	135.95
