c1   c2   ex
0   0   1339.89616667
0   5   1322.62033333
0   10   1369.0871
0   15   1365.7831
0   20   1358.1923
0   25   1315.8068
0   30   1316.11346667
0   35   1316.5054
0   40   1316.37593333
0   45   1316.37593333
0   50   1316.37593333

10   0   1352.2514
10   5   1282.981
10   10   1358.6484
10   15   1352.46533333
10   20   1365.12263333
10   25   1309.38746667
10   30   1309.5453
10   35   1309.5453
10   40   1309.1898
10   45   1309.51716667
10   50   1309.51716667

20   0   1341.13086667
20   5   1360.40306667
20   10   1285.32926667
20   15   1276.91763333
20   20   1278.78306667
20   25   1272.2316
20   30   1273.8198
20   35   1273.8198
20   40   1273.8198
20   45   1273.90233333
20   50   1273.90233333

30   0   1335.05973333
30   5   1326.31773333
30   10   1320.25583333
30   15   1308.37163333
30   20   1308.62566667
30   25   1275.70413333
30   30   1275.70413333
30   35   1274.9732
30   40   1274.9732
30   45   1274.9732
30   50   1274.9732

40   0   1294.10266667
40   5   1305.2626
40   10   1307.36483333
40   15   1291.2722
40   20   1294.3164
40   25   1237.0113
40   30   1237.0113
40   35   1237.0113
40   40   1237.0113
40   45   1237.0113
40   50   1237.0113

50   0   1227.94996667
50   5   1294.56643333
50   10   1362.29953333
50   15   1361.28983333
50   20   1357.8172
50   25   1337.71336667
50   30   1337.71336667
50   35   1338.1867
50   40   1337.71336667
50   45   1337.71336667
50   50   1337.71336667

60   0   1287.40146667
60   5   1275.9043
60   10   1392.95543333
60   15   1389.88973333
60   20   1377.5481
60   25   1360.25846667
60   30   1359.8122
60   35   1359.8122
60   40   1359.8122
60   45   1359.8122
60   50   1359.8122

70   0   1177.60556667
70   5   1226.2382
70   10   1186.99313333
70   15   1162.26723333
70   20   1173.88483333
70   25   1249.33
70   30   1249.48106667
70   35   1249.48106667
70   40   1250.10003333
70   45   1250.10003333
70   50   1250.10003333

80   0   1252.5261
80   5   1279.62523333
80   10   1401.44946667
80   15   1415.2647
80   20   1410.83083333
80   25   1252.78276667
80   30   1253.2879
80   35   1253.2879
80   40   1253.2879
80   45   1253.2593
80   50   1253.2593

90   0   1238.73153333
90   5   1248.95453333
90   10   1412.2887
90   15   1419.23326667
90   20   1398.03466667
90   25   1259.71706667
90   30   1260.84116667
90   35   1260.49276667
90   40   1260.46463333
90   45   1260.46463333
90   50   1260.46463333

100   0   1236.99586667
100   5   1236.4682
100   10   1400.12623333
100   15   1414.8548
100   20   1402.06
100   25   1279.93616667
100   30   1279.9495
100   35   1280.76693333
100   40   1279.89283333
100   45   1279.89283333
100   50   1279.89283333

110   0   1228.94976667
110   5   1234.01496667
110   10   1394.57443333
110   15   1406.60726667
110   20   1396.63883333
110   25   1247.46116667
110   30   1247.07333333
110   35   1247.52333333
110   40   1246.74333333
110   45   1246.92483333
110   50   1246.92483333

120   0   1224.68666667
120   5   1228.82563333
120   10   1399.16843333
120   15   1403.79126667
120   20   1412.58936667
120   25   1254.50303333
120   30   1254.25126667
120   35   1254.70126667
120   40   1254.6446
120   45   1254.6446
120   50   1254.6446

130   0   1236.96846667
130   5   1235.57543333
130   10   1221.46023333
130   15   1210.70543333
130   20   1196.9092
130   25   1283.34756667
130   30   1284.41193333
130   35   1284.60236667
130   40   1284.60236667
130   45   1284.60236667
130   50   1284.60236667

140   0   1236.7478
140   5   1234.2454
140   10   1222.58326667
140   15   1208.0217
140   20   1195.5418
140   25   1284.20733333
140   30   1285.2717
140   35   1285.46213333
140   40   1285.46213333
140   45   1285.46213333
140   50   1285.46213333

150   0   1237.46223333
150   5   1233.54253333
150   10   1223.98703333
150   15   1212.0645
150   20   1199.03223333
150   25   1283.4334
150   30   1284.49776667
150   35   1284.6882
150   40   1284.6882
150   45   1284.6882
150   50   1284.6882

160   0   1234.113
160   5   1234.92443333
160   10   1222.50603333
160   15   1209.33426667
160   20   1200.06516667
160   25   1282.5162
160   30   1283.58056667
160   35   1283.771
160   40   1283.771
160   45   1283.771
160   50   1283.771
