c1   c2   cvar
0   0   1824.04533333
0   5   1879.05066667
0   10   1846.36866667
0   15   1843.27266667
0   20   1840.716
0   25   1787.652
0   30   1787.652
0   35   1787.652
0   40   1787.652
0   45   1787.652
0   50   1787.652

10   0   1821.32733333
10   5   1849.29666667
10   10   1864.064
10   15   1846.57266667
10   20   1870.95466667
10   25   1866.16866667
10   30   1866.16866667
10   35   1866.16866667
10   40   1866.16866667
10   45   1866.16866667
10   50   1866.16866667

20   0   1880.17533333
20   5   1905.08533333
20   10   1821.222
20   15   1822.12
20   20   1835.90266667
20   25   1840.29133333
20   30   1846.56266667
20   35   1846.56266667
20   40   1846.56266667
20   45   1846.56266667
20   50   1846.56266667

30   0   1860.92666667
30   5   1834.35066667
30   10   1859.88933333
30   15   1837.68466667
30   20   1853.162
30   25   1863.44533333
30   30   1863.44533333
30   35   1863.44533333
30   40   1863.44533333
30   45   1863.44533333
30   50   1863.44533333

40   0   1852.178
40   5   1802.59333333
40   10   1823.618
40   15   1860.46333333
40   20   1853.838
40   25   1786.044
40   30   1786.044
40   35   1786.044
40   40   1786.044
40   45   1786.044
40   50   1786.044

50   0   1791.65533333
50   5   1820.93333333
50   10   1850.69666667
50   15   1857.43
50   20   1878.726
50   25   1875.068
50   30   1875.068
50   35   1875.068
50   40   1875.068
50   45   1875.068
50   50   1875.068

60   0   1813.66733333
60   5   1764.938
60   10   1909.58
60   15   1889.16933333
60   20   1925.29066667
60   25   1875.322
60   30   1875.322
60   35   1875.322
60   40   1875.322
60   45   1875.322
60   50   1875.322

70   0   1688.19533333
70   5   1729.39
70   10   1783.674
70   15   1790.02
70   20   1755.47466667
70   25   1793.91466667
70   30   1793.91466667
70   35   1793.91466667
70   40   1793.91466667
70   45   1793.91466667
70   50   1793.91466667

80   0   1807.064
80   5   1843.46733333
80   10   1840.62733333
80   15   1832.20133333
80   20   1827.12866667
80   25   1816.192
80   30   1816.192
80   35   1816.192
80   40   1816.192
80   45   1816.192
80   50   1816.192

90   0   1867.78466667
90   5   1799.27
90   10   1836.68266667
90   15   1822.51533333
90   20   1824.77
90   25   1834.00533333
90   30   1834.00533333
90   35   1834.00533333
90   40   1834.00533333
90   45   1834.00533333
90   50   1834.00533333

100   0   1816.29866667
100   5   1784.33933333
100   10   1850.414
100   15   1843.164
100   20   1828.468
100   25   1848.18666667
100   30   1848.18666667
100   35   1848.18666667
100   40   1848.18666667
100   45   1848.18666667
100   50   1848.18666667

110   0   1802.56
110   5   1826.26866667
110   10   1821.688
110   15   1840.448
110   20   1827.50466667
110   25   1766.976
110   30   1766.976
110   35   1766.976
110   40   1766.976
110   45   1766.976
110   50   1766.976

120   0   1800.90866667
120   5   1819.88533333
120   10   1823.37533333
120   15   1834.59266667
120   20   1824.77
120   25   1767.84933333
120   30   1767.84933333
120   35   1767.84933333
120   40   1767.84933333
120   45   1767.84933333
120   50   1767.84933333

130   0   1804.33933333
130   5   1798.80333333
130   10   1744.05933333
130   15   1754.31866667
130   20   1693.78533333
130   25   1786.944
130   30   1786.944
130   35   1786.944
130   40   1786.944
130   45   1786.944
130   50   1786.944

140   0   1801.406
140   5   1794.53666667
140   10   1736.58333333
140   15   1754.31866667
140   20   1693.78533333
140   25   1786.944
140   30   1786.944
140   35   1786.944
140   40   1786.944
140   45   1786.944
140   50   1786.944

150   0   1801.406
150   5   1794.53666667
150   10   1736.58333333
150   15   1754.31866667
150   20   1693.78533333
150   25   1787.03666667
150   30   1787.03666667
150   35   1787.03666667
150   40   1787.03666667
150   45   1787.03666667
150   50   1787.03666667

160   0   1801.406
160   5   1794.53666667
160   10   1736.58333333
160   15   1754.31866667
160   20   1693.78533333
160   25   1787.03666667
160   30   1787.03666667
160   35   1787.03666667
160   40   1787.03666667
160   45   1787.03666667
160   50   1787.03666667
