c1   c2   cvar
0   0   1824.04533333
0   1   1808.47066667
0   2   1820.39866667
0   3   1828.97466667
0   5   1879.05066667
0   6   1802.40733333
0   7   1826.66
0   8   1814.04066667
0   10   1846.36866667
0   11   1847.20066667
0   12   1838.75066667
0   14   1833.49733333
0   15   1843.27266667
0   16   1832.99466667
0   17   1831.67666667
0   19   1850.96466667
0   20   1840.716
0   21   1840.08866667
0   23   1787.652
0   24   1787.652
0   25   1787.652
0   26   1787.652
0   28   1787.652
0   29   1787.652
0   30   1787.652
0   32   1787.652
      
6   0   1879.40333333
6   1   1881.336
6   2   1886.07333333
6   3   1891.134
6   5   1914.04533333
6   6   1936.24666667
6   7   1897.718
6   8   1835.55933333
6   10   1813.39733333
6   11   1814.30666667
6   12   1841.93466667
6   14   1870.95866667
6   15   1861.87466667
6   16   1869.38333333
6   17   1859.00133333
6   19   1839.348
6   20   1826.824
6   21   1832.602
6   23   1790.526
6   24   1790.526
6   25   1790.526
6   26   1790.526
6   28   1790.526
6   29   1790.526
6   30   1790.526
6   32   1790.526
      
13   0   1894.664
13   1   1901.146
13   2   1902.63666667
13   3   1898.42266667
13   5   1933.268
13   6   1923.338
13   7   1931.80333333
13   8   1799.42066667
13   10   1841.338
13   11   1824.49933333
13   12   1860.25066667
13   14   1892.01266667
13   15   1855.71933333
13   16   1855.75333333
13   17   1832.86333333
13   19   1858.61333333
13   20   1879.1
13   21   1883.89666667
13   23   1791.57866667
13   24   1791.57866667
13   25   1791.57866667
13   26   1791.57866667
13   28   1791.57866667
13   29   1791.57866667
13   30   1791.57866667
13   32   1791.57866667
      
19   0   1845.068
19   1   1838.184
19   2   1866.23866667
19   3   1824.48133333
19   5   1847.12466667
19   6   1886.114
19   7   1842.07733333
19   8   1845.11266667
19   10   1819.30266667
19   11   1839.176
19   12   1835.876
19   14   1835.55933333
19   15   1830.816
19   16   1841.27466667
19   17   1852.03533333
19   19   1855.504
19   20   1844.66933333
19   21   1821.58533333
19   23   1828.226
19   24   1828.226
19   25   1828.226
19   26   1828.226
19   28   1834.95266667
19   29   1834.95266667
19   30   1834.95266667
19   32   1834.95266667
      
26   0   1846.52266667
26   1   1887.62333333
26   2   1867.426
26   3   1833.41866667
26   5   1829.52066667
26   6   1849.89
26   7   1839.976
26   8   1829.602
26   10   1908.11533333
26   11   1916.534
26   12   1895.244
26   14   1920.038
26   15   1918.60266667
26   16   1911.71666667
26   17   1910.10666667
26   19   1893.53533333
26   20   1900.786
26   21   1888.032
26   23   1843.42466667
26   24   1843.42466667
26   25   1843.42466667
26   26   1843.42466667
26   28   1843.42466667
26   29   1843.42466667
26   30   1843.42466667
26   32   1843.42466667
      
32   0   1817.97333333
32   1   1857.16466667
