c1   c2   ex
0   0   1339.89616667
0   1   1332.07143333
0   2   1351.8361
0   3   1350.7125
0   5   1322.62033333
0   6   1331.62793333
0   7   1331.89593333
0   8   1309.36656667
0   10   1369.0871
0   11   1368.953
0   12   1368.12333333
0   14   1356.42163333
0   15   1365.7831
0   16   1360.64573333
0   17   1363.80236667
0   19   1368.0689
0   20   1358.1923
0   21   1368.36826667
0   23   1316.39366667
0   24   1316.39366667
0   25   1315.8068
0   26   1315.8068
0   28   1315.8068
0   29   1316.11346667
0   30   1316.11346667
0   32   1316.11346667
      
6   0   1373.1358
6   1   1379.625
6   2   1437.20516667
6   3   1444.28483333
6   5   1445.59086667
6   6   1450.9378
6   7   1378.2119
6   8   1295.433
6   10   1351.7533
6   11   1356.15903333
6   12   1366.12336667
6   14   1368.5803
6   15   1363.91573333
6   16   1352.1887
6   17   1344.82293333
6   19   1345.30556667
6   20   1343.5217
6   21   1338.60946667
6   23   1278.6264
6   24   1278.41893333
6   25   1278.77683333
6   26   1278.77683333
6   28   1278.77683333
6   29   1278.77683333
6   30   1280.36793333
6   32   1280.6711
      
13   0   1418.5519
13   1   1418.27996667
13   2   1428.64553333
13   3   1423.76273333
13   5   1373.87683333
13   6   1390.56436667
13   7   1382.4107
13   8   1259.9988
13   10   1289.97976667
13   11   1299.06256667
13   12   1296.34843333
13   14   1311.2143
13   15   1297.98073333
13   16   1303.9526
13   17   1305.91303333
13   19   1299.6725
13   20   1295.91266667
13   21   1295.75016667
13   23   1258.85216667
13   24   1258.85216667
13   25   1258.85216667
13   26   1258.38206667
13   28   1258.38206667
13   29   1258.38206667
13   30   1258.38206667
13   32   1258.38206667
      
19   0   1329.75496667
19   1   1324.2979
19   2   1326.2808
19   3   1301.66373333
19   5   1317.13016667
19   6   1353.3881
19   7   1348.94686667
19   8   1283.01246667
19   10   1283.37716667
19   11   1285.16446667
19   12   1293.76233333
19   14   1295.6507
19   15   1285.06046667
19   16   1264.37853333
19   17   1266.3576
19   19   1294.12243333
19   20   1290.56046667
19   21   1286.5276
19   23   1252.84796667
19   24   1252.84796667
19   25   1252.39866667
19   26   1252.4077
19   28   1253.98686667
19   29   1253.98686667
19   30   1253.98686667
19   32   1253.98686667
      
26   0   1355.08363333
26   1   1337.62006667
26   2   1330.46303333
26   3   1346.81293333
26   5   1336.5812
26   6   1362.883
26   7   1344.10396667
26   8   1337.80166667
26   10   1360.32553333
26   11   1351.50806667
26   12   1337.10136667
26   14   1347.27636667
26   15   1352.7346
26   16   1362.44793333
26   17   1364.1673
26   19   1350.08406667
26   20   1352.0837
26   21   1340.76723333
26   23   1266.67816667
26   24   1266.88873333
26   25   1266.88873333
26   26   1266.88873333
26   28   1266.82223333
26   29   1266.82223333
