c1   c2   ex
-5   -5   1406.27413333
-5   1   1348.1662
-5   7   1347.1979
-5   13   1373.0587
-5   19   1369.52206667
-5   25   1334.47283333
-5   31   1333.41106667
-5   37   1332.4701
-5   43   1332.4701
-5   49   1332.4701
-5   55   1332.4701
-5   61   1332.4701
-5   67   1332.4701
-5   73   1332.4701
-5   79   1332.4701
-5   85   1332.4701
      
0   -5   1293.32536667
0   1   1332.07143333
0   7   1331.89593333
0   13   1370.4775
0   19   1368.0689
0   25   1315.8068
0   31   1316.11346667
0   37   1316.37593333
0   43   1316.37593333
0   49   1316.37593333
0   55   1316.37593333
0   61   1316.37593333
0   67   1316.37593333
0   73   1316.37593333
0   79   1316.37593333
0   85   1316.37593333
      
5   -5   1386.7591
5   1   1377.33286667
5   7   1383.88756667
5   13   1352.64346667
5   19   1349.8839
5   25   1285.63263333
5   31   1287.6741
5   37   1286.2208
5   43   1286.2637
5   49   1286.2637
5   55   1286.2637
5   61   1286.2637
5   67   1286.2637
5   73   1286.2637
5   79   1286.2637
5   85   1286.2637
      
10   -5   1330.5877
10   1   1346.9578
10   7   1334.39596667
10   13   1355.50983333
10   19   1349.30586667
10   25   1309.38746667
10   31   1309.5453
10   37   1309.5453
10   43   1309.51716667
10   49   1309.51716667
10   55   1309.51716667
10   61   1309.51716667
10   67   1309.51716667
10   73   1309.51716667
10   79   1309.51716667
10   85   1309.51716667
      
15   -5   1394.3824
15   1   1412.0239
15   7   1374.16303333
15   13   1283.43913333
15   19   1276.31456667
15   25   1340.91933333
15   31   1340.976
15   37   1340.99406667
15   43   1340.99406667
15   49   1340.99406667
15   55   1340.99406667
15   61   1340.99406667
15   67   1340.99406667
15   73   1340.99406667
15   79   1340.99406667
15   85   1340.99406667
      
21   -5   1406.95563333
21   1   1366.2802
21   7   1354.69253333
21   13   1281.54023333
21   19   1289.07706667
21   25   1270.49426667
21   31   1272.08246667
21   37   1271.1858
21   43   1271.26833333
21   49   1271.26833333
21   55   1271.26833333
21   61   1271.26833333
21   67   1271.26833333
21   73   1271.26833333
21   79   1271.26833333
21   85   1271.26833333
      
26   -5   1323.6974
26   1   1337.62006667
26   7   1344.10396667
26   13   1346.0904
26   19   1350.08406667
26   25   1266.88873333
26   31   1266.82223333
26   37   1266.82223333
26   43   1267.3115
26   49   1267.3115
26   55   1267.3115
26   61   1267.3115
26   67   1267.3115
26   73   1267.3115
26   79   1267.3115
26   85   1267.3115
      
31   -5   1322.83103333
31   1   1332.8618
31   7   1344.50883333
31   13   1313.18313333
31   19   1321.2737
31   25   1267.3294
31   31   1267.53713333
31   37   1268.9014
31   43   1268.7876
31   49   1268.7876
31   55   1268.7876
31   61   1268.7876
31   67   1268.7876
31   73   1268.7876
31   79   1268.7876
31   85   1268.7876
      
37   -5   1315.28133333
37   1   1369.50963333
37   7   1331.4061
37   13   1310.64903333
37   19   1273.6191
37   25   1250.0282
37   31   1250.0282
37   37   1250.0282
37   43   1250.0282
37   49   1250.0282
37   55   1250.0282
37   61   1250.0282
37   67   1250.0282
37   73   1250.0282
37   79   1250.0282
37   85   1250.0282
      
42   -5   1303.72153333
42   1   1306.1627
42   7   1328.39253333
42   13   1264.1703
42   19   1286.0052
42   25   1234.20693333
42   31   1233.96823333
42   37   1234.04113333
42   43   1233.96823333
42   49   1233.96823333
42   55   1233.96823333
42   61   1233.96823333
42   67   1233.96823333
42   73   1233.96823333
42   79   1233.96823333
42   85   1233.96823333
      
47   -5   1281.56336667
47   1   1307.13906667
47   7   1322.23033333
47   13   1321.35153333
47   19   1310.76663333
47   25   1315.1888
47   31   1315.24546667
47   37   1315.24546667
47   43   1315.39013333
47   49   1315.39013333
47   55   1315.39013333
47   61   1315.39013333
47   67   1315.39013333
47   73   1315.39013333
47   79   1315.39013333
47   85   1315.39013333
      
53   -5   1275.02476667
53   1   1236.70176667
53   7   1295.9903
53   13   1346.43953333
53   19   1339.2993
53   25   1315.59296667
53   31   1315.64853333
53   37   1316.384
53   43   1316.384
53   49   1316.384
53   55   1316.384
53   61   1316.384
53   67   1316.384
53   73   1316.384
53   79   1316.384
53   85   1316.384
      
58   -5   1277.85623333
58   1   1291.42203333
58   7   1262.69073333
58   13   1356.32446667
58   19   1363.21443333
58   25   1325.68726667
58   31   1325.68726667
58   37   1327.4675
58   43   1327.4675
58   49   1327.4675
58   55   1327.4675
58   61   1327.4675
58   67   1327.4675
58   73   1327.4675
58   79   1327.4675
58   85   1327.4675
      
63   -5   1266.67516667
63   1   1269.6836
63   7   1272.2732
63   13   1394.25893333
63   19   1378.2043
63   25   1270.5481
63   31   1270.5481
63   37   1269.8339
63   43   1269.8339
63   49   1269.8339
63   55   1269.8339
63   61   1269.8339
63   67   1269.8339
63   73   1269.8339
63   79   1269.8339
63   85   1269.8339
      
69   -5   1224.04136667
69   1   1172.5386
69   7   1256.39483333
69   13   1165.96703333
69   19   1175.0334
69   25   1261.0615
69   31   1261.0615
69   37   1261.0615
69   43   1261.0615
69   49   1261.0615
69   55   1261.0615
69   61   1261.0615
69   67   1261.0615
69   73   1261.0615
69   79   1261.0615
69   85   1261.0615
      
74   -5   1235.26103333
74   1   1190.76396667
74   7   1217.4023
74   13   1137.27213333
74   19   1146.60993333
74   25   1213.05956667
74   31   1213.29806667
74   37   1212.7966
74   43   1212.7966
74   49   1212.7966
74   55   1212.7966
74   61   1212.7966
74   67   1212.7966
74   73   1212.7966
74   79   1212.7966
74   85   1212.7966
      
79   -5   1241.99936667
79   1   1246.0179
79   7   1303.60183333
79   13   1409.47053333
79   19   1420.9169
79   25   1244.36016667
79   31   1244.8653
79   37   1243.23863333
79   43   1243.21003333
79   49   1243.21003333
79   55   1243.21003333
79   61   1243.21003333
79   67   1243.21003333
79   73   1243.21003333
79   79   1243.21003333
79   85   1243.21003333
      
85   -5   1224.38946667
85   1   1246.4128
85   7   1280.7419
85   13   1415.99686667
85   19   1429.4269
85   25   1240.10773333
85   31   1240.66376667
85   37   1239.58203333
85   43   1240.25023333
85   49   1240.25023333
85   55   1240.25023333
85   61   1240.25023333
85   67   1240.25023333
85   73   1240.25023333
85   79   1240.25023333
85   85   1240.25023333
      
