c1   c2   ex
44   -10   1302.7142
44   -9   1309.14566667
44   -8   1278.618
44   -7   1289.6452
44   -6   1284.757
44   -5   1282.58673333
44   -4   1295.51023333
44   -3   1341.77866667
44   -2   1329.41036667
44   -1   1312.91063333
44   0   1296.3409
44   1   1309.08266667
44   2   1326.01986667
44   3   1313.9045
44   4   1315.80583333
44   5   1331.2885
44   6   1316.0647
44   7   1317.7929
44   8   1308.38816667
44   9   1155.72686667
44   10   1321.11056667
44   11   1323.82513333
      
45   -10   1300.91473333
45   -9   1308.05003333
45   -8   1288.9873
45   -7   1278.7036
45   -6   1282.0193
45   -5   1272.52403333
45   -4   1291.7759
45   -3   1352.69386667
45   -2   1322.61386667
45   -1   1325.8796
45   0   1319.23093333
45   1   1311.2957
45   2   1310.54786667
45   3   1301.79723333
45   4   1313.5326
45   5   1319.70023333
45   6   1311.29853333
45   7   1305.94986667
45   8   1301.80223333
45   9   1268.99716667
45   10   1325.91223333
45   11   1320.83963333
      
46   -10   1308.70623333
46   -9   1305.2512
46   -8   1280.20356667
46   -7   1282.9378
46   -6   1276.2509
46   -5   1271.76793333
46   -4   1284.03613333
46   -3   1330.70283333
46   -2   1313.7401
46   -1   1338.5624
46   0   1324.54366667
46   1   1305.96653333
46   2   1318.19653333
46   3   1299.8485
46   4   1302.94856667
46   5   1293.39943333
46   6   1311.83193333
46   7   1315.9202
46   8   1233.7225
46   9   1253.68906667
46   10   1321.2478
46   11   1321.30073333
      
47   -10   1321.5805
47   -9   1325.9897
47   -8   1286.26173333
47   -7   1284.0468
47   -6   1282.66216667
47   -5   1281.56336667
47   -4   1286.36443333
47   -3   1323.11426667
47   -2   1338.23133333
47   -1   1338.5005
47   0   1319.97583333
47   1   1307.13906667
47   2   1317.4079
47   3   1306.76876667
47   4   1298.11313333
47   5   1318.2586
47   6   1317.60093333
47   7   1322.23033333
47   8   1243.88023333
47   9   1224.77403333
47   10   1327.35593333
47   11   1340.03943333
      
48   -10   1358.26503333
