c1   c2   cvar
-74   -42   1874.57666667
-74   -38   1819.50133333
-74   -33   1859.858
-74   -28   1832.33
-74   -23   1825.91133333
-74   -18   1809.38066667
-74   -13   1880.43333333
-74   -8   1855.74466667
-74   -3   1844.552
-74   2   1882.14733333
-74   7   1868.62
-74   12   1905.59266667
-74   17   1899.34266667
-74   22   1919.23933333
-74   27   1867.666
-74   32   1867.666
      
-59   -42   1861.67866667
-59   -38   1869.01
-59   -33   1909.57533333
-59   -28   1875.00666667
-59   -23   1867.37466667
-59   -18   1871.53133333
-59   -13   1822.24266667
-59   -8   1830.54666667
-59   -3   1842.77666667
-59   2   1929.60733333
-59   7   1914.16266667
-59   12   1979.134
-59   17   1973.71466667
-59   22   1963.57733333
-59   27   1971.578
-59   32   1971.578
      
-43   -42   1887.06866667
-43   -38   1847.09
-43   -33   1820.78733333
-43   -28   1878.42
-43   -23   1874.33266667
-43   -18   1888.40133333
-43   -13   1931.73666667
-43   -8   1811.97866667
-43   -3   1889.42333333
-43   2   1910.64533333
-43   7   1917.15866667
-43   12   1978.79333333
-43   17   1962.894
-43   22   1988.35333333
-43   27   1955.11266667
-43   32   1955.11266667
      
-27   -42   1897.80333333
-27   -38   1849.41933333
-27   -33   1867.76533333
-27   -28   1925.10266667
-27   -23   1942.182
-27   -18   1862.172
-27   -13   1957.48533333
-27   -8   1945.36533333
-27   -3   1916.73733333
-27   2   1885.042
-27   7   1940.658
-27   12   1895.36266667
-27   17   1903.01066667
-27   22   1900.84666667
-27   27   1872.41066667
-27   32   1872.41066667
      
-11   -42   1898.89733333
-11   -38   1847.198
-11   -33   1866.58866667
-11   -28   1894.672
-11   -23   1883.55466667
-11   -18   1880.02933333
-11   -13   1847.26733333
-11   -8   1871.61133333
-11   -3   1820.28
-11   2   1837.12
-11   7   1870.10066667
-11   12   1750.696
-11   17   1771.46333333
-11   22   1766.39
-11   27   1871.21466667
-11   32   1871.21466667
      
5   -42   1827.12133333
5   -38   1900.63666667
5   -33   1795.35666667
5   -28   1887.22
5   -23   1863.56466667
5   -18   1859.308
5   -13   1846.96266667
5   -8   1848.60533333
5   -3   1896.65866667
5   2   1927.14666667
5   7   1880.74866667
5   12   1895.93
5   17   1923.566
5   22   1872.562
5   27   1807.41866667
5   32   1806.56066667
      
21   -42   1814.498
21   -38   1890.97533333
21   -33   1917.51666667
21   -28   1886.81
21   -23   1879.05066667
21   -18   1951.37
21   -13   1900.26933333
21   -8   1888.77933333
21   -3   1835.56133333
21   2   1899.09333333
21   7   1866.43
21   12   1857.02933333
21   17   1793.53933333
21   22   1817.752
21   27   1845.46466667
21   32   1845.46466667
      
37   -42   1867.12466667
37   -38   1878.956
37   -33   1881.312
37   -28   1880.472
37   -23   1822.38333333
37   -18   1838.13
37   -13   1831.43133333
37   -8   1812.62733333
37   -3   1846.67666667
37   2   1852.18533333
37   7   1844.574
37   12   1862.70733333
37   17   1840.19133333
37   22   1868.05066667
37   27   1792.186
37   32   1792.186
      
52   -42   1844.54733333
52   -38   1926.63533333
52   -33   1861.456
52   -28   1872.76466667
52   -23   1908.03533333
52   -18   1766.556
52   -13   1830.978
52   -8   1838.81066667
52   -3   1810.14933333
52   2   1758.78266667
52   7   1781.02
52   12   1845.98866667
52   17   1883.47933333
52   22   1853.36133333
52   27   1840.078
52   32   1840.078
      
68   -42   1772.27533333
68   -38   1770.19733333
68   -33   1783.364
68   -28   1771.29333333
68   -23   1753.76266667
68   -18   1768.55533333
68   -13   1743.23
68   -8   1771.228
68   -3   1810.876
68   2   1834.44066667
68   7   1825.45133333
68   12   1938.64
68   17   1916.04333333
68   22   1921.724
68   27   1765.32533333
68   32   1765.32533333
      
84   -42   1837.61866667
84   -38   1776.57266667
84   -33   1849.99933333
84   -28   1851.44533333
84   -23   1702.38666667
84   -18   1732.946
84   -13   1820.48466667
84   -8   1818.39333333
84   -3   1762.58666667
84   2   1786.18666667
84   7   1887.65133333
84   12   1822.06266667
84   17   1821.79333333
84   22   1847.26066667
84   27   1776.70466667
84   32   1776.70466667
      
100   -42   1819.76133333
100   -38   1759.14533333
100   -33   1800.40133333
100   -28   1863.768
100   -23   1775.60333333
100   -18   1751.056
100   -13   1789.64866667
100   -8   1786.80466667
100   -3   1832.19133333
100   2   1769.53333333
100   7   1808.28
100   12   1838.734
100   17   1872.73666667
100   22   1845.89466667
100   27   1848.18666667
100   32   1848.18666667
      
116   -42   1847.86866667
116   -38   1794.15066667
116   -33   1803.06133333
116   -28   1833.928
116   -23   1761.45666667
116   -18   1762.148
116   -13   1772.83933333
116   -8   1807.43666667
116   -3   1792.34333333
116   2   1824.65266667
116   7   1819.052
116   12   1849.38466667
116   17   1849.00466667
116   22   1846.39333333
116   27   1767.84933333
116   32   1767.84933333
      
132   -42   1821.562
132   -38   1779.176
132   -33   1789.814
132   -28   1794.94933333
132   -23   1836.498
132   -18   1835.73
132   -13   1831.96666667
132   -8   1819.91333333
132   -3   1769.07133333
132   2   1788.05666667
132   7   1803.04066667
132   12   1724.88266667
132   17   1725.59
132   22   1735.154
132   27   1786.944
132   32   1786.944
      
148   -42   1821.562
148   -38   1782.84266667
148   -33   1789.814
148   -28   1794.94933333
148   -23   1836.498
148   -18   1835.73
148   -13   1831.96666667
148   -8   1819.91333333
148   -3   1769.07133333
148   2   1788.05666667
148   7   1802.79066667
148   12   1723.658
148   17   1725.59
148   22   1735.154
148   27   1787.03666667
148   32   1787.03666667
      
164   -42   1824.326
164   -38   1782.84266667
164   -33   1789.814
164   -28   1794.94933333
164   -23   1836.498
164   -18   1835.73
164   -13   1831.96666667
164   -8   1819.91333333
164   -3   1769.07133333
164   2   1788.05666667
164   7   1802.79066667
164   12   1723.658
164   17   1725.59
164   22   1735.154
164   27   1787.03666667
164   32   1787.03666667
      
