c1   c2   ex
-74   -42   1482.80963333
-74   -38   1474.44873333
-74   -33   1520.9294
-74   -28   1467.43316667
-74   -23   1484.45596667
-74   -18   1485.37653333
-74   -13   1493.96363333
-74   -8   1491.97396667
-74   -3   1500.33646667
-74   2   1517.0807
-74   7   1510.60773333
-74   12   1558.3227
-74   17   1543.9791
-74   22   1544.78363333
-74   27   1536.48223333
-74   32   1537.1943
      
-59   -42   1465.212
-59   -38   1530.83
-59   -33   1469.29516667
-59   -28   1508.8849
-59   -23   1492.03333333
-59   -18   1506.8813
-59   -13   1474.6829
-59   -8   1419.2697
-59   -3   1448.75643333
-59   2   1473.5771
-59   7   1462.96703333
-59   12   1563.38036667
-59   17   1559.5388
-59   22   1569.82136667
-59   27   1549.0929
-59   32   1549.0929
      
-43   -42   1438.51596667
-43   -38   1411.639
-43   -33   1399.38716667
-43   -28   1442.81716667
-43   -23   1427.29123333
-43   -18   1437.0744
-43   -13   1450.71876667
-43   -8   1372.44706667
-43   -3   1448.85036667
-43   2   1492.80256667
-43   7   1461.7704
-43   12   1511.81373333
-43   17   1502.38006667
-43   22   1521.567
-43   27   1479.85016667
-43   32   1479.85016667
      
-27   -42   1474.64933333
-27   -38   1454.67123333
-27   -33   1447.51483333
-27   -28   1452.54813333
-27   -23   1496.88073333
-27   -18   1424.58293333
-27   -13   1505.32646667
-27   -8   1497.78813333
-27   -3   1478.91606667
-27   2   1468.6284
-27   7   1525.74766667
-27   12   1455.28223333
-27   17   1462.3574
-27   22   1455.3704
-27   27   1438.29416667
-27   32   1438.62583333
      
-11   -42   1429.07996667
-11   -38   1403.4092
-11   -33   1412.42796667
-11   -28   1444.33523333
-11   -23   1418.65356667
-11   -18   1425.20613333
-11   -13   1361.10593333
-11   -8   1298.4482
-11   -3   1354.8204
-11   2   1289.68123333
-11   7   1302.48683333
-11   12   1292.45713333
-11   17   1273.41653333
-11   22   1266.5334
-11   27   1418.86546667
-11   32   1418.6488
      
5   -42   1359.72226667
5   -38   1399.3781
5   -33   1316.93316667
5   -28   1403.86646667
5   -23   1395.11026667
5   -18   1402.1795
5   -13   1401.86666667
5   -8   1374.51943333
5   -3   1363.1904
5   2   1442.76626667
5   7   1383.88756667
5   12   1347.5815
5   17   1347.44743333
5   22   1352.23143333
5   27   1285.63263333
5   32   1287.1175
      
21   -42   1357.83563333
21   -38   1345.78456667
21   -33   1391.38826667
21   -28   1336.777
21   -23   1346.48516667
21   -18   1405.66573333
21   -13   1420.7274
21   -8   1402.7023
21   -3   1339.07126667
21   2   1381.30163333
21   7   1354.69253333
21   12   1289.94473333
21   17   1251.50023333
21   22   1284.60273333
21   27   1272.08246667
21   32   1272.08246667
      
37   -42   1370.62526667
37   -38   1347.27423333
37   -33   1356.7948
37   -28   1363.9698
37   -23   1317.08186667
37   -18   1258.5786
37   -13   1318.35813333
37   -8   1299.33013333
37   -3   1351.9913
37   2   1373.303
37   7   1331.4061
37   12   1309.5663
37   17   1297.35643333
37   22   1306.49043333
37   27   1250.0282
37   32   1250.0282
      
52   -42   1354.0255
52   -38   1350.6406
52   -33   1322.25886667
52   -28   1336.14276667
52   -23   1350.0595
52   -18   1233.23523333
52   -13   1298.4725
52   -8   1297.48596667
52   -3   1262.782
52   2   1226.5407
52   7   1293.91496667
52   12   1355.92556667
52   17   1353.02423333
52   22   1342.00813333
52   27   1325.37906667
52   32   1323.28693333
      
68   -42   1274.98303333
68   -38   1220.55396667
68   -33   1214.1112
68   -28   1200.89673333
68   -23   1211.04963333
68   -18   1262.02716667
68   -13   1247.73453333
68   -8   1231.11226667
68   -3   1286.3151
68   2   1251.60006667
68   7   1280.8071
68   12   1393.7308
68   17   1376.41556667
68   22   1372.68426667
68   27   1248.32613333
68   32   1248.26806667
      
84   -42   1350.96116667
84   -38   1228.13096667
84   -33   1285.1759
84   -28   1292.01893333
84   -23   1194.14396667
84   -18   1192.06806667
84   -13   1232.1943
84   -8   1232.13116667
84   -3   1258.9522
84   2   1238.21386667
84   7   1278.20456667
84   12   1414.22763333
84   17   1424.914
84   22   1435.42753333
84   27   1231.3811
84   32   1231.69976667
      
100   -42   1305.6978
100   -38   1213.85753333
100   -33   1283.95186667
100   -28   1288.3001
100   -23   1222.668
100   -18   1209.36923333
100   -13   1271.6574
100   -8   1251.77593333
100   -3   1250.0777
100   2   1232.8685
100   7   1233.35656667
100   12   1405.11363333
100   17   1421.20536667
100   22   1405.12883333
100   27   1279.58616667
100   32   1279.9495
      
116   -42   1328.99843333
116   -38   1231.47853333
116   -33   1277.16186667
116   -28   1296.01453333
116   -23   1238.2585
116   -18   1220.01446667
116   -13   1285.0381
116   -8   1234.76086667
116   -3   1239.05846667
116   2   1242.1454
116   7   1245.56413333
116   12   1401.5863
116   17   1416.10433333
116   22   1405.82346667
116   27   1257.3922
116   32   1257.26213333
      
132   -42   1285.83923333
132   -38   1252.25176667
132   -33   1293.72503333
132   -28   1276.29236667
132   -23   1275.51616667
132   -18   1283.1482
132   -13   1276.4736
132   -8   1243.75463333
132   -3   1240.8384
132   2   1250.2443
132   7   1239.44503333
132   12   1207.51833333
132   17   1204.9767
132   22   1210.1498
132   27   1288.2831
132   32   1288.43066667
      
148   -42   1285.40206667
148   -38   1251.43903333
148   -33   1293.243
148   -28   1277.835
148   -23   1275.62226667
148   -18   1281.8101
148   -13   1276.59096667
148   -8   1244.05263333
148   -3   1242.92326667
148   2   1249.49343333
148   7   1240.6192
148   12   1209.59173333
148   17   1205.4265
148   22   1210.57226667
148   27   1284.46783333
148   32   1284.6154
      
164   -42   1287.16183333
164   -38   1254.53073333
164   -33   1291.69303333
