num ex
2 1339.89616667
3 1227.94996667
4 1227.94996667
5 1227.94996667
6 1227.94996667
7 1227.94996667
8 1227.94996667
9 1227.94996667
10 1227.94996667
11 1227.94996667
12 1227.94996667
13 1227.94996667
14 1227.94996667
15 1227.94996667
16 1227.94996667
17 1227.94996667
18 1227.94996667
19 1227.94996667
20 1227.94996667
21 1227.94996667
22 1227.94996667
23 1227.94996667
24 1227.94996667
25 1227.94996667
26 1227.94996667
27 1227.94996667
28 1215.36936667
29 1215.36936667
30 1215.36936667
31 1215.36936667
32 1215.36936667
33 1215.36936667
34 1215.36936667
35 1215.36936667
36 1215.36936667
37 1215.36936667
38 1215.36936667
39 1215.36936667
40 1215.36936667
41 1198.66483333
42 1198.66483333
43 1198.66483333
44 1198.66483333
45 1198.66483333
46 1198.66483333
47 1198.66483333
48 1198.66483333
49 1198.66483333
50 1198.66483333
51 1198.66483333
52 1198.66483333
53 1198.66483333
54 1198.66483333
55 1198.66483333
56 1198.66483333
57 1198.66483333
58 1196.89593333
59 1196.89593333
60 1196.89593333
61 1196.89593333
62 1196.89593333
63 1196.89593333
64 1196.89593333
65 1196.89593333
66 1196.89593333
67 1196.89593333
68 1196.89593333
69 1192.6911
70 1192.6911
71 1192.6911
72 1192.6911
73 1192.6911
74 1192.6911
75 1192.6911
76 1192.6911
