x1	x2	sm	ex	sd	se	min	max	var	cvar
0.5625  0.125  300  1334.9704  274.439630097  15.8447794313  560.83  1961.22  1750.0  1820.694 
1.5625  0.125  300  1341.48476667  271.422204434  15.6705682794  203.21  1982.36  1768.0  1857.46866667 
-0.4375  0.125  300  1353.75636667  257.593584921  14.8721725596  498.83  1961.22  1752.11  1829.61466667 
0.5625  1.125  300  1337.4378  275.253704355  15.8917800305  466.27  1915.05  1737.79  1812.958 
0.5625  -0.875  300  1341.34706667  266.953619556  15.4125744112  422.96  1952.48  1752.11  1814.22266667 
0.5625  0.125  300  1334.9704  274.439630097  15.8447794313  560.83  1961.22  1750.0  1820.694 
1.0625  0.125  300  1338.0967  268.361199117  15.493841055  560.83  1961.22  1737.2  1818.88933333 
0.0625  0.125  300  1339.19646667  273.656534854  15.7995674063  560.83  1961.22  1744.0  1816.63066667 
0.5625  0.625  300  1327.80216667  279.318344756  16.1264521534  498.41  1961.22  1750.11  1829.36933333 
0.5625  -0.375  300  1343.91476667  277.429116873  16.0173775308  561.55  1961.22  1752.11  1822.00266667 
0.5625  0.625  300  1327.80216667  279.318344756  16.1264521534  498.41  1961.22  1750.11  1829.36933333 
1.0625  0.625  300  1326.4655  276.942037407  15.9892559847  498.41  1961.22  1759.22  1828.31466667 
0.0625  0.625  300  1345.01456667  270.439715989  15.6138442826  503.28  1961.22  1750.0  1836.30466667 
0.5625  1.125  300  1337.4378  275.253704355  15.8917800305  466.27  1915.05  1737.79  1812.958 
0.5625  0.125  300  1334.9704  274.439630097  15.8447794313  560.83  1961.22  1750.0  1820.694 
1.0625  0.625  300  1326.4655  276.942037407  15.9892559847  498.41  1961.22  1759.22  1828.31466667 
1.5625  0.625  300  1348.85686667  269.952451335  15.5857120446  203.21  1982.36  1737.0  1845.33733333 
0.5625  0.625  300  1327.80216667  279.318344756  16.1264521534  498.41  1961.22  1750.11  1829.36933333 
1.0625  1.125  300  1322.24416667  271.631925791  15.6826765476  466.27  1915.05  1735.57  1805.01866667 
1.0625  0.125  300  1338.0967  268.361199117  15.493841055  560.83  1961.22  1737.2  1818.88933333 
1.0625  1.125  300  1322.24416667  271.631925791  15.6826765476  466.27  1915.05  1735.57  1805.01866667 
1.5625  1.125  300  1344.23713333  265.213923185  15.3121329944  560.83  1931.28  1735.57  1828.068 
0.5625  1.125  300  1337.4378  275.253704355  15.8917800305  466.27  1915.05  1737.79  1812.958 
1.0625  1.625  300  1318.09736667  268.417629027  15.4970990374  466.27  1915.05  1726.73  1793.642 
1.0625  0.625  300  1326.4655  276.942037407  15.9892559847  498.41  1961.22  1759.22  1828.31466667 
1.0625  1.625  300  1318.09736667  268.417629027  15.4970990374  466.27  1915.05  1726.73  1793.642 
1.5625  1.625  300  1339.3864  259.512627144  14.982968514  590.47  1982.0  1737.0  1832.22533333 
0.5625  1.625  300  1328.88703333  275.195241838  15.8884046955  466.27  1915.05  1730.09  1792.13933333 
1.0625  2.125  300  1332.127  265.169310199  15.3095572624  498.41  1915.05  1749.29  1804.342 
1.0625  1.125  300  1322.24416667  271.631925791  15.6826765476  466.27  1915.05  1735.57  1805.01866667 
1.0625  1.625  300  1318.09736667  268.417629027  15.4970990374  466.27  1915.05  1726.73  1793.642 
1.3125  1.625  300  1337.05096667  255.198191261  14.7338744421  590.47  1982.0  1726.73  1818.102 
