L	opf	cc	jcc
0	0.0655087	0.06801	0.0677036
0.001	0.065387	0.0678914	0.0675876
0.002	0.0652474	0.0677546	0.0674521
0.003	0.0651093	0.067619	0.0673198
0.004	0.0649709	0.0674834	0.0671891
0.005	0.0648385	0.0673526	0.0670604
0.006	0.0647062	0.0672231	0.0669353
0.007	0.0645614	0.0670816	0.0667982
0.008	0.0644327	0.0669545	0.0666759
0.009	0.0642915	0.0668168	0.0665405
0.01	0.0641517	0.0666806	0.0664077
0.011	0.0640146	0.0665441	0.0662783
0.012	0.063881	0.0664136	0.0661515
0.013	0.0637448	0.0662789	0.0660215
0.014	0.0636089	0.0661466	0.0658929
0.015	0.0634663	0.0660058	0.0657587
0.016	0.0633208	0.065864	0.0656207
0.017	0.0631887	0.0657344	0.0654972
0.018	0.0630577	0.0656047	0.0653707
0.019	0.0629141	0.0654644	0.0652371
0.02	0.0627666	0.06532	0.0650967
0.021	0.0626303	0.0651857	0.0649689
0.022	0.0624903	0.0650474	0.0648352
0.023	0.0623418	0.0649025	0.0646944
0.024	0.0622049	0.0647692	0.0645648
0.025	0.062063	0.0646288	0.0644306
0.026	0.0619274	0.0644972	0.0643026
0.027	0.0617811	0.0643535	0.0641646
0.028	0.061639	0.0642156	0.0640316
0.029	0.0614958	0.0640726	0.0638937
0.03	0.0613557	0.0639348	0.0637608
0.031	0.0612153	0.0637974	0.0636283
0.032	0.0610691	0.0636543	0.06349
0.033	0.0609216	0.0635083	0.0633498
0.034	0.0607768	0.0633678	0.0632127
0.035	0.0606366	0.0632301	0.0630806
0.036	0.0604899	0.0630856	0.0629414
0.037	0.0603442	0.0629422	0.0628035
0.038	0.0602014	0.062802	0.0626687
0.039	0.060056	0.0626603	0.0625316
0.04	0.0599149	0.0625215	0.0623973
0.041	0.0597633	0.0623729	0.0622541
0.042	0.0596206	0.062232	0.0621168
0.043	0.0594812	0.0620946	0.0619857
0.044	0.0593194	0.0619364	0.0618323
0.045	0.0591717	0.0617911	0.0616932
0.046	0.0590288	0.0616515	0.0615593
0.047	0.058884	0.0615093	0.0614202
0.048	0.05873	0.0613597	0.0612762
0.049	0.0585885	0.0612207	0.0611398
0.05	0.0584356	0.0610708	0.060997
0.051	0.0582839	0.0609241	0.0608545
0.052	0.0581392	0.0607825	0.0607174
0.053	0.0579852	0.0606299	0.0605722
0.054	0.0578405	0.060489	0.0604348
0.055	0.0576867	0.0603395	0.06029
0.056	0.057537	0.060194	0.0601478
0.057	0.057386	0.0600459	0.0600054
0.058	0.0572363	0.0599006	0.0598645
0.059	0.0570836	0.0597523	0.0597203
0.06	0.0569343	0.0596062	0.0595781
0.061	0.0567826	0.0594603	0.0594371
0.062	0.0566266	0.0593086	0.0592892
0.063	0.0564757	0.059162	0.0591473
0.064	0.0563143	0.0590053	0.0589948
0.065	0.0561632	0.0588607	0.058854
0.066	0.0560159	0.0587178	0.0587149
0.067	0.0558575	0.0585642	0.0585657
0.068	0.0557068	0.0584196	0.0584257
0.069	0.0555485	0.0582677	0.0582778
0.07	0.0553923	0.0581153	0.0581291
0.071	0.0552425	0.0579712	0.057989
0.072	0.0550845	0.0578203	0.0578432
0.073	0.0549282	0.057669	0.0576951
0.074	0.054775	0.0575182	0.0575506
0.075	0.0546272	0.0573752	0.0574119
0.076	0.0544784	0.0572325	0.0572721
0.077	0.0543217	0.0570797	0.0571248
0.078	0.0541676	0.0569308	0.0569786
0.079	0.054014	0.0567804	0.0568339
0.08	0.0538567	0.0566281	0.0566878
0.081	0.0537097	0.0564874	0.0565488
