L	opf	cc	jcc
0	0.0655175	0.0712419	0.0693492
0.001	0.0653823	0.0711118	0.0692171
0.002	0.0652457	0.0709788	0.0690829
0.003	0.0651097	0.070851	0.0689525
0.004	0.0649771	0.070723	0.068823
0.005	0.0648405	0.0705956	0.0686928
0.006	0.064709	0.0704707	0.0685656
0.007	0.0645673	0.0703329	0.068426
0.008	0.0644326	0.0702045	0.0682974
0.009	0.0642912	0.0700689	0.0681593
0.01	0.0641601	0.0699425	0.0680306
0.011	0.0640174	0.069805	0.0678914
0.012	0.0638802	0.0696769	0.0677606
0.013	0.0637462	0.0695443	0.0676279
0.014	0.0635988	0.0694045	0.0674856
0.015	0.0634703	0.069283	0.0673613
0.016	0.0633281	0.0691451	0.0672226
0.017	0.0631864	0.0690082	0.0670842
0.018	0.0630459	0.0688767	0.0669497
0.019	0.0629123	0.0687497	0.0668198
0.02	0.0627675	0.0686104	0.0666784
0.021	0.0626273	0.0684745	0.0665403
0.022	0.0624913	0.0683472	0.0664107
0.023	0.0623452	0.0682076	0.0662676
0.024	0.0622056	0.0680736	0.0661314
0.025	0.0620595	0.0679369	0.0659915
0.026	0.0619219	0.0678074	0.0658574
0.027	0.0617822	0.0676757	0.0657209
0.028	0.0616433	0.0675455	0.0655856
0.029	0.0614955	0.0674089	0.065443
0.03	0.0613534	0.067278	0.0653068
0.031	0.0612027	0.0671375	0.0651601
0.032	0.0610711	0.0670204	0.0650339
0.033	0.0609217	0.0668823	0.064889
0.034	0.0607822	0.0667566	0.0647541
0.035	0.0606385	0.0666284	0.0646157
0.036	0.0604968	0.0665036	0.0644795
0.037	0.0603467	0.06637	0.0643352
0.038	0.0601995	0.0662403	0.0641933
0.039	0.0600571	0.06612	0.0640609
0.04	0.059912	0.0659907	0.0639204
0.041	0.0597693	0.0658666	0.0637842
0.042	0.0596158	0.0657369	0.0636404
0.043	0.0594739	0.0656156	0.0635052
0.044	0.0593249	0.0654847	0.0633624
0.045	0.0591772	0.0653603	0.063226
0.046	0.0590286	0.0652309	0.0630841
0.047	0.0588819	0.0651067	0.0629469
0.048	0.0587331	0.0649779	0.0628046
0.049	0.0585922	0.0648597	0.0626711
0.05	0.0584399	0.0647316	0.0625302
0.051	0.0582885	0.0646016	0.0623881
0.052	0.0581372	0.0644736	0.0622465
0.053	0.0579877	0.0643451	0.0621058
0.054	0.0578364	0.0642143	0.0619629
0.055	0.0576871	0.064088	0.0618234
0.056	0.0575354	0.063961	0.0616826
0.057	0.0573868	0.0638352	0.061544
0.058	0.0572377	0.0637094	0.0614028
0.059	0.0570815	0.0635778	0.0612596
0.06	0.0569297	0.0634493	0.0611175
0.061	0.0567769	0.0633162	0.0609728
0.062	0.0566276	0.0631917	0.0608343
0.063	0.0564728	0.0630587	0.0606901
0.064	0.0563209	0.06293	0.0605461
0.065	0.0561675	0.0627993	0.0604025
0.066	0.0560066	0.0626615	0.0602513
0.067	0.0558626	0.0625378	0.0601164
0.068	0.0557071	0.0624084	0.0599725
0.069	0.0555558	0.0622787	0.0598298
0.07	0.0553976	0.0621412	0.0596819
0.071	0.0552434	0.0620092	0.0595364
0.072	0.0550837	0.06187	0.0593875
0.073	0.0549403	0.0617474	0.0592526
0.074	0.0547773	0.0616073	0.0591038
0.075	0.0546295	0.0614793	0.0589666
0.076	0.0544772	0.0613483	0.0588273
0.077	0.0543157	0.061206	0.0586774
0.078	0.0541666	0.0610791	0.0585405
0.079	0.0540071	0.0609377	0.0583951
0.08	0.0538644	0.0608135	0.0582635
0.081	0.0537041	0.0606705	0.0581167
0.082	0.0535505	0.0605374	0.057979
0.083	0.0534078	0.0604094	0.0578484
0.084	0.0532582	0.0602787	0.0577151
0.085	0.0530966	0.060135	0.0575701
0.086	0.0529352	0.0599896	0.0574232
0.087	0.0527847	0.0598554	0.0572867
0.088	0.052641	0.0597293	0.0571577
0.089	0.0524829	0.0595856	0.0570147
0.09	0.0523326	0.0594571	0.0568836
0.091	0.0521742	0.0593159	0.0567428
0.092	0.0520219	0.0591811	0.0566065
0.093	0.0518646	0.0590408	0.0564661
0.094	0.0517151	0.0589114	0.0563352
0.095	0.0515624	0.0587786	0.0561979
0.096	0.0514037	0.0586409	0.0560573
0.097	0.0512519	0.0585155	0.0559262
0.098	0.0510996	0.0583822	0.0557882
0.099	0.0509438	0.0582506	0.0556523
0.1	0.0507861	0.0581144	0.0555113
0.101	0.0506352	0.0579863	0.0553791
0.102	0.0504773	0.0578556	0.0552431
0.103	0.0503242	0.0577275	0.0551085
0.104	0.0501664	0.0575937	0.0549688
0.105	0.0500137	0.0574707	0.0548361
0.106	0.04986	0.0573442	0.0547022
0.107	0.0496964	0.0572107	0.0545589
0.108	0.0495475	0.0570922	0.0544317
0.109	0.0493871	0.0569555	0.0542895
0.11	0.0492294	0.0568284	0.0541538
0.111	0.0490734	0.0567026	0.0540209
0.112	0.0489238	0.0565822	0.0538937
0.113	0.0487625	0.0564513	0.0537566
0.114	0.0486098	0.0563263	0.0536248
0.115	0.04845	0.0561952	0.0534891
0.116	0.0482957	0.0560708	0.0533582
0.117	0.0481292	0.0559333	0.0532174
0.118	0.0479808	0.0558159	0.0530951
0.119	0.0478239	0.0556951	0.0529697
0.12	0.0476744	0.0555759	0.0528456
0.121	0.0475181	0.0554596	0.0527252
0.122	0.0473581	0.0553299	0.0525932
0.123	0.0472085	0.0552151	0.0524751
0.124	0.0470556	0.0550969	0.0523551
0.125	0.0468958	0.0549775	0.0522313
0.126	0.0467383	0.0548542	0.0521032
0.127	0.0465786	0.0547342	0.0519771
0.128	0.0464333	0.0546231	0.051859
0.129	0.0462733	0.0545036	0.0517334
0.13	0.0461265	0.0543952	0.0516176
0.131	0.0459702	0.0542749	0.0514902
0.132	0.0458193	0.0541587	0.0513661
0.133	0.0456644	0.0540407	0.0512388
0.134	0.0455087	0.0539264	0.0511159
0.135	0.0453574	0.0538112	0.0509933
0.136	0.045208	0.0537061	0.0508773
0.137	0.0450565	0.0535892	0.0507531
0.138	0.0449058	0.0534774	0.0506318
0.139	0.0447512	0.0533631	0.0505081
0.14	0.0445993	0.0532484	0.0503852
0.141	0.044448	0.053138	0.0502664
0.142	0.0442929	0.0530198	0.0501411
0.143	0.0441381	0.0529066	0.0500204
0.144	0.0439918	0.0527951	0.0499037
0.145	0.0438336	0.0526775	0.049781
0.146	0.0436818	0.0525654	0.0496656
0.147	0.0435235	0.0524486	0.0495463
0.148	0.0433779	0.052342	0.0494363
0.149	0.0432237	0.0522277	0.0493214
0.15	0.0430701	0.052116	0.0492052
0.151	0.0429221	0.0520064	0.0490946
0.152	0.0427663	0.0518871	0.0489735
0.153	0.0426118	0.0517706	0.0488547
0.154	0.042467	0.05166	0.0487428
0.155	0.0423262	0.0515536	0.0486344
0.156	0.0421662	0.0514279	0.0485076
0.157	0.0420254	0.0513189	0.0483973
0.158	0.041877	0.0512071	0.0482833
0.159	0.0417307	0.0510918	0.048167
0.16	0.0415788	0.0509719	0.0480447
0.161	0.0414395	0.05087	0.0479382
0.162	0.0412966	0.0507626	0.0478254
0.163	0.0411462	0.050651	0.0477079
0.164	0.0410075	0.0505464	0.0475968
0.165	0.040856	0.0504353	0.0474778
0.166	0.0407096	0.0503255	0.0473616
0.167	0.0405652	0.0502154	0.0472447
0.168	0.0404141	0.0500967	0.0471213
0.169	0.0402694	0.0499917	0.0470076
0.17	0.0401248	0.0498862	0.0468953
0.171	0.0399868	0.0497809	0.0467836
0.172	0.0398436	0.0496681	0.0466648
0.173	0.0396918	0.0495551	0.0465454
0.174	0.03956	0.0494513	0.0464361
0.175	0.0394084	0.0493364	0.0463159
0.176	0.03927	0.0492311	0.0462051
0.177	0.0391245	0.0491169	0.0460865
0.178	0.0389817	0.049009	0.0459708
0.179	0.0388398	0.0488929	0.0458538
0.18	0.0386979	0.0487825	0.0457404
0.181	0.0385596	0.0486818	0.0456347
0.182	0.0384115	0.0485563	0.0455083
0.183	0.0382721	0.0484465	0.0453968
0.184	0.0381389	0.0483392	0.0452915
0.185	0.0380079	0.0482314	0.0451829
0.186	0.0378647	0.0481157	0.0450676
0.187	0.0377293	0.0480032	0.0449536
0.188	0.0376039	0.0479021	0.0448525
0.189	0.0374647	0.0477828	0.0447328
0.19	0.0373395	0.0476777	0.0446252
0.191	0.0372057	0.0475664	0.0445101
0.192	0.0370777	0.0474607	0.0443973
0.193	0.0369537	0.0473604	0.0442917
0.194	0.036829	0.0472586	0.044181
0.195	0.0367039	0.0471557	0.0440694
0.196	0.0365798	0.0470526	0.043957
0.197	0.036457	0.0469526	0.0438488
0.198	0.0363361	0.0468565	0.0437414
0.199	0.0362064	0.0467508	0.0436268
0.2	0.0360845	0.0466499	0.0435201
0.201	0.0359658	0.0465563	0.0434165
0.202	0.03584	0.0464567	0.0433089
0.203	0.035719	0.0463625	0.0432071
0.204	0.0356016	0.0462614	0.0431023
0.205	0.0354768	0.046158	0.0429954
0.206	0.0353575	0.0460704	0.0428981
0.207	0.0352305	0.0459615	0.0427858
0.208	0.0351211	0.0458754	0.0426921
0.209	0.0349996	0.0457678	0.0425841
0.21	0.0348691	0.0456575	0.0424694
0.211	0.0347568	0.0455647	0.0423712
0.212	0.034642	0.0454648	0.0422676
0.213	0.0345205	0.0453704	0.0421687
0.214	0.0344022	0.0452613	0.0420572
0.215	0.0342907	0.0451692	0.0419616
0.216	0.0341733	0.0450621	0.0418531
0.217	0.0340562	0.0449565	0.041745
0.218	0.033954	0.0448637	0.0416498
0.219	0.0338501	0.0447685	0.0415517
0.22	0.0337351	0.044661	0.0414469
0.221	0.0336209	0.0445537	0.0413387
0.222	0.0335225	0.0444607	0.0412463
0.223	0.033406	0.0443563	0.0411412
0.224	0.033307	0.0442579	0.041045
0.225	0.0331964	0.0441538	0.0409431
0.226	0.0330911	0.044054	0.0408443
0.227	0.0329909	0.0439637	0.040754
0.228	0.0328825	0.04386	0.0406529
0.229	0.0327804	0.0437523	0.0405488
0.23	0.0326874	0.0436638	0.0404621
0.231	0.0325783	0.0435594	0.0403575
0.232	0.0324856	0.0434646	0.0402655
0.233	0.0323841	0.0433615	0.0401617
0.234	0.0322929	0.0432676	0.0400729
0.235	0.0321953	0.0431682	0.0399739
0.236	0.0321153	0.0430833	0.0398888
0.237	0.0320217	0.0429789	0.0397868
0.238	0.0319253	0.0428789	0.0396886
0.239	0.0318306	0.042773	0.0395863
0.24	0.0317304	0.0426684	0.0394838
0.241	0.0316563	0.0425902	0.0394065
0.242	0.0315637	0.0424902	0.0393082
0.243	0.0314786	0.0423979	0.0392182
0.244	0.0313817	0.042289	0.0391154
0.245	0.0312989	0.042196	0.0390252
0.246	0.0312243	0.0421147	0.0389489
0.247	0.0311289	0.0420151	0.0388544
0.248	0.0310411	0.0419137	0.0387592
0.249	0.0309536	0.0418153	0.0386695
0.25	0.0308677	0.0417297	0.0385905
0.251	0.0307713	0.0416221	0.0384924
0.252	0.0306915	0.0415479	0.0384218
0.253	0.0306091	0.0414513	0.0383321
0.254	0.0305135	0.0413511	0.0382435
0.255	0.0304272	0.0412593	0.0381585
0.256	0.0303489	0.0411872	0.0380887
0.257	0.0302602	0.0410965	0.0380036
0.258	0.0301728	0.0410135	0.037923
0.259	0.0300799	0.0409186	0.0378359
0.26	0.0299918	0.0408295	0.0377513
0.261	0.0299041	0.0407489	0.0376721
0.262	0.0298186	0.0406629	0.0375918
0.263	0.0297257	0.0405731	0.0375058
0.264	0.0296461	0.0404949	0.0374334
0.265	0.0295515	0.0404195	0.0373573
0.266	0.0294686	0.0403247	0.0372725
0.267	0.0293769	0.0402448	0.037198
0.268	0.0292887	0.0401627	0.0371193
0.269	0.0292064	0.040087	0.0370472
0.27	0.0291165	0.0399914	0.0369625
0.271	0.0290299	0.039911	0.0368882
0.272	0.0289468	0.0398376	0.0368189
0.273	0.0288558	0.0397482	0.0367388
0.274	0.0287708	0.03966	0.0366602
0.275	0.0286749	0.0395746	0.0365798
0.276	0.0286042	0.0395036	0.0365153
0.277	0.0285126	0.039417	0.0364398
0.278	0.0284243	0.039326	0.036354
0.279	0.0283492	0.0392485	0.0362877
0.28	0.0282652	0.0391729	0.036216
0.281	0.0281806	0.0390888	0.0361399
0.282	0.0281045	0.0390109	0.0360697
0.283	0.0280222	0.0389291	0.0359963
0.284	0.0279449	0.0388515	0.0359224
0.285	0.0278726	0.0387707	0.0358527
0.286	0.0277986	0.0386929	0.0357782
0.287	0.0277233	0.0386128	0.0357037
0.288	0.027663	0.0385617	0.0356544
0.289	0.027586	0.038473	0.0355699
0.29	0.0275185	0.0384037	0.0355019
0.291	0.0274547	0.0383307	0.0354337
0.292	0.0273833	0.0382624	0.0353645
0.293	0.0273281	0.0381939	0.0352973
0.294	0.0272686	0.038134	0.0352369
0.295	0.0272087	0.0380647	0.03517
0.296	0.0271408	0.0379903	0.0350954
0.297	0.0270877	0.0379338	0.0350349
0.298	0.027017	0.0378592	0.0349585
0.299	0.0269555	0.037793	0.0348895
0.3	0.026907	0.03773	0.0348268
0.301	0.0268554	0.0376734	0.0347666
0.302	0.0267985	0.0376113	0.0347
0.303	0.0267422	0.0375414	0.0346269
0.304	0.0266862	0.0374782	0.0345611
0.305	0.026643	0.0374271	0.0345068
0.306	0.0265832	0.0373577	0.0344314
0.307	0.0265256	0.0372991	0.0343689
0.308	0.0264753	0.0372289	0.0342974
0.309	0.0264191	0.0371575	0.0342214
0.31	0.026373	0.0371059	0.0341643
0.311	0.0263206	0.0370447	0.0340996
0.312	0.0262762	0.0369833	0.0340349
0.313	0.0262274	0.0369289	0.0339752
0.314	0.026165	0.0368526	0.0338969
0.315	0.0261206	0.0367943	0.0338353
0.316	0.0260752	0.0367386	0.0337764
0.317	0.0260371	0.0366871	0.0337221
0.318	0.0259812	0.0366077	0.033643
0.319	0.0259429	0.0365623	0.0335924
0.32	0.0258985	0.0364987	0.0335299
0.321	0.0258487	0.0364384	0.0334662
0.322	0.0258064	0.0363772	0.0334043
0.323	0.0257695	0.0363212	0.0333488
0.324	0.0257267	0.0362725	0.0333
0.325	0.0256862	0.0362127	0.0332401
0.326	0.0256418	0.0361428	0.0331745
0.327	0.025607	0.0360939	0.0331252
0.328	0.0255617	0.0360363	0.0330675
0.329	0.0255144	0.0359689	0.0330017
0.33	0.025475	0.0359172	0.0329515
0.331	0.0254398	0.035864	0.0329014
0.332	0.0253965	0.0357983	0.0328383
0.333	0.0253465	0.0357283	0.0327709
0.334	0.0253114	0.0356798	0.0327212
0.335	0.0252748	0.0356214	0.0326682
0.336	0.0252389	0.0355716	0.0326188
0.337	0.0252025	0.035507	0.0325567
0.338	0.0251606	0.035456	0.0325055
0.339	0.0251265	0.0353906	0.0324453
0.34	0.025085	0.035333	0.0323866
0.341	0.0250466	0.0352758	0.0323311
0.342	0.0250097	0.035219	0.0322772
0.343	0.0249639	0.0351622	0.0322185
0.344	0.024929	0.0351025	0.0321602
0.345	0.0248842	0.0350396	0.0320968
0.346	0.0248554	0.0349889	0.0320442
0.347	0.0248097	0.0349346	0.0319904
0.348	0.024763	0.0348646	0.0319217
0.349	0.0247302	0.0348165	0.03187
0.35	0.0246941	0.034762	0.0318138
0.351	0.0246642	0.0347095	0.0317611
0.352	0.024617	0.0346465	0.0316968
0.353	0.0245752	0.0345933	0.0316389
0.354	0.0245413	0.0345516	0.0315919
0.355	0.0245014	0.0344944	0.0315342
0.356	0.0244617	0.0344342	0.0314695
0.357	0.0244092	0.0343726	0.0314049
0.358	0.0243784	0.0343313	0.0313581
0.359	0.0243475	0.034292	0.0313146
0.36	0.0242972	0.0342268	0.0312465
0.361	0.0242669	0.0341833	0.0311978
0.362	0.0242257	0.0341316	0.0311414
0.363	0.0241789	0.0340763	0.0310821
0.364	0.0241295	0.0340183	0.0310194
0.365	0.0241025	0.0339744	0.0309717
0.366	0.0240619	0.0339263	0.0309182
0.367	0.0240116	0.033869	0.0308572
0.368	0.0239783	0.0338261	0.0308089
0.369	0.0239302	0.0337702	0.030747
0.37	0.0238915	0.0337242	0.0306961
0.371	0.023852	0.0336798	0.030646
0.372	0.0238077	0.0336225	0.0305849
0.373	0.0237623	0.0335663	0.0305256
0.374	0.0237202	0.0335192	0.0304727
0.375	0.0236811	0.0334699	0.0304173
0.376	0.0236353	0.0334195	0.0303621
0.377	0.0235992	0.0333675	0.030306
0.378	0.0235582	0.0333276	0.0302593
0.379	0.0235183	0.0332724	0.0302
0.38	0.0234711	0.0332234	0.0301448
