L	opf	cc	jcc
0	0.0655165	0.0712416	0.0677125
0.001	0.0653802	0.0711114	0.06758
0.002	0.0652438	0.0709813	0.067449
0.003	0.0651122	0.0708555	0.0673227
0.004	0.064975	0.0707216	0.0671911
0.005	0.0648384	0.0705914	0.0670622
0.006	0.0647052	0.0704638	0.0669334
0.007	0.0645613	0.0703246	0.0667954
0.008	0.0644323	0.0702038	0.0666747
0.009	0.0642891	0.0700663	0.066539
0.01	0.0641569	0.0699388	0.0664136
0.011	0.0640118	0.0698002	0.0662764
0.012	0.063883	0.0696768	0.0661528
0.013	0.0637437	0.0695437	0.0660209
0.014	0.0636012	0.0694099	0.0658869
0.015	0.0634622	0.0692732	0.065755
0.016	0.0633289	0.0691477	0.0656287
0.017	0.0631833	0.0690081	0.0654905
0.018	0.0630494	0.0688789	0.0653633
0.019	0.0629163	0.0687522	0.0652383
0.02	0.0627701	0.0686143	0.0651001
0.021	0.0626334	0.0684824	0.0649703
0.022	0.0624905	0.0683465	0.0648353
0.023	0.0623482	0.0682093	0.0646991
0.024	0.06221	0.0680795	0.0645691
0.025	0.0620659	0.067943	0.0644339
0.026	0.061924	0.0678102	0.064299
0.027	0.0617842	0.0676798	0.0641667
0.028	0.0616451	0.0675467	0.0640345
0.029	0.0614969	0.0674085	0.0638942
0.03	0.0613547	0.067279	0.063759
0.031	0.0612105	0.067146	0.0636247
0.032	0.0610628	0.0670104	0.063483
0.033	0.0609225	0.0668845	0.0633515
0.034	0.060782	0.0667585	0.0632193
0.035	0.0606389	0.0666319	0.0630826
0.036	0.0604974	0.066505	0.0629478
0.037	0.0603468	0.0663711	0.0628054
0.038	0.0602059	0.0662459	0.0626721
0.039	0.0600595	0.0661181	0.0625338
0.04	0.0599135	0.0659944	0.0623955
0.041	0.0597735	0.0658731	0.0622616
0.042	0.0596205	0.0657382	0.0621173
0.043	0.0594735	0.0656111	0.0619792
0.044	0.0593161	0.0654767	0.0618303
0.045	0.0591755	0.0653585	0.0616977
0.046	0.0590272	0.0652283	0.0615566
0.047	0.0588821	0.0651065	0.0614202
0.048	0.058728	0.0649749	0.061273
0.049	0.0585897	0.0648583	0.0611429
0.05	0.0584329	0.0647253	0.0609945
0.051	0.0582966	0.0646118	0.0608653
0.052	0.0581313	0.0644675	0.0607106
0.053	0.0579861	0.064343	0.0605714
0.054	0.0578338	0.0642149	0.0604281
0.055	0.0576835	0.0640856	0.0602849
0.056	0.05754	0.0639672	0.0601504
0.057	0.0573844	0.0638316	0.0600032
0.058	0.0572291	0.0636978	0.0598562
0.059	0.0570816	0.0635767	0.0597182
0.06	0.0569372	0.0634548	0.0595817
0.061	0.056777	0.0633167	0.0594296
0.062	0.0566247	0.0631869	0.059288
0.063	0.0564807	0.0630644	0.0591511
0.064	0.05632	0.0629254	0.0590011
0.065	0.0561696	0.0628009	0.0588582
0.066	0.0560183	0.0626727	0.0587172
0.067	0.0558587	0.0625359	0.0585691
0.068	0.0557004	0.0624008	0.0584195
0.069	0.0555472	0.0622695	0.0582746
0.07	0.0553984	0.0621437	0.0581371
0.071	0.055247	0.0620124	0.0579942
0.072	0.0550863	0.0618747	0.0578428
0.073	0.0549375	0.0617467	0.057704
0.074	0.0547752	0.0616069	0.0575503
0.075	0.0546247	0.0614744	0.0574106
0.076	0.0544744	0.0613444	0.057269
0.077	0.0543142	0.0612026	0.0571176
0.078	0.0541643	0.0610747	0.0569775
0.079	0.054013	0.0609446	0.0568344
0.08	0.0538556	0.0608036	0.0566877
0.081	0.0537074	0.0606741	0.0565464
0.082	0.0535455	0.0605299	0.056396
0.083	0.0533975	0.0603992	0.0562551
0.084	0.0532502	0.0602681	0.0561169
0.085	0.0531022	0.0601423	0.055979
0.086	0.0529477	0.0600038	0.0558329
0.087	0.0527823	0.0598511	0.0556766
0.088	0.0526424	0.0597322	0.0555456
0.089	0.0524906	0.0595992	0.0554048
0.09	0.0523266	0.0594484	0.0552489
0.091	0.0521757	0.0593163	0.0551084
0.092	0.0520196	0.0591787	0.0549653
0.093	0.0518698	0.0590492	0.054825
0.094	0.0517171	0.0589116	0.0546797
0.095	0.0515624	0.0587797	0.0545377
0.096	0.0514015	0.0586381	0.0543868
0.097	0.0512513	0.0585129	0.0542509
0.098	0.0510968	0.058382	0.0541086
0.099	0.050943	0.05825	0.0539642
0.1	0.0507899	0.0581206	0.0538236
0.101	0.0506364	0.0579907	0.0536818
0.102	0.0504794	0.0578585	0.0535385
0.103	0.050324	0.0577274	0.0533963
0.104	0.0501707	0.0576026	0.0532579
0.105	0.0500055	0.0574609	0.0531071
0.106	0.0498537	0.0573396	0.0529696
0.107	0.0496992	0.0572142	0.0528275
0.108	0.0495442	0.0570897	0.0526881
0.109	0.0493872	0.0569576	0.0525426
0.11	0.0492254	0.0568272	0.0523994
0.111	0.0490732	0.0567037	0.0522601
0.112	0.0489185	0.0565775	0.0521219
0.113	0.0487657	0.056453	0.0519844
0.114	0.0486094	0.056326	0.0518442
0.115	0.0484488	0.056193	0.0517033
0.116	0.0482946	0.0560694	0.0515659
0.117	0.0481416	0.0559495	0.0514332
0.118	0.0479842	0.0558179	0.0512958
0.119	0.047828	0.0556976	0.0511603
0.12	0.047676	0.0555771	0.051027
0.121	0.0475242	0.0554594	0.0508967
0.122	0.0473588	0.0553342	0.0507587
0.123	0.0472101	0.0552161	0.05063
0.124	0.047051	0.0550962	0.0504969
0.125	0.046897	0.054978	0.0503665
