L	opf	cc	jcc
0	2.91376	2.90829	2.90793
0.001	2.90278	2.89731	2.89695
0.002	2.89182	2.88636	2.886
0.003	2.88089	2.87544	2.87508
0.004	2.86998	2.86454	2.86417
0.005	2.8592	2.85374	2.85337
0.006	2.84836	2.84287	2.84251
0.007	2.83748	2.832	2.83164
0.008	2.82669	2.82122	2.82087
0.009	2.81584	2.81035	2.81
0.01	2.80505	2.79958	2.79923
0.011	2.79435	2.78884	2.78849
0.012	2.7836	2.77807	2.77772
0.013	2.77296	2.76742	2.76707
0.014	2.76224	2.7567	2.75635
0.015	2.75164	2.74609	2.74574
0.016	2.74109	2.7355	2.73515
0.017	2.73044	2.72486	2.72452
0.018	2.71995	2.71434	2.714
0.019	2.70938	2.70376	2.70342
0.02	2.69879	2.69317	2.69283
0.021	2.68836	2.68272	2.68238
0.022	2.67793	2.67224	2.67191
0.023	2.66752	2.66182	2.66149
0.024	2.65712	2.6514	2.65108
0.025	2.64681	2.64105	2.64073
0.026	2.63646	2.63069	2.63037
0.027	2.62618	2.62036	2.62004
0.028	2.61606	2.61017	2.60987
0.029	2.6058	2.59993	2.59963
0.03	2.59561	2.58972	2.58942
0.031	2.58556	2.57961	2.57932
0.032	2.57536	2.5694	2.56911
0.033	2.56532	2.55933	2.55905
0.034	2.55533	2.54934	2.54905
0.035	2.54522	2.53922	2.53893
0.036	2.53524	2.52922	2.52893
0.037	2.5253	2.51927	2.51898
0.038	2.5154	2.50933	2.50905
0.039	2.50552	2.49944	2.49916
0.04	2.49577	2.48965	2.48938
0.041	2.48598	2.47985	2.47958
0.042	2.47625	2.47008	2.46982
0.043	2.46651	2.46036	2.4601
0.044	2.4568	2.45064	2.45038
0.045	2.44724	2.44107	2.44081
0.046	2.43755	2.4314	2.43114
0.047	2.42799	2.42183	2.42157
0.048	2.4185	2.41233	2.41206
0.049	2.40904	2.40288	2.40261
0.05	2.39952	2.39337	2.3931
0.051	2.39012	2.38396	2.38369
0.052	2.38069	2.37453	2.37426
0.053	2.37143	2.36526	2.36499
0.054	2.36214	2.35593	2.35567
0.055	2.35289	2.34667	2.34641
0.056	2.34364	2.3374	2.33714
0.057	2.33445	2.3282	2.32795
0.058	2.32539	2.31911	2.31886
0.059	2.31621	2.30991	2.30967
0.06	2.30723	2.30086	2.30062
0.061	2.29814	2.29179	2.29156
0.062	2.28914	2.28277	2.28255
0.063	2.28016	2.27376	2.27353
0.064	2.27128	2.26484	2.26462
0.065	2.26241	2.25593	2.25572
0.066	2.25354	2.24699	2.24678
0.067	2.2448	2.23819	2.23798
0.068	2.23605	2.2294	2.22919
0.069	2.22731	2.2206	2.2204
0.07	2.21865	2.21189	2.21167
0.071	2.21006	2.2032	2.20299
0.072	2.20146	2.19457	2.19435
0.073	2.19284	2.18591	2.18569
0.074	2.1843	2.17731	2.17709
0.075	2.17583	2.16883	2.1686
0.076	2.16734	2.1603	2.16007
0.077	2.15878	2.15174	2.1515
0.078	2.15034	2.1433	2.14306
0.079	2.14196	2.13491	2.13467
0.08	2.13361	2.12656	2.12631
0.081	2.1252	2.11818	2.11792
0.082	2.11692	2.10988	2.10962
0.083	2.1086	2.10158	2.10132
0.084	2.1003	2.09332	2.09306
0.085	2.09204	2.08508	2.08483
0.086	2.08376	2.07682	2.07656
0.087	2.07561	2.06871	2.06845
0.088	2.06754	2.06064	2.06038
0.089	2.05943	2.05256	2.05229
0.09	2.05135	2.04452	2.04425
0.091	2.04328	2.0365	2.03623
0.092	2.03524	2.02849	2.02821
0.093	2.02733	2.02058	2.02031
0.094	2.01936	2.01266	2.01238
0.095	2.01148	2.00478	2.00451
0.096	2.00361	1.99693	1.99666
0.097	1.99579	1.9891	1.98883
0.098	1.98802	1.98131	1.98105
0.099	1.98021	1.97352	1.97326
0.1	1.97246	1.96576	1.96549
0.101	1.96476	1.95803	1.95777
0.102	1.95715	1.95039	1.95012
0.103	1.94947	1.94272	1.94244
0.104	1.94193	1.93512	1.93484
0.105	1.93433	1.92752	1.92724
0.106	1.92684	1.91999	1.9197
0.107	1.91925	1.91242	1.91212
0.108	1.91179	1.90492	1.90462
0.109	1.90432	1.89745	1.89715
0.11	1.89685	1.88995	1.88964
0.111	1.8894	1.88248	1.88217
0.112	1.88202	1.87503	1.87472
0.113	1.87467	1.86769	1.86738
0.114	1.8673	1.86029	1.85998
0.115	1.85995	1.85292	1.85261
0.116	1.85266	1.8456	1.84529
0.117	1.8454	1.83831	1.838
0.118	1.83823	1.8311	1.8308
0.119	1.83102	1.82387	1.82357
0.12	1.82382	1.81665	1.81636
0.121	1.81664	1.80945	1.80915
0.122	1.80954	1.80232	1.80203
0.123	1.80247	1.79525	1.79497
0.124	1.79536	1.78813	1.78785
0.125	1.78843	1.78114	1.78086
0.126	1.78142	1.77413	1.77386
0.127	1.77449	1.76718	1.76691
0.128	1.76754	1.76023	1.75997
0.129	1.76062	1.75326	1.753
0.13	1.75375	1.74635	1.74609
0.131	1.74687	1.73944	1.73919
0.132	1.74004	1.73256	1.73232
0.133	1.73326	1.72574	1.7255
0.134	1.72647	1.71889	1.71866
0.135	1.71971	1.71211	1.71188
0.136	1.713	1.70537	1.70514
0.137	1.70628	1.69862	1.69839
0.138	1.69964	1.69191	1.6917
0.139	1.69298	1.68523	1.68502
0.14	1.68625	1.67851	1.6783
0.141	1.6797	1.67193	1.67172
0.142	1.67308	1.66529	1.66509
0.143	1.66654	1.65872	1.65853
0.144	1.66002	1.65217	1.65199
0.145	1.65349	1.64565	1.64546
0.146	1.647	1.63914	1.63896
0.147	1.6405	1.63264	1.63246
0.148	1.63405	1.62618	1.62599
0.149	1.62769	1.61982	1.61964
0.15	1.62128	1.61342	1.61323
0.151	1.61477	1.60694	1.60675
0.152	1.60847	1.60062	1.60044
0.153	1.60206	1.59422	1.59404
0.154	1.59568	1.58785	1.58766
0.155	1.58933	1.58153	1.58133
0.156	1.58299	1.57521	1.57502
0.157	1.57666	1.56887	1.56868
0.158	1.57035	1.56257	1.56238
0.159	1.56406	1.55628	1.55609
0.16	1.55786	1.55007	1.54988
0.161	1.55159	1.54377	1.54358
0.162	1.54538	1.53753	1.53733
0.163	1.53927	1.53138	1.53119
0.164	1.53308	1.52519	1.52499
0.165	1.5269	1.51897	1.51878
0.166	1.52081	1.51283	1.51264
0.167	1.51474	1.50673	1.50654
0.168	1.50868	1.50064	1.50044
0.169	1.50264	1.49457	1.49437
0.17	1.49662	1.48853	1.48833
0.171	1.49058	1.48247	1.48227
0.172	1.48462	1.47648	1.47627
0.173	1.47858	1.47045	1.47024
0.174	1.47264	1.46447	1.46426
0.175	1.46668	1.45849	1.45829
0.176	1.4607	1.45252	1.45231
0.177	1.45482	1.44658	1.44637
0.178	1.44901	1.44077	1.44056
0.179	1.44311	1.43485	1.43464
0.18	1.43728	1.42895	1.42876
0.181	1.43142	1.42307	1.42288
0.182	1.4256	1.4172	1.41702
0.183	1.41978	1.41134	1.41116
0.184	1.414	1.40552	1.40535
0.185	1.40827	1.39976	1.3996
0.186	1.40254	1.39396	1.3938
0.187	1.39684	1.38824	1.38807
0.188	1.39107	1.38243	1.38226
0.189	1.38539	1.37671	1.37654
0.19	1.37969	1.37099	1.37082
0.191	1.37407	1.36535	1.36518
0.192	1.36848	1.35969	1.35952
0.193	1.36277	1.35397	1.35381
0.194	1.35719	1.34834	1.34816
0.195	1.35159	1.34271	1.34254
0.196	1.34612	1.33718	1.337
0.197	1.34059	1.3316	1.33142
