L	opf	cc	jcc
0.6	0.0152656	0.0226876	0.0221894
0.6008	0.0152434	0.022663	0.0221632
0.6016	0.0152281	0.0226381	0.022137
0.6024	0.0152116	0.0226173	0.0221151
0.6032	0.0151925	0.0225939	0.0220903
0.604	0.0151758	0.0225712	0.0220663
0.6048	0.015151	0.0225409	0.0220347
0.6056	0.0151249	0.0225105	0.0220033
0.6064	0.0151063	0.0224884	0.0219802
0.6072	0.0150889	0.022463	0.0219533
0.608	0.0150736	0.0224432	0.0219323
0.6088	0.0150439	0.0224091	0.0218971
0.6096	0.0150273	0.0223869	0.0218737
0.6104	0.015011	0.0223638	0.0218494
0.6112	0.014991	0.0223357	0.02182
0.612	0.0149701	0.0223131	0.0217966
0.6128	0.014946	0.0222845	0.021767
0.6136	0.014927	0.0222597	0.0217409
0.6144	0.0149092	0.022236	0.0217161
0.6152	0.0148844	0.0222053	0.0216842
0.616	0.0148633	0.0221787	0.0216563
0.6168	0.0148398	0.0221483	0.021625
0.6176	0.0148232	0.0221227	0.0215981
0.6184	0.0147995	0.0220973	0.0215717
0.6192	0.0147805	0.0220691	0.0215423
0.62	0.0147555	0.0220421	0.0215143
0.6208	0.0147401	0.0220208	0.021492
0.6216	0.0147232	0.021995	0.0214647
0.6224	0.0146894	0.0219567	0.0214255
0.6232	0.0146704	0.0219341	0.0214018
0.624	0.0146511	0.0219041	0.0213704
0.6248	0.0146222	0.0218727	0.0213381
0.6256	0.0146069	0.0218459	0.0213099
0.6264	0.0145858	0.021821	0.0212839
0.6272	0.0145642	0.0217918	0.0212536
0.628	0.0145422	0.0217668	0.0212276
0.6288	0.0145205	0.0217326	0.0211919
0.6296	0.0144956	0.0217026	0.0211609
0.6304	0.0144729	0.0216753	0.0211326
0.6312	0.0144537	0.0216507	0.0211069
0.632	0.0144259	0.0216128	0.0210676
0.6328	0.0144088	0.0215939	0.0210477
0.6336	0.0143886	0.0215624	0.021015
0.6344	0.0143627	0.0215282	0.0209796
0.6352	0.0143399	0.021499	0.0209493
0.636	0.0143233	0.0214766	0.0209257
0.6368	0.0142986	0.0214436	0.0208915
0.6376	0.0142719	0.0214074	0.0208543
0.6384	0.0142533	0.0213841	0.0208297
0.6392	0.0142286	0.0213491	0.0207938
0.64	0.0142099	0.021324	0.0207675
0.6408	0.0141837	0.0212885	0.020731
0.6416	0.0141597	0.0212583	0.0206998
0.6424	0.014143	0.0212316	0.0206719
0.6432	0.0141183	0.0211989	0.0206383
0.644	0.0140911	0.0211636	0.0206022
0.6448	0.014079	0.0211426	0.02058
0.6456	0.0140541	0.021111	0.0205476
0.6464	0.0140237	0.0210699	0.0205059
0.6472	0.0140125	0.0210458	0.0204806
0.648	0.0139934	0.0210216	0.020456
0.6488	0.0139578	0.0209759	0.0204093
0.6496	0.0139428	0.0209472	0.0203803
0.6504	0.0139201	0.0209168	0.0203494
0.6512	0.0139038	0.0208878	0.0203197
0.652	0.0138723	0.0208463	0.0202783
0.6528	0.013855	0.020818	0.0202495
0.6536	0.0138393	0.0207898	0.0202206
0.6544	0.0138197	0.0207577	0.0201883
0.6552	0.0137928	0.0207245	0.0201557
0.656	0.0137654	0.0206833	0.0201145
0.6568	0.0137537	0.0206564	0.0200873
0.6576	0.0137311	0.0206241	0.0200558
0.6584	0.0137022	0.0205844	0.0200171
0.6592	0.0136858	0.0205574	0.0199909
0.66	0.0136646	0.0205217	0.0199556
0.6608	0.0136414	0.0204897	0.0199248
0.6616	0.0136218	0.0204581	0.0198941
0.6624	0.0136016	0.0204226	0.0198602
0.6632	0.0135744	0.0203825	0.0198213
0.664	0.0135611	0.0203562	0.0197968
0.6648	0.0135447	0.0203277	0.01977
0.6656	0.0135194	0.020287	0.0197311
0.6664	0.0135082	0.0202643	0.0197098
0.6672	0.0134806	0.0202217	0.0196699
0.668	0.0134605	0.0201854	0.0196363
0.6688	0.0134374	0.020151	0.0196038
0.6696	0.0134223	0.0201196	0.0195748
0.6704	0.0134132	0.0200942	0.019552
0.6712	0.0133805	0.0200476	0.0195092
0.672	0.0133706	0.0200246	0.0194876
0.6728	0.0133427	0.0199809	0.0194474
0.6736	0.0133258	0.0199512	0.0194205
0.6744	0.0133063	0.0199156	0.0193888
0.6752	0.0132867	0.0198847	0.0193614
0.676	0.0132585	0.0198424	0.0193225
0.6768	0.0132458	0.0198141	0.0192965
0.6776	0.0132309	0.0197851	0.0192713
0.6784	0.013204	0.0197443	0.0192331
0.6792	0.0131961	0.0197226	0.0192147
0.68	0.0131751	0.0196825	0.019178
0.6808	0.0131475	0.0196477	0.0191466
0.6816	0.0131304	0.0196188	0.019121
0.6824	0.0131136	0.0195892	0.0190946
0.6832	0.013095	0.0195563	0.0190634
0.684	0.0130721	0.0195176	0.0190274
0.6848	0.013053	0.0194856	0.0189985
0.6856	0.0130355	0.0194551	0.0189697
0.6864	0.0130203	0.0194252	0.0189431
0.6872	0.0130011	0.0193942	0.0189146
0.688	0.0129826	0.0193626	0.0188851
0.6888	0.0129565	0.0193253	0.0188505
0.6896	0.0129455	0.0193006	0.018827
0.6904	0.0129173	0.0192639	0.018792
0.6912	0.0129035	0.019232	0.018762
0.692	0.0128874	0.01921	0.0187409
0.6928	0.0128714	0.0191806	0.0187128
0.6936	0.0128468	0.0191443	0.0186778
