L	opf	cc	jcc
0	0.0163356	0.0214084	0.0165165
0.001	0.0163391	0.0214195	0.0165194
0.002	0.0163209	0.0214013	0.0164897
0.003	0.0162993	0.0213794	0.0164617
0.004	0.0162757	0.0213581	0.0164374
0.005	0.0162578	0.021345	0.016411
0.006	0.0162478	0.0213354	0.0163947
0.007	0.0162013	0.0212933	0.0163467
0.008	0.0162107	0.0212992	0.016347
0.009	0.0161832	0.0212745	0.0163112
0.01	0.0161548	0.0212533	0.0162794
0.011	0.016144	0.0212378	0.0162596
0.012	0.0161356	0.0212311	0.0162438
0.013	0.0161136	0.0212123	0.0162181
0.014	0.016098	0.0212037	0.0161957
0.015	0.0160618	0.021168	0.0161591
0.016	0.0160366	0.0211465	0.0161267
0.017	0.0160339	0.0211418	0.0161185
0.018	0.0160364	0.0211507	0.0161029
0.019	0.0159978	0.021107	0.0160689
0.02	0.015976	0.0210921	0.0160365
0.021	0.015966	0.0210808	0.0160267
0.022	0.01595	0.0210663	0.0160023
0.023	0.0159171	0.0210361	0.015961
0.024	0.0159012	0.0210266	0.0159441
0.025	0.0158929	0.0210149	0.0159262
0.026	0.01588	0.0210099	0.0159086
0.027	0.0158605	0.0209925	0.0158839
0.028	0.0158367	0.0209667	0.0158599
0.029	0.0158151	0.0209506	0.0158248
0.03	0.015798	0.0209304	0.0158023
0.031	0.0157928	0.0209275	0.0157875
0.032	0.0157571	0.0208986	0.0157507
0.033	0.0157478	0.0208869	0.0157319
0.034	0.0157265	0.0208689	0.0157065
0.035	0.0157108	0.0208559	0.0156846
0.036	0.0156956	0.0208437	0.0156619
0.037	0.0156831	0.0208334	0.015645
0.038	0.0156625	0.0208154	0.0156186
0.039	0.0156631	0.0208147	0.0156115
0.04	0.01564	0.0207948	0.0155817
0.041	0.0156135	0.0207689	0.015546
0.042	0.0155947	0.0207548	0.01552
0.043	0.0155808	0.0207419	0.0155004
0.044	0.0155538	0.0207168	0.0154691
0.045	0.015541	0.0207064	0.0154521
0.046	0.0155217	0.0206863	0.0154279
0.047	0.0155131	0.0206827	0.0154052
0.048	0.0154788	0.0206506	0.015369
0.049	0.015475	0.020653	0.0153572
0.05	0.0154552	0.0206316	0.0153348
0.051	0.015433	0.0206122	0.0153095
0.052	0.0154262	0.0206091	0.0152941
0.053	0.015409	0.0205914	0.0152686
0.054	0.0153929	0.0205792	0.015246
0.055	0.0153605	0.0205474	0.0152122
0.056	0.0153571	0.0205452	0.0151957
0.057	0.0153511	0.020542	0.0151832
0.058	0.0153204	0.0205161	0.0151505
0.059	0.0153048	0.0205011	0.0151299
0.06	0.0152902	0.0204875	0.0151032
