L	opf	cc	jcc
0	0.0163595	0.023856	0.0193406
0.001	0.016336	0.0238299	0.0193107
0.002	0.0163082	0.0237977	0.0192771
0.003	0.0163049	0.023791	0.0192703
0.004	0.0162918	0.0237724	0.01925
0.005	0.0162477	0.0237355	0.0192093
0.006	0.0162447	0.0237249	0.0191989
0.007	0.0162146	0.0236936	0.0191619
0.008	0.0162114	0.0236857	0.0191546
0.009	0.0161792	0.0236543	0.0191201
0.01	0.016173	0.0236435	0.0191061
0.011	0.0161471	0.0236159	0.0190751
0.012	0.0161347	0.0236029	0.0190616
0.013	0.0161205	0.0235791	0.0190367
0.014	0.0160851	0.0235468	0.0190001
0.015	0.0160697	0.0235269	0.0189806
0.016	0.0160614	0.0235111	0.0189656
0.017	0.0160355	0.0234824	0.0189339
0.018	0.0160152	0.0234644	0.0189132
0.019	0.0160018	0.0234495	0.0188961
0.02	0.0159869	0.0234279	0.0188729
0.021	0.0159635	0.0233982	0.0188414
0.022	0.0159418	0.0233776	0.01882
0.023	0.0159339	0.0233642	0.0188019
0.024	0.0159106	0.0233431	0.018778
0.025	0.0158777	0.023306	0.0187409
0.026	0.0158612	0.0232915	0.0187201
0.027	0.0158503	0.0232756	0.0187003
0.028	0.0158517	0.0232686	0.0186966
0.029	0.0158127	0.0232345	0.0186562
0.03	0.0158151	0.0232279	0.0186507
0.031	0.0157702	0.0231843	0.0186034
0.032	0.0157719	0.0231809	0.018599
0.033	0.0157459	0.0231521	0.0185684
0.034	0.0157418	0.0231381	0.0185552
0.035	0.0157143	0.0231149	0.0185263
0.036	0.0157046	0.0231016	0.018511
0.037	0.015697	0.0230907	0.0184986
0.038	0.0156676	0.023058	0.0184602
0.039	0.0156511	0.0230429	0.0184434
0.04	0.0156339	0.0230169	0.0184179
0.041	0.0156309	0.0230081	0.0184075
0.042	0.015581	0.0229613	0.0183603
0.043	0.0155713	0.0229511	0.018344
0.044	0.015563	0.0229313	0.0183253
0.045	0.0155402	0.0229139	0.0183032
0.046	0.0155177	0.0228833	0.0182736
0.047	0.0155038	0.0228641	0.0182534
0.048	0.0154953	0.0228539	0.0182386
0.049	0.0154917	0.0228471	0.018226
0.05	0.0154495	0.0228087	0.0181859
0.051	0.0154488	0.0228013	0.0181762
0.052	0.0154268	0.0227714	0.0181465
0.053	0.0154095	0.0227539	0.0181262
0.054	0.0153938	0.0227336	0.0181045
0.055	0.0153741	0.0227104	0.0180781
0.056	0.0153592	0.022695	0.0180581
0.057	0.0153518	0.02268	0.0180472
0.058	0.0153317	0.022658	0.0180185
0.059	0.0153097	0.0226358	0.0179964
0.06	0.0152937	0.0226169	0.0179766
0.061	0.0152781	0.0225956	0.0179531
0.062	0.0152676	0.0225846	0.0179383
0.063	0.015238	0.0225509	0.0179049
0.064	0.0152395	0.0225473	0.0178959
0.065	0.0152002	0.0225062	0.0178529
0.066	0.0151814	0.0224852	0.0178296
0.067	0.0151832	0.0224795	0.0178222
0.068	0.0151567	0.022455	0.0177968
0.069	0.0151382	0.0224382	0.0177717
0.07	0.0151354	0.022423	0.0177605
0.071	0.0151043	0.0223919	0.0177251
0.072	0.0150847	0.0223635	0.017697
0.073	0.0150878	0.0223672	0.0176947
0.074	0.0150585	0.0223353	0.0176608
0.075	0.0150556	0.022328	0.0176535
0.076	0.0150353	0.0223041	0.0176284
0.077	0.0150117	0.0222772	0.017599
0.078	0.0149894	0.0222565	0.0175746
0.079	0.0149804	0.0222421	0.01756
0.08	0.014979	0.022235	0.0175499
0.081	0.0149451	0.0221979	0.0175099
0.082	0.0149344	0.0221874	0.0174986
0.083	0.0149188	0.0221676	0.0174748
0.084	0.0149125	0.0221543	0.0174561
0.085	0.0148869	0.0221294	0.017433
0.086	0.0148538	0.0220937	0.0173936
0.087	0.0148484	0.0220812	0.0173786
0.088	0.0148481	0.0220787	0.0173719
0.089	0.0148304	0.0220475	0.0173449
0.09	0.0148084	0.0220321	0.0173225
0.091	0.0147891	0.0220065	0.0172969
0.092	0.0147668	0.021989	0.0172729
0.093	0.0147562	0.0219666	0.0172529
0.094	0.0147512	0.0219624	0.0172443
0.095	0.0147272	0.0219296	0.0172102
0.096	0.014712	0.0219145	0.0171892
0.097	0.0147017	0.0218999	0.0171769
0.098	0.0146769	0.0218722	0.0171398
0.099	0.0146751	0.021865	0.0171346
0.1	0.014648	0.0218348	0.0171043
0.101	0.0146377	0.0218217	0.0170884
0.102	0.0146175	0.0217984	0.0170626
0.103	0.0146088	0.0217871	0.0170505
0.104	0.0145954	0.02177	0.017029
0.105	0.0145709	0.0217477	0.0170024
0.106	0.0145696	0.0217343	0.0169886
0.107	0.0145414	0.0217049	0.0169571
0.108	0.0145319	0.0216929	0.0169424
0.109	0.0145205	0.0216738	0.01692
0.11	0.0144938	0.0216461	0.0168928
0.111	0.0144846	0.0216353	0.0168775
0.112	0.0144762	0.0216182	0.0168616
0.113	0.0144428	0.0215901	0.016827
0.114	0.0144449	0.0215835	0.0168198
0.115	0.014431	0.0215675	0.0167984
0.116	0.0144078	0.0215394	0.0167681
0.117	0.0143772	0.0215066	0.0167365
0.118	0.0143833	0.0215082	0.0167319
0.119	0.0143665	0.0214865	0.0167132
0.12	0.0143542	0.0214713	0.0166931
0.121	0.0143295	0.0214474	0.016665
0.122	0.0143242	0.0214319	0.0166492
0.123	0.014308	0.0214153	0.0166276
0.124	0.0142983	0.0213963	0.0166079
0.125	0.0142888	0.021384	0.0165969
0.126	0.0142607	0.0213549	0.0165637
0.127	0.0142381	0.0213293	0.0165372
0.128	0.0142307	0.0213173	0.016521
0.129	0.0142061	0.0212921	0.0164918
0.13	0.0142031	0.0212832	0.0164833
0.131	0.0141829	0.021261	0.0164583
0.132	0.0141768	0.0212511	0.0164442
0.133	0.0141487	0.0212169	0.0164056
0.134	0.0141295	0.0211982	0.0163866
0.135	0.0141194	0.0211833	0.0163658
0.136	0.0141136	0.0211756	0.0163569
0.137	0.0140943	0.0211476	0.0163293
0.138	0.0140917	0.0211452	0.0163214
0.139	0.0140865	0.0211318	0.0163085
0.14	0.0140604	0.0211035	0.0162774
0.141	0.01404	0.0210836	0.0162544
0.142	0.0140248	0.0210582	0.0162266
0.143	0.0140062	0.0210393	0.0162071
0.144	0.0140072	0.0210351	0.0161986
0.145	0.0139953	0.0210187	0.0161782
0.146	0.0139754	0.0209961	0.0161529
0.147	0.0139562	0.0209728	0.0161313
0.148	0.0139402	0.0209549	0.0161102
0.149	0.0139273	0.0209369	0.0160878
0.15	0.0139145	0.0209254	0.0160719
0.151	0.0139001	0.0209058	0.0160523
0.152	0.0138847	0.020884	0.016029
0.153	0.0138605	0.0208621	0.0160022
0.154	0.0138616	0.0208552	0.0159904
0.155	0.0138494	0.0208367	0.0159723
0.156	0.0138284	0.0208106	0.015945
0.157	0.0138198	0.0207964	0.0159279
0.158	0.013813	0.020789	0.0159188
0.159	0.0137895	0.020761	0.0158887
0.16	0.013764	0.0207395	0.0158607
0.161	0.0137675	0.0207291	0.0158542
0.162	0.0137526	0.020715	0.0158336
0.163	0.0137421	0.0206989	0.0158133
0.164	0.0137342	0.0206876	0.0158016
0.165	0.0137001	0.0206556	0.0157619
0.166	0.0136918	0.0206372	0.0157476
0.167	0.0136659	0.020611	0.0157151
0.168	0.0136548	0.0205914	0.0156967
0.169	0.0136359	0.0205705	0.0156728
0.17	0.0136273	0.0205562	0.0156583
0.171	0.0136162	0.0205481	0.0156406
0.172	0.0136121	0.0205371	0.0156291
0.173	0.0135776	0.0205015	0.0155953
0.174	0.0135974	0.0205069	0.0155927
0.175	0.0135556	0.0204718	0.0155571
0.176	0.0135502	0.0204602	0.015542
0.177	0.0135351	0.0204432	0.0155248
0.178	0.0135187	0.0204265	0.0155001
0.179	0.0135134	0.0204111	0.0154877
0.18	0.0134952	0.0203899	0.0154633
0.181	0.0134884	0.0203844	0.0154522
0.182	0.0134629	0.0203459	0.0154128
0.183	0.0134447	0.020335	0.0153981
0.184	0.0134631	0.0203393	0.0154014
0.185	0.0134439	0.0203165	0.0153738
0.186	0.0134139	0.0202845	0.0153431
0.187	0.0134017	0.0202718	0.0153244
0.188	0.0134019	0.0202613	0.0153157
0.189	0.0133808	0.0202364	0.0152877
0.19	0.013365	0.0202194	0.0152661
0.191	0.0133509	0.0202028	0.0152473
0.192	0.0133406	0.0201913	0.0152261
0.193	0.0133285	0.020173	0.0152089
0.194	0.0133124	0.0201534	0.0151886
0.195	0.0132964	0.0201347	0.0151683
0.196	0.0132865	0.0201232	0.0151492
0.197	0.0132678	0.020094	0.0151227
0.198	0.0132568	0.0200826	0.0151059
0.199	0.0132374	0.0200646	0.015083
0.2	0.0132261	0.0200441	0.0150615
0.201	0.0132206	0.0200359	0.0150518
0.202	0.0131948	0.0200076	0.0150219
0.203	0.0131957	0.0200023	0.0150109
0.204	0.0131779	0.0199805	0.0149863
0.205	0.0131622	0.0199623	0.014965
0.206	0.0131604	0.0199561	0.0149571
0.207	0.0131301	0.0199242	0.0149223
0.208	0.013126	0.0199206	0.0149146
0.209	0.0131173	0.0199026	0.014897
0.21	0.0130917	0.0198711	0.0148634
0.211	0.0130779	0.0198624	0.0148485
0.212	0.0130747	0.0198497	0.0148326
0.213	0.0130524	0.0198215	0.0148061
0.214	0.0130498	0.0198115	0.014793
0.215	0.0130377	0.0198003	0.0147756
0.216	0.0130252	0.0197797	0.0147563
0.217	0.0130042	0.0197582	0.0147336
0.218	0.0129994	0.0197483	0.0147164
0.219	0.0129912	0.0197359	0.0147035
0.22	0.0129714	0.0197096	0.0146773
0.221	0.0129338	0.0196793	0.0146395
0.222	0.0129469	0.0196808	0.0146397
0.223	0.012924	0.0196523	0.0146119
0.224	0.0129206	0.0196502	0.0145992
0.225	0.0128911	0.0196186	0.0145712
0.226	0.0128824	0.0195985	0.0145467
0.227	0.0128891	0.0196039	0.0145506
0.228	0.0128613	0.0195783	0.0145179
0.229	0.012845	0.0195549	0.0144921
0.23	0.0128535	0.0195581	0.0144899
0.231	0.0128235	0.0195232	0.0144573
0.232	0.0128188	0.0195129	0.0144443
0.233	0.0127856	0.019483	0.0144095
0.234	0.0127943	0.0194791	0.014408
0.235	0.0127732	0.0194633	0.0143833
0.236	0.0127768	0.0194649	0.0143777
0.237	0.0127719	0.0194503	0.0143636
0.238	0.0127325	0.0194109	0.0143214
0.239	0.0127208	0.019391	0.0143005
0.24	0.0126804	0.0193497	0.0142587
0.241	0.0127019	0.0193624	0.0142673
0.242	0.0126902	0.0193517	0.0142503
0.243	0.0126742	0.0193337	0.014231
0.244	0.0126481	0.0193036	0.0141971
0.245	0.0126417	0.0192892	0.0141817
0.246	0.0126515	0.0192956	0.0141834
0.247	0.0126344	0.0192716	0.0141602
0.248	0.0126083	0.019249	0.014127
0.249	0.0125869	0.0192235	0.0141016
0.25	0.0125893	0.0192211	0.0140991
0.251	0.0125526	0.0191807	0.0140541
0.252	0.0125573	0.0191807	0.0140535
0.253	0.0125601	0.0191723	0.0140432
0.254	0.0125387	0.0191509	0.0140166
0.255	0.0125077	0.0191196	0.0139858
0.256	0.0125185	0.0191265	0.0139851
0.257	0.0124982	0.0191017	0.0139565
0.258	0.0124968	0.0190991	0.0139505
0.259	0.0124754	0.0190642	0.01392
0.26	0.0124444	0.0190387	0.0138866
0.261	0.0124354	0.0190226	0.0138691
0.262	0.0124346	0.019019	0.0138575
0.263	0.0124088	0.0189933	0.0138316
0.264	0.0123989	0.0189752	0.0138117
0.265	0.0123784	0.0189566	0.0137881
0.266	0.0123851	0.0189519	0.0137842
0.267	0.0123478	0.0189203	0.0137466
0.268	0.0123412	0.0189041	0.0137263
0.269	0.0123406	0.0188999	0.0137172
0.27	0.0123263	0.0188817	0.0137
0.271	0.0123171	0.0188653	0.0136849
0.272	0.0123138	0.0188638	0.0136732
0.273	0.0122944	0.0188377	0.0136516
0.274	0.0122636	0.0188067	0.013612
0.275	0.0122453	0.018787	0.013589
0.276	0.012253	0.0187869	0.0135882
0.277	0.0122419	0.0187686	0.0135714
0.278	0.0122157	0.0187444	0.0135402
0.279	0.0122063	0.0187324	0.0135221
0.28	0.0122045	0.0187281	0.0135145
0.281	0.0121775	0.0186964	0.0134841
0.282	0.0121759	0.0186938	0.0134702
0.283	0.012157	0.0186693	0.0134478
0.284	0.0121499	0.0186557	0.0134285
0.285	0.0121294	0.0186321	0.0134047
0.286	0.0121151	0.0186133	0.0133795
0.287	0.0120993	0.0185901	0.0133593
0.288	0.0121076	0.0185996	0.0133617
0.289	0.0120804	0.0185625	0.0133293
0.29	0.012066	0.0185475	0.0133061
0.291	0.0120476	0.0185284	0.0132839
0.292	0.0120343	0.0185147	0.0132626
0.293	0.0120468	0.0185221	0.0132635
0.294	0.012042	0.018513	0.0132575
0.295	0.0120271	0.0184862	0.0132284
0.296	0.0120001	0.0184634	0.0132009
0.297	0.0119963	0.0184583	0.0131901
0.298	0.0119763	0.0184312	0.0131619
0.299	0.0119408	0.0183927	0.0131212
0.3	0.0119555	0.0183968	0.0131237
0.301	0.0119477	0.0183911	0.0131114
0.302	0.0119443	0.0183802	0.0130993
0.303	0.0119161	0.0183547	0.0130683
0.304	0.0119067	0.0183412	0.0130489
0.305	0.0119221	0.0183492	0.0130565
0.306	0.0118853	0.0183099	0.0130161
0.307	0.0118623	0.0182856	0.0129881
0.308	0.0118512	0.0182681	0.0129718
0.309	0.0118224	0.0182365	0.0129336
0.31	0.0118217	0.0182376	0.0129277
0.311	0.0118211	0.0182257	0.0129172
0.312	0.0118207	0.0182222	0.0129079
0.313	0.0117974	0.0181996	0.0128838
0.314	0.0117691	0.018163	0.0128455
0.315	0.0117538	0.0181456	0.0128234
0.316	0.0117481	0.018144	0.0128148
0.317	0.0117518	0.0181366	0.0128077
0.318	0.0117158	0.0181003	0.0127665
0.319	0.0117247	0.0181012	0.0127633
0.32	0.0117211	0.0180895	0.0127542
0.321	0.0116724	0.0180465	0.0127027
0.322	0.011664	0.018039	0.0126877
0.323	0.0116552	0.0180241	0.0126741
0.324	0.0116588	0.0180184	0.0126691
0.325	0.0116519	0.0180065	0.0126509
0.326	0.0116236	0.0179777	0.012622
0.327	0.0116362	0.017986	0.0126245
0.328	0.0116126	0.0179565	0.0125897
0.329	0.0115876	0.0179286	0.0125598
0.33	0.0115796	0.0179218	0.0125477
0.331	0.0115891	0.0179183	0.0125478
0.332	0.0115632	0.0178926	0.0125143
0.333	0.0115303	0.0178594	0.0124789
0.334	0.0115298	0.0178564	0.0124707
0.335	0.0115267	0.0178441	0.0124588
0.336	0.0115298	0.0178439	0.0124544
0.337	0.0115125	0.0178256	0.0124316
0.338	0.0114892	0.0177989	0.0123989
0.339	0.0114936	0.0177929	0.0123943
0.34	0.0114687	0.0177762	0.0123652
0.341	0.0114582	0.0177603	0.0123491
0.342	0.0114535	0.0177474	0.0123348
0.343	0.0114366	0.0177274	0.0123161
0.344	0.0114174	0.0177047	0.0122893
0.345	0.0113984	0.0176868	0.0122657
0.346	0.0113972	0.0176824	0.0122528
0.347	0.0113764	0.0176573	0.0122285
0.348	0.0113547	0.017629	0.0121979
0.349	0.0113574	0.0176316	0.0121926
0.35	0.0113461	0.0176142	0.0121775
0.351	0.0113494	0.0176143	0.0121719
0.352	0.0113253	0.0175792	0.0121409
0.353	0.0113123	0.0175658	0.0121199
0.354	0.011294	0.0175514	0.0120966
0.355	0.0113041	0.0175496	0.0120981
0.356	0.0112678	0.0175117	0.012054
0.357	0.0112382	0.0174805	0.0120195
0.358	0.0112308	0.0174781	0.0120066
0.359	0.0112602	0.0174921	0.0120226
0.36	0.0112288	0.0174561	0.0119885
0.361	0.0112327	0.0174583	0.0119822
0.362	0.0112184	0.0174425	0.0119604
0.363	0.0112005	0.017412	0.0119332
0.364	0.0111706	0.0173877	0.0119018
0.365	0.0111723	0.0173858	0.0118927
0.366	0.0111679	0.0173735	0.0118812
0.367	0.0111351	0.0173381	0.0118477
0.368	0.0111516	0.0173468	0.0118497
0.369	0.0111109	0.0173123	0.0118085
0.37	0.0111088	0.0172997	0.0117961
0.371	0.0110916	0.017281	0.0117727
0.372	0.0110853	0.0172721	0.01176
0.373	0.0110802	0.0172579	0.0117478
0.374	0.0110602	0.0172369	0.0117191
