L	opf	cc	jcc
0	0.016356	0.0238508	0.0165387
0.001	0.0163265	0.023823	0.0165021
0.002	0.016299	0.0237949	0.0164695
0.003	0.0162958	0.0237881	0.0164646
0.004	0.0162811	0.0237638	0.0164375
0.005	0.0162632	0.0237434	0.0164157
0.006	0.0162401	0.0237231	0.0163843
0.007	0.0162133	0.0236938	0.0163485
0.008	0.0162001	0.0236739	0.0163385
0.009	0.0161765	0.0236515	0.0163048
0.01	0.0161621	0.0236315	0.0162833
0.011	0.0161357	0.0236035	0.0162543
0.012	0.0161215	0.0235877	0.016233
0.013	0.0161137	0.0235782	0.0162165
0.014	0.0160813	0.0235462	0.0161831
0.015	0.0160633	0.0235182	0.0161575
0.016	0.0160597	0.0235126	0.0161453
0.017	0.0160275	0.0234796	0.0161039
0.018	0.0160197	0.0234666	0.0160881
0.019	0.0160118	0.0234512	0.0160793
0.02	0.0159669	0.0234145	0.0160368
0.021	0.0159709	0.0234128	0.016027
0.022	0.0159595	0.023394	0.0160112
0.023	0.0159381	0.0233676	0.0159806
0.024	0.0159195	0.0233493	0.015961
0.025	0.0159005	0.0233288	0.015936
0.026	0.0158693	0.0233007	0.015897
0.027	0.0158517	0.0232769	0.0158715
0.028	0.0158483	0.0232638	0.0158604
0.029	0.0158256	0.0232393	0.0158306
0.03	0.0157984	0.0232136	0.0158004
0.031	0.0157797	0.023191	0.0157794
0.032	0.0157626	0.0231705	0.0157486
0.033	0.0157444	0.0231499	0.0157266
0.034	0.0157359	0.0231393	0.0157184
0.035	0.0157167	0.0231208	0.01569
0.036	0.0157089	0.0231059	0.0156774
0.037	0.0156835	0.0230777	0.0156447
0.038	0.0156767	0.0230677	0.0156276
0.039	0.0156496	0.0230351	0.0155954
0.04	0.0156337	0.0230198	0.015576
0.041	0.015628	0.0230087	0.0155611
0.042	0.0156062	0.0229813	0.0155292
0.043	0.0155853	0.0229578	0.0155032
0.044	0.0155518	0.0229237	0.0154678
0.045	0.0155498	0.0229143	0.0154556
0.046	0.0155273	0.0228908	0.0154298
0.047	0.0155216	0.0228804	0.0154154
0.048	0.0154895	0.0228492	0.015378
0.049	0.0154917	0.0228445	0.0153769
0.05	0.0154567	0.0228104	0.0153371
0.051	0.0154517	0.0228025	0.0153242
0.052	0.015425	0.0227695	0.0152919
0.053	0.0154031	0.0227426	0.0152588
0.054	0.0153837	0.0227277	0.0152362
