L	opf	cc	jcc
0	0.315632	0.308364	0.307789
0.001	0.314742	0.307483	0.306909
0.002	0.313851	0.306606	0.306029
0.003	0.312945	0.305703	0.305128
0.004	0.312111	0.304846	0.304268
0.005	0.311268	0.304014	0.303436
0.006	0.310438	0.303191	0.302613
0.007	0.30956	0.302319	0.301743
0.008	0.308629	0.301399	0.300823
0.009	0.307805	0.300557	0.29998
0.01	0.306946	0.299715	0.299137
0.011	0.306121	0.298887	0.298306
0.012	0.305281	0.298048	0.297466
0.013	0.304439	0.297208	0.296628
0.014	0.303552	0.296317	0.295739
0.015	0.302735	0.295507	0.294925
0.016	0.301905	0.294689	0.294107
0.017	0.301046	0.293833	0.293251
0.018	0.300241	0.293006	0.292426
0.019	0.299407	0.292181	0.2916
0.02	0.298533	0.291329	0.290748
0.021	0.297773	0.290549	0.289965
0.022	0.296878	0.289657	0.289072
0.023	0.296074	0.288856	0.288272
0.024	0.295227	0.28802	0.287436
0.025	0.294419	0.287201	0.286616
0.026	0.293595	0.286388	0.285802
0.027	0.292777	0.285571	0.284984
0.028	0.291998	0.284792	0.284206
0.029	0.291152	0.283959	0.283374
0.03	0.290336	0.28315	0.282564
0.031	0.289583	0.282378	0.281792
0.032	0.288689	0.281497	0.280909
0.033	0.287917	0.280719	0.280132
0.034	0.287135	0.279939	0.279355
0.035	0.286289	0.279108	0.278519
0.036	0.28552	0.278326	0.277738
0.037	0.284731	0.277553	0.276962
0.038	0.283911	0.276724	0.276138
0.039	0.283128	0.275923	0.275335
0.04	0.282405	0.27522	0.274628
0.041	0.281583	0.274399	0.273808
0.042	0.280736	0.273563	0.272973
0.043	0.279959	0.272797	0.272208
0.044	0.279175	0.272019	0.271426
0.045	0.278423	0.271245	0.270654
0.046	0.27761	0.270464	0.269872
0.047	0.276812	0.269656	0.269065
0.048	0.276057	0.268911	0.26832
0.049	0.275347	0.26817	0.267577
0.05	0.274542	0.267386	0.266792
0.051	0.273758	0.266599	0.266005
0.052	0.272992	0.265841	0.265246
0.053	0.272201	0.26506	0.264465
0.054	0.271451	0.264303	0.263708
0.055	0.270693	0.263544	0.26295
0.056	0.269954	0.262803	0.262207
0.057	0.26919	0.262039	0.261442
0.058	0.268466	0.261308	0.260711
0.059	0.267697	0.260567	0.25997
0.06	0.266949	0.259796	0.259199
0.061	0.266118	0.258998	0.258402
0.062	0.265452	0.258322	0.257724
0.063	0.264658	0.257523	0.256923
0.064	0.263922	0.256786	0.256188
0.065	0.263189	0.256068	0.255468
0.066	0.262437	0.255301	0.254701
0.067	0.261725	0.254606	0.254002
0.068	0.260989	0.253875	0.253275
0.069	0.260206	0.253086	0.252485
0.07	0.259509	0.252394	0.251789
0.071	0.258791	0.251651	0.251048
0.072	0.258055	0.250935	0.250333
0.073	0.257344	0.250221	0.24962
0.074	0.256595	0.249485	0.248881
0.075	0.255899	0.248787	0.248184
0.076	0.255133	0.248032	0.24743
0.077	0.254407	0.247304	0.2467
0.078	0.253686	0.246583	0.245981
0.079	0.252946	0.245863	0.245259
0.08	0.252279	0.245175	0.244569
0.081	0.251542	0.244451	0.243844
0.082	0.250868	0.243764	0.243158
0.083	0.250175	0.243075	0.24247
0.084	0.24938	0.242302	0.241696
0.085	0.248722	0.241644	0.241039
0.086	0.248005	0.240912	0.240306
0.087	0.247341	0.240247	0.239638
0.088	0.246609	0.239528	0.238919
0.089	0.245909	0.238825	0.238217
0.09	0.245241	0.238167	0.237559
0.091	0.244518	0.23745	0.236841
0.092	0.24381	0.236737	0.236127
0.093	0.243152	0.236072	0.235464
0.094	0.242483	0.235416	0.234803
0.095	0.241771	0.234704	0.234092
0.096	0.241052	0.233996	0.233387
0.097	0.240423	0.233355	0.23274
0.098	0.239719	0.232654	0.232042
0.099	0.239015	0.231966	0.231352
0.1	0.238337	0.231288	0.230674
0.101	0.237655	0.230604	0.229993
0.102	0.236979	0.22994	0.229326
0.103	0.236301	0.229268	0.228656
0.104	0.235659	0.228609	0.227996
0.105	0.234991	0.227936	0.227321
0.106	0.23434	0.227291	0.226677
0.107	0.233661	0.226626	0.22601
0.108	0.233004	0.22596	0.225343
0.109	0.232335	0.225311	0.224695
0.11	0.231685	0.224642	0.224024
0.111	0.231024	0.223986	0.22337
0.112	0.23032	0.223281	0.222666
0.113	0.229647	0.222631	0.22201
0.114	0.229025	0.222002	0.221383
0.115	0.228358	0.221334	0.220718
0.116	0.227709	0.220685	0.220065
0.117	0.227058	0.220053	0.219433
0.118	0.226443	0.219445	0.218824
0.119	0.225806	0.218796	0.218177
0.12	0.22513	0.218117	0.217497
0.121	0.224504	0.217503	0.216881
0.122	0.223846	0.21684	0.21622
0.123	0.223192	0.216194	0.215574
0.124	0.222505	0.215518	0.214892
0.125	0.221936	0.214925	0.214303
0.126	0.22131	0.214323	0.2137
0.127	0.220669	0.21368	0.213055
0.128	0.220044	0.213065	0.212441
0.129	0.219408	0.212412	0.211789
0.13	0.218764	0.211768	0.211142
0.131	0.218112	0.211143	0.210516
0.132	0.217492	0.21051	0.209884
0.133	0.216904	0.209934	0.209309
0.134	0.216296	0.209311	0.208686
0.135	0.215686	0.208717	0.208089
0.136	0.215082	0.208112	0.207484
0.137	0.214415	0.207452	0.206823
0.138	0.213819	0.206859	0.206232
0.139	0.213247	0.206265	0.205636
0.14	0.212608	0.20564	0.205011
0.141	0.21199	0.20503	0.2044
0.142	0.21137	0.204431	0.203805
0.143	0.210766	0.203806	0.203177
0.144	0.210182	0.203232	0.2026
0.145	0.209577	0.202632	0.202003
0.146	0.208963	0.202022	0.20139
0.147	0.208314	0.201381	0.200748
0.148	0.207735	0.200792	0.200158
0.149	0.207132	0.200203	0.19957
0.15	0.206578	0.199645	0.199013
0.151	0.205956	0.199018	0.198385
0.152	0.20538	0.198446	0.197814
0.153	0.204804	0.197871	0.197236
0.154	0.204189	0.197257	0.196622
0.155	0.203631	0.196695	0.196059
0.156	0.20298	0.196076	0.19544
0.157	0.20242	0.195493	0.194856
0.158	0.201878	0.194964	0.194327
0.159	0.201231	0.194325	0.193688
0.16	0.200719	0.19381	0.193175
0.161	0.200067	0.193164	0.192528
0.162	0.199502	0.192589	0.191951
0.163	0.198958	0.192066	0.191427
0.164	0.198403	0.191511	0.190872
0.165	0.197834	0.190939	0.190298
0.166	0.19726	0.19037	0.189731
0.167	0.196693	0.189803	0.189164
0.168	0.196118	0.189214	0.188572
0.169	0.195526	0.188641	0.188002
0.17	0.194995	0.188107	0.187467
0.171	0.194414	0.187522	0.186878
0.172	0.19386	0.18697	0.186326
0.173	0.193293	0.18641	0.185769
0.174	0.192737	0.185858	0.185216
0.175	0.192189	0.185311	0.184667
0.176	0.191602	0.18474	0.184095
0.177	0.191061	0.184177	0.183534
0.178	0.190532	0.183672	0.183028
0.179	0.190006	0.183147	0.1825
0.18	0.189443	0.182571	0.181926
0.181	0.188877	0.182027	0.181381
0.182	0.188352	0.1815	0.180852
0.183	0.187783	0.180922	0.180275
0.184	0.18722	0.180362	0.179715
0.185	0.186691	0.179834	0.179189
0.186	0.186169	0.1793	0.178652
0.187	0.185598	0.178757	0.178107
0.188	0.18509	0.178247	0.177598
0.189	0.18452	0.177664	0.177014
0.19	0.184	0.177151	0.1765
0.191	0.183479	0.176642	0.175989
0.192	0.182968	0.176126	0.175475
0.193	0.182425	0.175582	0.174935
0.194	0.181946	0.175107	0.174456
0.195	0.181365	0.174536	0.173885
0.196	0.180896	0.174054	0.173402
0.197	0.180344	0.173495	0.172841
0.198	0.17976	0.172935	0.172282
0.199	0.179194	0.17237	0.171714
0.2	0.178704	0.171886	0.17123
0.201	0.178227	0.171413	0.17076
0.202	0.177708	0.170899	0.170244
0.203	0.177211	0.170389	0.169733
0.204	0.17671	0.169886	0.169231
0.205	0.176155	0.169346	0.168688
0.206	0.175649	0.168843	0.168186
0.207	0.175172	0.16836	0.1677
0.208	0.174618	0.167805	0.167144
0.209	0.174156	0.16733	0.166674
0.21	0.173611	0.166809	0.166151
0.211	0.173129	0.166321	0.16566
0.212	0.172608	0.165816	0.165158
0.213	0.172109	0.165326	0.164665
0.214	0.171603	0.164813	0.164152
0.215	0.17109	0.164294	0.163634
0.216	0.17063	0.163821	0.163162
0.217	0.170115	0.163322	0.16266
0.218	0.169607	0.162828	0.162165
0.219	0.169097	0.16232	0.161657
0.22	0.168672	0.161886	0.161222
0.221	0.168128	0.161355	0.160693
0.222	0.167647	0.160872	0.160207
0.223	0.167119	0.16036	0.159696
0.224	0.166713	0.159941	0.159276
0.225	0.166215	0.159442	0.158778
0.226	0.165722	0.158954	0.158287
0.227	0.165239	0.158478	0.157814
0.228	0.164774	0.158004	0.157338
0.229	0.164265	0.157503	0.156839
0.23	0.163821	0.157065	0.156398
0.231	0.163319	0.156552	0.155885
0.232	0.162829	0.156071	0.155403
0.233	0.162415	0.155658	0.154988
0.234	0.161928	0.155169	0.154501
0.235	0.161426	0.154677	0.154009
0.236	0.160963	0.154206	0.153536
0.237	0.160507	0.153754	0.153084
0.238	0.160005	0.153263	0.152593
0.239	0.159566	0.152818	0.152148
