L	opf	cc	jcc
0.6	0.00847522	0.0137616	0.0121477
0.6008	0.00845033	0.0137452	0.0121272
0.6016	0.00845582	0.0137396	0.0121188
0.6024	0.00845141	0.0137339	0.0121105
0.6032	0.00845082	0.0137194	0.0120943
0.604	0.0084433	0.0137172	0.0120886
0.6048	0.00842223	0.0136927	0.0120618
0.6056	0.00839257	0.013668	0.0120335
0.6064	0.00840698	0.0136595	0.0120247
0.6072	0.0083945	0.0136515	0.0120113
0.608	0.0083945	0.0136474	0.0120042
0.6088	0.00836415	0.0136153	0.0119707
0.6096	0.0083606	0.0136062	0.0119583
0.6104	0.0083719	0.0136069	0.0119568
0.6112	0.00835111	0.0135934	0.0119386
0.612	0.00834943	0.0135762	0.011921
0.6128	0.00833009	0.013561	0.0119024
0.6136	0.00832161	0.0135441	0.0118837
0.6144	0.00832321	0.0135376	0.0118742
0.6152	0.00829852	0.0135161	0.0118496
0.616	0.00829297	0.0135015	0.0118319
0.6168	0.00827765	0.0134843	0.0118129
0.6176	0.00826917	0.013474	0.011799
0.6184	0.00826971	0.0134658	0.011788
0.6192	0.00825543	0.0134522	0.0117706
0.62	0.00825061	0.0134373	0.0117545
0.6208	0.00825713	0.0134344	0.0117492
0.6216	0.00825175	0.0134283	0.0117383
0.6224	0.00821007	0.01339	0.0116979
0.6232	0.00821078	0.013385	0.0116889
0.624	0.00820164	0.0133674	0.0116694
0.6248	0.00817523	0.0133424	0.0116425
0.6256	0.00818797	0.0133493	0.0116442
0.6264	0.00817701	0.0133303	0.0116235
0.6272	0.0081705	0.013319	0.0116091
0.628	0.00816577	0.0133085	0.0115966
0.6288	0.00814999	0.013287	0.0115715
0.6296	0.00813074	0.0132746	0.0115552
0.6304	0.00812679	0.0132599	0.0115389
0.6312	0.00812715	0.0132516	0.0115275
0.632	0.00810873	0.0132223	0.0114967
0.6328	0.00810378	0.0132182	0.0114895
0.6336	0.00809082	0.0132091	0.0114755
0.6344	0.00808781	0.0131908	0.0114554
0.6352	0.00806758	0.0131797	0.0114387
0.636	0.00808353	0.0131711	0.0114297
0.6368	0.00804919	0.0131525	0.011406
0.6376	0.00805001	0.0131322	0.0113853
0.6384	0.0080351	0.0131192	0.0113689
0.6392	0.0080314	0.0131024	0.0113501
0.64	0.00802708	0.0130977	0.0113409
0.6408	0.00800262	0.01308	0.0113182
0.6416	0.00799733	0.0130638	0.0113011
0.6424	0.00799006	0.0130511	0.0112849
0.6432	0.00798457	0.0130397	0.0112705
0.644	0.00796115	0.0130121	0.0112413
0.6448	0.00798137	0.0130198	0.0112443
0.6456	0.00796097	0.0129979	0.01122
0.6464	0.00793634	0.0129707	0.0111902
0.6472	0.00795473	0.0129756	0.011191
0.648	0.00794774	0.0129692	0.0111799
0.6488	0.0078979	0.0129282	0.0111363
0.6496	0.00790992	0.0129248	0.0111306
0.6504	0.00790646	0.0129097	0.0111132
0.6512	0.00790514	0.0129079	0.0111076
0.652	0.00787046	0.0128701	0.0110668
0.6528	0.00787761	0.0128745	0.0110671
0.6536	0.00788594	0.0128657	0.0110561
0.6544	0.00786964	0.0128564	0.0110419
0.6552	0.00786726	0.0128298	0.011015
0.656	0.00782772	0.0128046	0.0109849
0.6568	0.00783785	0.0128031	0.0109805
0.6576	0.00784425	0.012788	0.0109634
0.6584	0.00779772	0.0127595	0.0109303
0.6592	0.00781666	0.0127568	0.0109257
0.66	0.00779861	0.012742	0.0109062
0.6608	0.00777742	0.012717	0.0108796
0.6616	0.00777688	0.0127066	0.0108659
0.6624	0.0077684	0.0126952	0.0108496
0.6632	0.0077497	0.0126664	0.0108201
