L	ropf	rcc	rsjc
0.7	0.109351	0.104092	0.102926
0.7003	0.109186	0.103925	0.102763
0.7006	0.109022	0.103758	0.1026
0.7009	0.108858	0.103591	0.102437
0.7012	0.108694	0.103425	0.102274
0.7015	0.10853	0.103259	0.102112
0.7018	0.108367	0.103093	0.10195
0.7021	0.108204	0.102927	0.101788
0.7024	0.108042	0.102762	0.101627
0.7027	0.10788	0.102597	0.101466
0.703	0.107718	0.102432	0.101306
0.7033	0.107556	0.102267	0.101145
0.7036	0.107395	0.102103	0.100986
0.7039	0.107234	0.101939	0.100826
0.7042	0.107074	0.101775	0.100667
0.7045	0.106913	0.101611	0.100508
0.7048	0.106754	0.101448	0.100349
0.7051	0.106594	0.101284	0.100191
0.7054	0.106435	0.101121	0.100033
0.7057	0.106276	0.100959	0.0998748
0.706	0.106117	0.100796	0.0997172
0.7063	0.105959	0.100634	0.0995599
0.7066	0.105801	0.100473	0.0994028
0.7069	0.105644	0.100311	0.099246
0.7072	0.105486	0.10015	0.0990894
0.7075	0.105329	0.0999889	0.0989331
0.7078	0.105173	0.0998282	0.098777
0.7081	0.105016	0.0996678	0.0986211
0.7084	0.10486	0.0995076	0.0984654
0.7087	0.104704	0.0993478	0.0983099
0.709	0.104549	0.0991883	0.0981546
0.7093	0.104394	0.099029	0.0979995
0.7096	0.104239	0.09887	0.0978446
0.7099	0.104084	0.0987113	0.09769
0.7102	0.103929	0.0985529	0.0975355
0.7105	0.103775	0.0983947	0.0973811
0.7108	0.103621	0.0982369	0.097227
0.7111	0.103468	0.0980793	0.0970731
0.7114	0.103314	0.097922	0.0969193
0.7117	0.103161	0.0977649	0.0967657
0.712	0.103008	0.0976082	0.0966123
0.7123	0.102855	0.0974517	0.096459
0.7126	0.102703	0.0972954	0.096306
0.7129	0.102551	0.0971394	0.096153
0.7132	0.102399	0.0969837	0.0960003
0.7135	0.102247	0.0968283	0.0958477
0.7138	0.102095	0.0966731	0.0956953
0.7141	0.101944	0.0965181	0.095543
0.7144	0.101793	0.0963635	0.0953909
0.7147	0.101642	0.0962091	0.095239
0.715	0.101491	0.0960549	0.0950872
0.7153	0.101341	0.095901	0.0949356
0.7156	0.10119	0.0957473	0.0947841
0.7159	0.10104	0.0955939	0.0946327
0.7162	0.10089	0.0954408	0.0944816
0.7165	0.100741	0.0952879	0.0943305
0.7168	0.100591	0.0951352	0.0941797
0.7171	0.100442	0.0949829	0.0940289
0.7174	0.100293	0.0948307	0.0938784
0.7177	0.100144	0.0946789	0.0937279
0.718	0.0999949	0.0945273	0.0935777
0.7183	0.0998463	0.0943759	0.0934275
0.7186	0.0996979	0.0942249	0.0932776
0.7189	0.0995496	0.0940741	0.0931278
0.7192	0.0994016	0.0939235	0.0929781
0.7195	0.0992537	0.0937732	0.0928286
0.7198	0.099106	0.0936232	0.0926792
0.7201	0.0989585	0.0934735	0.0925301
0.7204	0.0988112	0.093324	0.0923811
0.7207	0.0986641	0.0931748	0.0922322
0.721	0.0985171	0.0930259	0.0920835
0.7213	0.0983703	0.0928773	0.091935
0.7216	0.0982238	0.0927289	0.0917867
0.7219	0.0980774	0.0925809	0.0916385
0.7222	0.0979312	0.0924331	0.0914906
0.7225	0.0977852	0.0922856	0.0913428
0.7228	0.0976394	0.0921384	0.0911952
0.7231	0.0974938	0.0919914	0.0910478
0.7234	0.0973484	0.0918448	0.0909006
0.7237	0.0972032	0.0916984	0.0907536
0.724	0.0970583	0.0915524	0.0906068
0.7243	0.0969135	0.0914066	0.0904602
0.7246	0.096769	0.0912612	0.0903138
0.7249	0.0966247	0.091116	0.0901677
0.7252	0.0964807	0.0909711	0.0900218
0.7255	0.0963369	0.0908265	0.0898761
0.7258	0.0961933	0.0906822	0.0897306
0.7261	0.09605	0.0905382	0.0895854
0.7264	0.0959069	0.0903946	0.0894404
0.7267	0.0957641	0.0902512	0.0892956
0.727	0.0956215	0.0901081	0.0891511
0.7273	0.0954792	0.0899653	0.0890068
0.7276	0.0953372	0.0898228	0.0888628
0.7279	0.0951955	0.0896805	0.088719
0.7282	0.095054	0.0895386	0.0885755
0.7285	0.0949129	0.089397	0.0884322
0.7288	0.094772	0.0892557	0.0882892
0.7291	0.0946314	0.0891146	0.0881465
0.7294	0.0944912	0.0889739	0.088004
0.7297	0.0943512	0.0888334	0.0878617
0.73	0.0942116	0.0886932	0.0877197
0.7303	0.0940722	0.0885533	0.087578
0.7306	0.0939332	0.0884136	0.0874365
0.7309	0.0937945	0.0882743	0.0872953
0.7312	0.0936562	0.0881352	0.0871543
0.7315	0.0935181	0.0879963	0.0870135
0.7318	0.0933804	0.0878578	0.086873
0.7321	0.093243	0.0877195	0.0867328
0.7324	0.0931059	0.0875814	0.0865927
0.7327	0.0929692	0.0874436	0.086453
0.733	0.0928328	0.0873061	0.0863134
0.7333	0.0926967	0.0871687	0.0861741
0.7336	0.0925609	0.0870317	0.0860349
0.7339	0.0924255	0.0868948	0.085896
0.7342	0.0922903	0.0867582	0.0857573
0.7345	0.0921555	0.0866218	0.0856188
0.7348	0.092021	0.0864857	0.0854805
0.7351	0.0918868	0.0863497	0.0853424
0.7354	0.0917529	0.086214	0.0852045
0.7357	0.0916193	0.0860784	0.0850667
0.736	0.091486	0.0859431	0.0849291
0.7363	0.091353	0.0858079	0.0847917
0.7366	0.0912203	0.0856729	0.0846544
0.7369	0.0910878	0.0855382	0.0845173
0.7372	0.0909556	0.0854035	0.0843804
0.7375	0.0908237	0.0852691	0.0842435
0.7378	0.090692	0.0851348	0.0841068
0.7381	0.0905606	0.0850007	0.0839702
0.7384	0.0904294	0.0848668	0.0838337
0.7387	0.0902984	0.084733	0.0836974
0.739	0.0901676	0.0845993	0.0835611
0.7393	0.090037	0.0844658	0.0834249
0.7396	0.0899067	0.0843324	0.0832889
0.7399	0.0897765	0.0841992	0.0831529
0.7402	0.0896465	0.0840661	0.0830169
0.7405	0.0895167	0.0839331	0.0828811
0.7408	0.089387	0.0838002	0.0827453
0.7411	0.0892575	0.0836674	0.0826096
0.7414	0.0891281	0.0835347	0.0824739
0.7417	0.0889988	0.0834022	0.0823383
0.742	0.0888697	0.0832697	0.0822027
0.7423	0.0887407	0.0831373	0.0820672
0.7426	0.0886118	0.083005	0.0819317
0.7429	0.088483	0.0828728	0.0817962
0.7432	0.0883543	0.0827407	0.0816607
0.7435	0.0882256	0.0826086	0.0815253
0.7438	0.088097	0.0824767	0.0813899
0.7441	0.0879685	0.0823447	0.0812545
0.7444	0.08784	0.0822129	0.0811191
0.7447	0.0877116	0.0820811	0.0809837
0.745	0.0875832	0.0819493	0.0808483
0.7453	0.0874548	0.0818176	0.0807129
