L	opf	cc	jcc
0	0.0319584	0.0358378	0.0349713
0.001	0.0319074	0.0357922	0.0349247
0.002	0.0318371	0.0357236	0.0348534
0.003	0.0317684	0.0356568	0.0347855
0.004	0.0316965	0.0355887	0.0347187
0.005	0.0316319	0.0355272	0.0346535
0.006	0.0315713	0.035469	0.0345948
0.007	0.0314889	0.0353914	0.0345162
0.008	0.031437	0.0353397	0.0344651
0.009	0.031365	0.0352702	0.0343922
0.01	0.0312926	0.0352028	0.0343223
0.011	0.0312291	0.0351394	0.0342593
0.012	0.03117	0.0350828	0.0342016
0.013	0.031104	0.0350199	0.0341373
0.014	0.031038	0.034959	0.0340731
0.015	0.0309638	0.0348876	0.0340029
0.016	0.0308917	0.0348179	0.033931
0.017	0.0308344	0.0347629	0.0338768
0.018	0.0307839	0.0347149	0.0338208
0.019	0.0307037	0.0346376	0.0337482
0.02	0.0306357	0.0345726	0.0336799
0.021	0.030575	0.0345137	0.0336231
0.022	0.030509	0.0344498	0.0335578
0.023	0.0304338	0.0343776	0.0334819
0.024	0.0303727	0.0343226	0.0334255
0.025	0.0303106	0.0342605	0.0333627
0.026	0.0302506	0.034206	0.0333059
0.027	0.0301834	0.0341404	0.0332386
0.028	0.0301163	0.0340769	0.0331757
0.029	0.0300489	0.0340118	0.0331064
0.03	0.0299848	0.0339491	0.033044
0.031	0.0299274	0.0338947	0.0329874
0.032	0.0298535	0.0338255	0.0329168
0.033	0.0297907	0.0337628	0.032853
0.034	0.0297261	0.0337014	0.0327894
0.035	0.0296612	0.0336417	0.0327284
0.036	0.0295987	0.0335808	0.0326653
0.037	0.0295368	0.0335219	0.0326047
0.038	0.0294726	0.0334611	0.0325441
0.039	0.0294152	0.0334056	0.032486
0.04	0.0293534	0.0333466	0.0324241
0.041	0.0292805	0.0332758	0.0323523
0.042	0.0292204	0.0332192	0.0322926
0.043	0.0291613	0.0331628	0.0322361
0.044	0.0290856	0.0330902	0.0321605
0.045	0.0290235	0.0330312	0.0321021
0.046	0.0289634	0.0329724	0.0320438
0.047	0.0289056	0.0329177	0.0319829
0.048	0.0288329	0.0328489	0.0319134
