L	opf	cc	jcc
0	0.0319712	0.0403612	0.0370367
0.001	0.0319036	0.0402987	0.0369703
0.002	0.0318314	0.040228	0.036898
0.003	0.0317694	0.0401734	0.0368403
0.004	0.0317059	0.0401136	0.036778
0.005	0.0316288	0.0400479	0.0367082
0.006	0.0315692	0.0399929	0.0366506
0.007	0.0314966	0.0399241	0.0365784
0.008	0.0314373	0.0398709	0.0365238
0.009	0.0313627	0.0398	0.0364497
0.01	0.0313049	0.0397482	0.0363937
0.011	0.0312335	0.0396809	0.0363238
0.012	0.031169	0.0396262	0.0362658
0.013	0.0311064	0.0395616	0.0362003
0.014	0.03103	0.0394936	0.0361284
0.015	0.0309667	0.0394384	0.0360699
0.016	0.0309053	0.0393773	0.0360081
0.017	0.0308356	0.0393125	0.03594
0.018	0.0307678	0.0392537	0.0358777
0.019	0.0307069	0.0392001	0.0358202
0.02	0.0306394	0.0391361	0.0357537
0.021	0.0305708	0.039071	0.0356857
0.022	0.0305072	0.0390161	0.0356282
0.023	0.0304424	0.0389529	0.0355613
0.024	0.0303781	0.0388957	0.035501
0.025	0.0303026	0.0388262	0.0354295
0.026	0.0302419	0.0387721	0.0353708
0.027	0.03018	0.0387139	0.035309
0.028	0.0301223	0.0386615	0.0352548
0.029	0.0300476	0.0385962	0.035185
0.03	0.0299902	0.0385414	0.0351288
0.031	0.0299122	0.0384694	0.0350537
0.032	0.0298597	0.0384239	0.035005
0.033	0.0297909	0.0383568	0.0349358
0.034	0.0297321	0.0383035	0.0348802
0.035	0.0296648	0.0382433	0.0348152
0.036	0.0296055	0.0381913	0.03476
0.037	0.0295432	0.0381315	0.0346983
0.038	0.0294732	0.0380657	0.0346283
0.039	0.0294132	0.0380152	0.0345748
0.04	0.0293483	0.0379524	0.0345104
0.041	0.0292917	0.0378999	0.0344549
0.042	0.0292111	0.0378288	0.0343809
0.043	0.029153	0.0377781	0.0343259
0.044	0.0290926	0.0377148	0.0342626
0.045	0.0290271	0.0376621	0.0342054
0.046	0.0289599	0.0375964	0.0341383
0.047	0.028899	0.0375386	0.0340785
0.048	0.028842	0.0374849	0.0340213
0.049	0.0287875	0.0374369	0.0339689
0.05	0.0287121	0.037371	0.0338991
0.051	0.0286559	0.0373169	0.0338437
0.052	0.0285888	0.0372536	0.0337787
0.053	0.0285289	0.0371985	0.0337207
0.054	0.0284673	0.0371378	0.0336584
0.055	0.0284053	0.0370806	0.0335984
0.056	0.0283431	0.0370265	0.0335401
0.057	0.0282852	0.0369737	0.0334868
0.058	0.0282219	0.0369161	0.0334241
0.059	0.0281559	0.0368582	0.0333644
0.06	0.0280954	0.0368009	0.0333057
0.061	0.0280346	0.036741	0.0332442
0.062	0.0279778	0.0366922	0.0331918
0.063	0.0279091	0.0366288	0.0331268
0.064	0.0278565	0.0365783	0.0330733
0.065	0.0277851	0.036514	0.0330056
0.066	0.0277217	0.036453	0.0329429
0.067	0.0276737	0.0364072	0.0328953
0.068	0.0276059	0.0363495	0.0328344
0.069	0.0275491	0.0362975	0.0327777
0.07	0.0274915	0.0362377	0.0327195
0.071	0.0274249	0.036179	0.0326568
0.072	0.0273625	0.0361156	0.0325936
0.073	0.0273163	0.0360762	0.0325494
0.074	0.0272478	0.0360122	0.032484
0.075	0.0271959	0.0359664	0.0324361
0.076	0.0271334	0.0359082	0.0323762
0.077	0.0270695	0.0358456	0.0323119
0.078	0.0270069	0.0357944	0.0322559
0.079	0.0269506	0.035738	0.0321995
0.08	0.0269011	0.0356933	0.0321518
0.081	0.0268341	0.0356264	0.0320835
0.082	0.026775	0.0355779	0.0320322
0.083	0.0267223	0.0355258	0.0319777
0.084	0.0266702	0.0354764	0.0319254
0.085	0.0266025	0.0354163	0.0318639
0.086	0.0265347	0.0353511	0.0317966
0.087	0.0264834	0.0352992	0.0317433
0.088	0.0264364	0.0352579	0.0316983
0.089	0.0263744	0.0351935	0.0316349
0.09	0.0263171	0.0351466	0.0315832
0.091	0.0262565	0.0350885	0.031524
0.092	0.0261957	0.0350372	0.0314684
