L	opf	cc	jcc
0	0.0319703	0.0403595	0.0349851
0.001	0.0318975	0.0402946	0.0349133
0.002	0.0318255	0.0402295	0.0348447
0.003	0.0317662	0.0401756	0.0347876
0.004	0.0317005	0.0401095	0.0347206
0.005	0.0316326	0.0400466	0.0346552
0.006	0.0315669	0.0399902	0.0345906
0.007	0.031494	0.0399194	0.034516
0.008	0.0314317	0.0398646	0.03446
0.009	0.0313613	0.0398006	0.0343897
0.01	0.0312987	0.0397392	0.0343263
0.011	0.0312249	0.0396734	0.0342577
0.012	0.0311654	0.0396195	0.0341977
0.013	0.0311038	0.0395633	0.0341362
0.014	0.0310287	0.0394982	0.0340666
0.015	0.0309609	0.0394303	0.0339988
0.016	0.0309044	0.0393794	0.0339423
0.017	0.0308302	0.0393107	0.0338686
0.018	0.0307709	0.0392544	0.0338093
0.019	0.0307111	0.0392008	0.0337548
0.02	0.0306338	0.039134	0.0336815
0.021	0.0305785	0.0390807	0.0336237
0.022	0.0305141	0.0390207	0.0335616
0.023	0.0304457	0.0389566	0.0334932
0.024	0.030381	0.0389006	0.0334328
0.025	0.0303146	0.0388397	0.0333676
0.026	0.0302446	0.0387782	0.0332987
0.027	0.030181	0.0387175	0.0332354
0.028	0.0301228	0.0386599	0.0331774
0.029	0.0300537	0.0385971	0.0331093
0.03	0.0299849	0.0385368	0.0330427
0.031	0.0299191	0.0384762	0.0329805
0.032	0.0298537	0.0384141	0.0329123
0.033	0.0297915	0.0383582	0.0328531
0.034	0.0297306	0.0383072	0.0327979
0.035	0.029668	0.038249	0.0327336
0.036	0.0296072	0.038193	0.032675
0.037	0.0295374	0.0381277	0.0326057
0.038	0.0294821	0.038075	0.0325494
0.039	0.0294114	0.0380089	0.0324806
0.04	0.0293485	0.0379549	0.0324206
0.041	0.0292918	0.0379037	0.0323643
0.042	0.0292246	0.037837	0.0322952
0.043	0.029159	0.0377763	0.0322312
0.044	0.0290848	0.0377086	0.0321608
0.045	0.0290303	0.0376587	0.0321063
0.046	0.0289647	0.0375977	0.0320422
0.047	0.0289077	0.0375467	0.0319864
0.048	0.0288378	0.0374816	0.0319166
0.049	0.0287871	0.0374364	0.0318691
0.05	0.0287121	0.0373692	0.031796
0.051	0.0286612	0.0373242	0.0317467
0.052	0.0285872	0.0372499	0.0316729
0.053	0.028524	0.0371917	0.031609
0.054	0.0284624	0.0371378	0.0315488
0.055	0.0284023	0.0370801	0.0314891
0.056	0.0283468	0.0370299	0.0314353
0.057	0.0282787	0.0369675	0.0313687
0.058	0.0282152	0.0369057	0.031305
0.059	0.0281558	0.0368554	0.0312505
0.06	0.0281008	0.0368072	0.0311957
0.061	0.0280266	0.0367385	0.0311212
0.062	0.0279722	0.0366858	0.0310692
0.063	0.0279214	0.0366377	0.0310147
0.064	0.0278568	0.0365751	0.030952
0.065	0.0277914	0.0365196	0.0308883
0.066	0.0277349	0.0364658	0.0308326
0.067	0.0276709	0.0364048	0.0307722
0.068	0.0276061	0.0363472	0.0307064
0.069	0.0275488	0.0362932	0.0306494
0.07	0.0274889	0.0362395	0.0305928
0.071	0.0274369	0.0361881	0.0305379
0.072	0.0273637	0.0361228	0.0304694
0.073	0.0273147	0.0360754	0.0304189
0.074	0.0272407	0.036009	0.0303459
0.075	0.0271863	0.0359534	0.0302928
0.076	0.0271366	0.0359093	0.0302432
0.077	0.0270635	0.035838	0.0301696
