L	opf	cc	jcc
0	1.07913	1.07128	1.07091
0.001	1.07542	1.06759	1.06721
0.002	1.07177	1.06393	1.06356
0.003	1.06811	1.06028	1.0599
0.004	1.06451	1.05666	1.05628
0.005	1.06093	1.05307	1.05269
0.006	1.05733	1.04946	1.04909
0.007	1.0537	1.04584	1.04546
0.008	1.05008	1.04222	1.04185
0.009	1.0465	1.03861	1.03824
0.01	1.04292	1.03506	1.03468
0.011	1.03939	1.0315	1.03113
0.012	1.03585	1.02796	1.02759
0.013	1.03234	1.02444	1.02407
0.014	1.02875	1.02085	1.02048
0.015	1.02529	1.01739	1.01701
0.016	1.02181	1.0139	1.01353
0.017	1.01827	1.01037	1.01
0.018	1.01485	1.00692	1.00655
0.019	1.01138	1.00345	1.00308
0.02	1.00787	0.999964	0.999592
0.021	1.00449	0.996557	0.996182
0.022	1.00101	0.993065	0.992689
0.023	0.997595	0.989656	0.98928
0.024	0.994156	0.986218	0.985842
0.025	0.990769	0.982816	0.98244
0.026	0.987355	0.97941	0.979033
0.027	0.983978	0.976024	0.975647
0.028	0.980669	0.9727	0.972326
0.029	0.977257	0.969312	0.968937
0.03	0.97391	0.965951	0.965576
0.031	0.970619	0.962645	0.962271
0.032	0.96722	0.959246	0.95887
0.033	0.963935	0.95595	0.955574
0.034	0.960673	0.952682	0.952311
0.035	0.957302	0.94932	0.948943
0.036	0.954048	0.946048	0.945672
0.037	0.95076	0.942769	0.94239
0.038	0.947487	0.93948	0.939106
0.039	0.944244	0.936219	0.935844
0.04	0.941077	0.933059	0.932679
0.041	0.937806	0.929788	0.92941
0.042	0.93456	0.926533	0.926156
0.043	0.931324	0.923315	0.922939
0.044	0.928102	0.920088	0.919708
0.045	0.924969	0.916932	0.916554
0.046	0.921717	0.913704	0.913326
0.047	0.91854	0.910513	0.910136
0.048	0.915406	0.907376	0.906998
0.049	0.912309	0.904253	0.903874
0.05	0.909121	0.901081	0.900701
0.051	0.905986	0.897937	0.897558
0.052	0.902839	0.894792	0.894411
0.053	0.899749	0.8917	0.891319
0.054	0.896667	0.888595	0.888216
0.055	0.893558	0.885491	0.885112
0.056	0.890477	0.882406	0.882025
0.057	0.88741	0.87933	0.878947
0.058	0.884383	0.876295	0.875914
0.059	0.881278	0.873208	0.872827
0.06	0.878273	0.870163	0.869781
0.061	0.875161	0.867083	0.866703
0.062	0.872196	0.864109	0.863728
0.063	0.869148	0.86105	0.860665
0.064	0.866162	0.858056	0.857674
0.065	0.863157	0.855062	0.854678
0.066	0.860155	0.852033	0.851647
0.067	0.857211	0.849095	0.848706
0.068	0.854233	0.846124	0.845738
0.069	0.851243	0.843125	0.842739
0.07	0.848303	0.840192	0.839802
0.071	0.845401	0.837246	0.836858
0.072	0.842443	0.834311	0.833924
0.073	0.839514	0.831381	0.830996
0.074	0.836603	0.828466	0.828077
0.075	0.833714	0.825583	0.825195
0.076	0.830785	0.82265	0.822263
0.077	0.827868	0.819734	0.819346
0.078	0.824995	0.816847	0.816462
0.079	0.822107	0.813984	0.813595
0.08	0.819307	0.81115	0.81076
0.081	0.816426	0.808283	0.807891
0.082	0.813618	0.805455	0.805066
0.083	0.810791	0.802621	0.802234
0.084	0.807886	0.799736	0.799349
0.085	0.805113	0.796956	0.796568
0.086	0.802276	0.794106	0.793715
0.087	0.799519	0.791349	0.790957
0.088	0.79672	0.788554	0.788163
0.089	0.793937	0.785757	0.785365
0.09	0.791163	0.782992	0.782601
0.091	0.788389	0.780219	0.779828
0.092	0.7856	0.777418	0.777025
