L	opf	cc	jcc
0.6	0.011536	0.0178876	0.0169916
0.6008	0.0115146	0.0178662	0.0169684
0.6016	0.0115078	0.0178504	0.0169507
0.6024	0.0114959	0.0178364	0.0169352
0.6032	0.0114835	0.0178181	0.0169155
0.604	0.011472	0.0178046	0.0169004
0.6048	0.0114496	0.017778	0.0168722
0.6056	0.0114238	0.0177498	0.0168422
0.6064	0.0114177	0.0177358	0.0168273
0.6072	0.0114043	0.0177181	0.016807
0.608	0.0113949	0.0177056	0.0167928
0.6088	0.0113663	0.0176734	0.0167594
0.6096	0.0113554	0.017658	0.0167422
0.6104	0.0113507	0.0176466	0.0167293
0.6112	0.0113331	0.0176253	0.0167058
0.612	0.0113184	0.0176065	0.016686
0.6128	0.0112986	0.0175852	0.016663
0.6136	0.0112828	0.0175645	0.0166407
0.6144	0.0112737	0.01755	0.0166245
0.6152	0.0112501	0.0175238	0.0165965
0.616	0.0112369	0.0175045	0.0165753
0.6168	0.0112173	0.0174814	0.0165508
0.6176	0.0112055	0.0174633	0.0165306
0.6184	0.0111932	0.0174477	0.0165136
0.6192	0.0111772	0.0174267	0.0164905
0.62	0.0111617	0.0174078	0.0164706
0.6208	0.0111558	0.0173967	0.0164579
0.6216	0.0111435	0.0173799	0.0164385
0.6224	0.0111104	0.0173439	0.0164011
0.6232	0.0111008	0.0173306	0.0163859
0.624	0.011086	0.017308	0.0163614
0.6248	0.0110592	0.0172814	0.0163336
0.6256	0.0110583	0.0172718	0.0163215
0.6264	0.0110409	0.0172512	0.0162994
0.6272	0.0110277	0.0172328	0.0162792
0.628	0.0110135	0.0172166	0.0162616
0.6288	0.0109954	0.0171899	0.0162325
0.6296	0.0109764	0.0171703	0.0162111
0.6304	0.0109616	0.0171509	0.0161904
0.6312	0.0109516	0.0171363	0.016174
0.632	0.0109287	0.0171048	0.0161407
0.6328	0.0109177	0.0170951	0.0161295
0.6336	0.010904	0.0170762	0.0161081
0.6344	0.0108877	0.0170523	0.0160825
0.6352	0.0108713	0.0170343	0.0160623
0.636	0.0108652	0.0170211	0.0160477
0.6368	0.0108404	0.0169962	0.0160205
0.6376	0.0108249	0.0169715	0.0159944
0.6384	0.0108087	0.0169552	0.0159763
0.6392	0.0107945	0.0169328	0.0159521
0.64	0.0107841	0.0169198	0.0159369
0.6408	0.0107618	0.0168948	0.0159096
0.6416	0.0107455	0.0168749	0.0158885
0.6424	0.0107342	0.0168578	0.0158691
0.6432	0.0107193	0.0168389	0.0158484
0.644	0.0106948	0.016811	0.015819
0.6448	0.010696	0.0168059	0.0158116
0.6456	0.0106744	0.0167826	0.0157866
0.6464	0.010649	0.0167518	0.0157539
0.6472	0.0106507	0.0167452	0.0157449
0.648	0.010639	0.0167334	0.015731
0.6488	0.0106001	0.0166931	0.0156887
0.6496	0.0105953	0.0166806	0.0156743
0.6504	0.0105811	0.0166617	0.0156537
0.6512	0.010572	0.0166494	0.0156392
0.652	0.0105415	0.0166142	0.0156019
0.6528	0.0105364	0.0166062	0.0155919
0.6536	0.01053	0.0165915	0.015575
0.6544	0.0105134	0.0165738	0.0155548
0.6552	0.0104963	0.01655	0.0155299
0.656	0.0104674	0.0165203	0.0154976
0.6568	0.0104635	0.0165102	0.0154851
0.6576	0.0104521	0.0164919	0.0154651
0.6584	0.0104201	0.0164621	0.0154331
0.6592	0.0104166	0.0164517	0.0154209
0.66	0.0103991	0.0164312	0.0153978
0.6608	0.010375	0.0164059	0.0153707
0.6616	0.0103644	0.0163909	0.0153536
0.6624	0.0103494	0.0163718	0.0153317
0.6632	0.0103258	0.0163428	0.015301
0.664	0.0103161	0.0163333	0.0152886
0.6648	0.0103116	0.016323	0.0152763
0.6656	0.0102882	0.0162945	0.0152453
0.6664	0.0102855	0.0162884	0.0152369
0.6672	0.0102577	0.0162586	0.0152045
0.668	0.0102402	0.0162384	0.0151819
0.6688	0.0102247	0.0162161	0.0151575
0.6696	0.0102128	0.0162014	0.0151402
0.6704	0.0102145	0.0161981	0.0151334
0.6712	0.0101801	0.0161623	0.0150959
0.672	0.0101813	0.0161568	0.0150875
0.6728	0.0101489	0.0161237	0.0150517
0.6736	0.0101381	0.0161087	0.015034
0.6744	0.0101214	0.0160899	0.0150126
